testcase,controllerType,heuristic,comments,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
AT-1-1,compos,MA,,6.0,6.0,8.0,8.0,19.0,2.0,0.0,2.0,0.0,15.45MB,25.0,True,44.0,MA,6.0,8.0,1.0,1.0,1.0,1.0,25.0,0.0,25.0,0.0,1,1,15.45
AT-1-1,compos,BFS,,6.0,6.0,8.0,8.0,10.0,2.0,0.0,2.0,0.0,14.48MB,24.0,True,34.0,BFS,6.0,8.0,1.0,1.0,1.0,1.0,25.0,0.0,25.0,0.0,1,1,14.48
AT-1-1,compos,RA,,6.0,6.0,8.0,8.0,19.0,2.0,0.0,2.0,0.0,15.45MB,24.0,True,43.0,RA,6.0,8.0,1.0,1.0,1.0,1.0,25.0,0.0,25.0,0.0,1,1,15.45
AT-1-1,mono,,,6.0,6.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,7.48MB,51.0,True,53.0,Monolithic,6.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,7.48
AT-1-10,compos,MA,,6.0,6.0,8.0,8.0,42.0,2.0,0.0,2.0,0.0,17.45MB,36.0,True,78.0,MA,15.0,26.0,0.4,0.4,0.31,0.31,7.6923,0.0,7.6923,0.0,1,10,17.45
AT-1-10,compos,BFS,,15.0,6.0,26.0,8.0,14.0,2.0,0.0,2.0,0.0,15.44MB,41.0,True,55.0,BFS,15.0,26.0,0.4,1.0,0.31,1.0,7.6923,0.0,7.6923,0.0,1,10,15.44
AT-1-10,compos,RA,,6.0,6.0,8.0,8.0,46.0,2.0,0.0,2.0,0.0,16.96MB,37.0,True,83.0,RA,15.0,26.0,0.4,0.4,0.31,0.31,7.6923,0.0,7.6923,0.0,1,10,16.96
AT-1-10,mono,,,15.0,15.0,26.0,17.0,3.0,0.0,0.0,0.0,0.0,7.35MB,59.0,True,62.0,Monolithic,15.0,26.0,1.0,1.0,0.65,1.0,0.0,0.0,0.0,0.0,1,10,7.35
AT-1-11,compos,RA,,6.0,6.0,8.0,8.0,34.0,2.0,0.0,2.0,0.0,17.44MB,28.0,True,62.0,RA,16.0,28.0,0.38,0.38,0.29,0.29,7.1429,0.0,7.1429,0.0,1,11,17.44
AT-1-11,compos,BFS,,16.0,6.0,28.0,8.0,15.0,2.0,0.0,2.0,0.0,15.94MB,28.0,True,43.0,BFS,16.0,28.0,0.38,1.0,0.29,1.0,7.1429,0.0,7.1429,0.0,1,11,15.94
AT-1-11,compos,MA,,6.0,6.0,8.0,8.0,30.0,2.0,0.0,2.0,0.0,17.92MB,32.0,True,62.0,MA,16.0,28.0,0.38,0.38,0.29,0.29,7.1429,0.0,7.1429,0.0,1,11,17.92
AT-1-11,mono,,,16.0,16.0,28.0,18.0,3.0,0.0,0.0,0.0,0.0,7.65MB,64.0,True,67.0,Monolithic,16.0,28.0,1.0,1.0,0.64,1.0,0.0,0.0,0.0,0.0,1,11,7.65
AT-1-12,compos,BFS,,17.0,6.0,30.0,8.0,15.0,2.0,0.0,2.0,0.0,15.93MB,29.0,True,44.0,BFS,17.0,30.0,0.35,1.0,0.27,1.0,6.6667,0.0,6.6667,0.0,1,12,15.93
AT-1-12,compos,RA,,6.0,6.0,8.0,8.0,37.0,2.0,0.0,2.0,0.0,17.46MB,29.0,True,66.0,RA,17.0,30.0,0.35,0.35,0.27,0.27,6.6667,0.0,6.6667,0.0,1,12,17.46
AT-1-12,compos,MA,,6.0,6.0,8.0,8.0,32.0,2.0,0.0,2.0,0.0,17.92MB,29.0,True,61.0,MA,17.0,30.0,0.35,0.35,0.27,0.27,6.6667,0.0,6.6667,0.0,1,12,17.92
AT-1-12,mono,,,17.0,17.0,30.0,19.0,3.0,0.0,0.0,0.0,0.0,7.59MB,66.0,True,69.0,Monolithic,17.0,30.0,1.0,1.0,0.63,1.0,0.0,0.0,0.0,0.0,1,12,7.59
AT-1-13,compos,MA,,6.0,6.0,8.0,8.0,32.0,2.0,0.0,2.0,0.0,18.48MB,29.0,True,61.0,MA,18.0,32.0,0.33,0.33,0.25,0.25,6.25,0.0,6.25,0.0,1,13,18.48
