testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments
BW-1-1,compos,5,5,6,6,17,2,0,1,0,15.44MB,24,True,RA,
BW-1-1,compos,10,5,14,6,11,2,0,1,8,14.48MB,24,True,BFS,
BW-1-1,compos,5,5,6,6,17,2,0,1,0,15.44MB,24,True,MA,
BW-1-1,mono,6,5,14,6,1,0,0,0,0,7.27MB,53,True,,
BW-1-10,compos,10,5,14,6,13,2,0,1,7,14.96MB,25,True,BFS,
BW-1-10,compos,5,5,6,6,18,2,0,1,0,15.44MB,25,True,MA,
BW-1-10,compos,5,5,6,6,25,2,0,1,0,16.96MB,24,True,RA,
BW-1-10,mono,24,23,59,33,3,0,0,0,0,7.84MB,55,True,,
BW-1-11,compos,5,5,6,6,18,2,0,1,0,15.45MB,33,True,MA,
BW-1-11,compos,5,5,6,6,27,2,0,1,0,16.98MB,24,True,RA,
BW-1-11,compos,10,5,14,6,13,2,0,1,7,14.97MB,25,True,BFS,
BW-1-11,mono,26,25,64,36,4,0,0,0,0,7.69MB,66,True,,
BW-1-12,compos,5,5,6,6,29,2,0,1,0,17.45MB,26,True,RA,
BW-1-12,compos,5,5,6,6,25,2,0,1,0,16.00MB,35,True,MA,
BW-1-12,compos,10,5,14,6,12,2,0,1,7,14.96MB,26,True,BFS,
BW-1-12,mono,28,27,69,39,5,0,0,0,0,8.06MB,75,True,,
BW-1-13,compos,10,5,14,6,12,2,0,1,7,14.96MB,27,True,BFS,
BW-1-13,compos,5,5,6,6,18,2,0,1,0,15.92MB,26,True,MA,
BW-1-13,compos,5,5,6,6,30,2,0,1,0,17.44MB,34,True,RA,
BW-1-13,mono,30,29,74,42,3,0,0,0,0,7.84MB,60,True,,
BW-1-14,compos,10,5,14,6,13,2,0,1,7,15.45MB,26,True,BFS,
BW-1-14,compos,5,5,6,6,39,2,0,1,0,17.44MB,26,True,RA,
BW-1-14,compos,5,5,6,6,18,2,0,1,0,15.92MB,32,True,MA,
BW-1-14,mono,32,31,79,45,6,0,0,0,0,8.54MB,61,True,,
BW-1-15,compos,5,5,6,6,19,2,0,1,0,15.92MB,27,True,MA,
BW-1-15,compos,5,5,6,6,41,2,0,1,0,17.92MB,35,True,RA,
