testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments
TA-1-1,compos,BFS,19,15,33,18,16,2,0,1,13,15.45MB,25,True,
TA-1-1,compos,MA,17,15,20,18,39,4,0,1,0,18.96MB,24,True,
TA-1-1,compos,RA,17,15,20,18,30,4,0,1,0,16.96MB,24,True,
TA-1-1,mono,,18,15,33,18,4,0,0,0,0,7.67MB,73,True,
TA-1-10,compos,MA,35,33,47,45,84,13,0,1,0,14.00MB,27,True,
TA-1-10,compos,RA,35,33,47,45,46,13,0,1,0,19.44MB,35,True,
TA-1-10,compos,BFS,37,33,60,45,21,9,0,1,13,16.96MB,38,True,
TA-1-10,mono,,36,33,60,45,4,0,0,0,0,8.45MB,62,True,
TA-1-11,compos,BFS,39,35,63,48,20,10,0,1,13,16.48MB,27,True,
TA-1-11,compos,MA,37,35,50,48,85,14,0,1,0,14.00MB,35,True,
TA-1-11,compos,RA,37,35,50,48,53,14,0,1,0,19.92MB,26,True,
TA-1-11,mono,,38,35,63,48,4,0,0,0,0,8.15MB,55,True,
TA-1-12,compos,BFS,41,37,66,51,23,7,0,1,13,16.96MB,26,True,
TA-1-12,compos,RA,39,37,53,51,55,15,0,1,0,19.92MB,26,True,
TA-1-12,compos,MA,39,37,53,51,100,15,0,1,0,14.00MB,26,True,
TA-1-12,mono,,40,37,66,51,3,0,0,0,0,7.67MB,58,True,
TA-1-13,compos,BFS,43,39,69,54,29,8,0,1,13,16.48MB,38,True,
TA-1-13,compos,RA,41,39,56,54,57,16,0,1,0,19.92MB,27,True,
TA-1-13,compos,MA,41,39,56,54,106,16,0,1,0,14.00MB,26,True,
TA-1-13,mono,,42,39,69,54,4,0,0,0,0,7.85MB,56,True,
TA-1-14,compos,MA,43,41,59,57,101,17,0,1,0,14.14MB,27,True,
TA-1-14,compos,BFS,45,41,72,57,21,8,0,1,13,16.48MB,27,True,
TA-1-14,compos,RA,43,41,59,57,61,17,0,1,0,20.48MB,27,True,
TA-1-14,mono,,44,41,72,57,7,0,0,0,0,8.58MB,62,True,
TA-1-15,compos,MA,45,43,62,60,97,18,0,1,0,14.34MB,27,True,
TA-1-15,compos,BFS,47,43,75,60,28,7,0,1,13,16.48MB,35,True,
TA-1-15,compos,RA,45,43,62,60,76,18,0,1,0,21.44MB,37,True,
TA-1-15,mono,,46,43,75,60,4,0,0,0,0,7.98MB,57,True,
TA-1-2,compos,MA,19,17,23,21,66,5,0,1,0,19.92MB,33,True,
TA-1-2,compos,RA,19,17,23,21,33,5,0,1,0,16.96MB,24,True,
TA-1-2,compos,BFS,21,17,36,21,22,5,0,1,13,16.48MB,33,True,
TA-1-2,mono,,20,17,36,21,4,0,0,0,0,8.15MB,54,True,
TA-1-3,compos,MA,21,19,26,24,63,6,0,1,0,20.96MB,33,True,
TA-1-3,compos,BFS,23,19,39,24,17,6,0,1,13,15.92MB,25,True,
TA-1-3,compos,RA,21,19,26,24,36,6,0,1,0,17.44MB,25,True,
TA-1-3,mono,,22,19,39,24,3,0,0,0,0,7.87MB,54,True,
TA-1-4,compos,MA,23,21,29,27,53,7,0,1,0,21.92MB,26,True,
TA-1-4,compos,RA,23,21,29,27,37,7,0,1,0,16.96MB,25,True,
TA-1-4,compos,BFS,25,21,42,27,25,5,0,1,13,16.48MB,36,True,
TA-1-4,mono,,24,21,42,27,4,0,0,0,0,7.70MB,57,True,
TA-1-5,compos,MA,25,23,32,30,59,8,0,1,0,22.96MB,25,True,
TA-1-5,compos,RA,25,23,32,30,39,8,0,1,0,17.92MB,26,True,
TA-1-5,compos,BFS,27,23,45,30,20,3,0,1,13,15.93MB,26,True,
TA-1-5,mono,,26,23,45,30,5,0,0,0,0,7.87MB,68,True,
TA-1-6,compos,MA,27,25,35,33,63,9,0,1,0,23.92MB,25,True,
TA-1-6,compos,RA,27,25,35,33,42,9,0,1,0,17.92MB,25,True,
TA-1-6,compos,BFS,29,25,48,33,22,2,0,1,13,16.00MB,32,True,
TA-1-6,mono,,28,25,48,33,4,0,0,0,0,7.85MB,71,True,
TA-1-7,compos,MA,29,27,38,36,66,10,0,1,0,24.96MB,26,True,
TA-1-7,compos,RA,29,27,38,36,44,10,0,1,0,18.48MB,26,True,
TA-1-7,compos,BFS,31,27,51,36,19,3,0,1,13,15.92MB,26,True,
TA-1-7,mono,,30,27,51,36,3,0,0,0,0,7.87MB,57,True,
TA-1-8,compos,MA,31,29,41,39,70,11,0,1,0,25.92MB,32,True,
TA-1-8,compos,RA,31,29,41,39,48,11,0,1,0,18.96MB,25,True,
TA-1-8,compos,BFS,33,29,54,39,19,5,0,1,13,15.92MB,28,True,
