,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,49.0,337,144,2,2,TA,11,1.1483736038208008,2000,1e-05,20,0.1,-0.04461583,0,-0.52659464,2.406052,2.0851486,-0.8286443,-1.6324843,2.3841858e-07,0.15481591,-0.124914706,0.0,-0.10460734,-1.6345023
1,1027.0,3412,1091,3,3,TA,11,1.1483736038208008,2000,1e-05,20,0.1,-0.04461583,0,-0.52659464,2.406052,2.0851486,-0.8286443,-1.6324843,2.3841858e-07,0.15481591,-0.124914706,0.0,-0.10460734,-1.6345023
2,69.0,342,144,2,2,TA,11,6.959913015365601,12000,1e-05,20,0.1,-10.798762,5,-1.6665254,0.68008196,-1.9865686,-0.17286643,-0.5551206,5.9604645e-08,-0.7620363,-1.4650123,0.0,-1.7060401,-1.9083027
3,2435.0,3549,1091,3,3,TA,11,6.959913015365601,12000,1e-05,20,0.1,-10.798762,5,-1.6665254,0.68008196,-1.9865686,-0.17286643,-0.5551206,5.9604645e-08,-0.7620363,-1.4650123,0.0,-1.7060401,-1.9083027
4,77.0,305,143,2,2,TA,11,13.00643801689148,22000,1e-05,20,0.1,-42.897465,10,-1.1788397,0.1979965,-2.1110141,-0.12955804,0.09581247,-1.1920929e-07,-1.6027713,-2.4612236,0.0,-2.3540573,-2.7196653
5,3619.0,3065,1088,3,3,TA,11,13.00643801689148,22000,1e-05,20,0.1,-42.897465,10,-1.1788397,0.1979965,-2.1110141,-0.12955804,0.09581247,-1.1920929e-07,-1.6027713,-2.4612236,0.0,-2.3540573,-2.7196653
6,85.0,320,144,2,2,TA,11,19.131556272506714,32000,1e-05,20,0.1,-70.52008,15,-0.5698934,-0.09408265,-1.618876,-0.25026238,0.84141827,0.0,-3.4549227,-3.8362753,0.0,-2.463024,-3.7881446
7,4730.0,3228,1091,3,3,TA,11,19.131556272506714,32000,1e-05,20,0.1,-70.52008,15,-0.5698934,-0.09408265,-1.618876,-0.25026238,0.84141827,0.0,-3.4549227,-3.8362753,0.0,-2.463024,-3.7881446
8,77.0,272,144,2,2,TA,11,25.271753311157227,42000,1e-05,20,0.1,-103.51679,20,0.05935431,-0.30880278,-0.64743394,-0.3763356,0.18014365,0.0,-5.4436455,-4.917112,0.0,-1.5277921,-5.1104813
9,3798.0,2763,1091,3,3,TA,11,25.271753311157227,42000,1e-05,20,0.1,-103.51679,20,0.05935431,-0.30880278,-0.64743394,-0.3763356,0.18014365,0.0,-5.4436455,-4.917112,0.0,-1.5277921,-5.1104813
10,73.0,266,144,2,2,TA,11,31.348423719406128,52000,1e-05,20,0.1,-116.99438,25,-0.17769891,-0.66627,-0.76672775,-0.5146721,-0.037458383,4.7683716e-07,-5.6959968,-4.5509367,0.0,-2.1246874,-5.129027
11,2980.0,2937,1091,3,3,TA,11,31.348423719406128,52000,1e-05,20,0.1,-116.99438,25,-0.17769891,-0.66627,-0.76672775,-0.5146721,-0.037458383,4.7683716e-07,-5.6959968,-4.5509367,0.0,-2.1246874,-5.129027
12,68.0,251,144,2,2,TA,11,37.43707036972046,62000,1e-05,20,0.1,-140.14226,30,-0.26972815,-0.60969114,-0.77605873,-0.34109885,0.82866454,0.0,-5.175856,-3.90917,0.0,-2.4168482,-4.673927
13,2164.0,2466,1091,3,3,TA,11,37.43707036972046,62000,1e-05,20,0.1,-140.14226,30,-0.26972815,-0.60969114,-0.77605873,-0.34109885,0.82866454,0.0,-5.175856,-3.90917,0.0,-2.4168482,-4.673927
14,76.0,337,144,2,2,TA,11,43.48540425300598,72000,1e-05,20,0.1,-140.54144,35,-0.13568825,-0.67265016,-0.47973013,-0.754698,0.28006062,4.7683716e-07,-5.7163672,-4.1858406,0.0,-1.9265796,-5.2483253
15,2871.0,3386,1091,3,3,TA,11,43.48540425300598,72000,1e-05,20,0.1,-140.54144,35,-0.13568825,-0.67265016,-0.47973013,-0.754698,0.28006062,4.7683716e-07,-5.7163672,-4.1858406,0.0,-1.9265796,-5.2483253
16,81.0,340,144,2,2,TA,11,49.576345682144165,82000,1e-05,20,0.1,-163.48091,40,-0.2361498,-0.95791173,-0.5522983,-0.8281678,0.41794348,0.0,-5.799244,-4.6533337,0.0,-1.6359141,-5.2832327
17,3080.0,3471,1091,3,3,TA,11,49.576345682144165,82000,1e-05,20,0.1,-163.48091,40,-0.2361498,-0.95791173,-0.5522983,-0.8281678,0.41794348,0.0,-5.799244,-4.6533337,0.0,-1.6359141,-5.2832327
18,78.0,343,144,2,2,TA,11,55.629631757736206,92000,1e-05,20,0.1,-166.92424,45,0.09559095,-1.0038978,0.11432194,-0.86038077,0.2072279,0.0,-5.7422905,-3.5061057,0.0,-1.4975742,-4.985444
19,3016.0,3567,1091,3,3,TA,11,55.629631757736206,92000,1e-05,20,0.1,-166.92424,45,0.09559095,-1.0038978,0.11432194,-0.86038077,0.2072279,0.0,-5.7422905,-3.5061057,0.0,-1.4975742,-4.985444
20,61.0,200,144,2,2,TA,11,61.75570011138916,102000,1e-05,20,0.1,-172.11804,50,0.64291674,-0.60031974,-0.19418278,0.01571396,0.14701857,0.0,-6.0550256,-4.602716,0.0,-1.4111629,-5.1434054
21,2396.0,1779,1091,3,3,TA,11,61.75570011138916,102000,1e-05,20,0.1,-172.11804,50,0.64291674,-0.60031974,-0.19418278,0.01571396,0.14701857,0.0,-6.0550256,-4.602716,0.0,-1.4111629,-5.1434054
22,73.0,270,141,2,2,TA,11,67.86969184875488,112000,1e-05,20,0.1,-190.89781,55,-0.2837862,-0.25813952,-1.1926563,-0.4546989,0.7032,0.0,-5.1593065,-3.1748075,0.0,-1.7738569,-4.1036
23,3814.0,3158,1079,3,3,TA,11,67.86969184875488,112000,1e-05,20,0.1,-190.89781,55,-0.2837862,-0.25813952,-1.1926563,-0.4546989,0.7032,0.0,-5.1593065,-3.1748075,0.0,-1.7738569,-4.1036
24,75.0,343,144,2,2,TA,11,73.9773199558258,122000,1e-05,20,0.1,-180.30154,60,0.59374493,-0.61792266,-0.4629623,-0.79934275,0.16592616,4.7683716e-07,-4.4475217,-2.252784,0.0,-0.8526592,-4.178789
25,2682.0,3459,1091,3,3,TA,11,73.9773199558258,122000,1e-05,20,0.1,-180.30154,60,0.59374493,-0.61792266,-0.4629623,-0.79934275,0.16592616,4.7683716e-07,-4.4475217,-2.252784,0.0,-0.8526592,-4.178789
26,36.0,275,144,2,2,TA,11,80.04540061950684,132000,1e-05,20,0.1,-191.53928,65,-0.48315942,0.14530283,-0.21404096,-0.042425103,-0.041827634,4.7683716e-07,-4.7074966,-2.1660676,0.0,-1.196021,-3.6420398
27,1600.0,3295,1091,3,3,TA,11,80.04540061950684,132000,1e-05,20,0.1,-191.53928,65,-0.48315942,0.14530283,-0.21404096,-0.042425103,-0.041827634,4.7683716e-07,-4.7074966,-2.1660676,0.0,-1.196021,-3.6420398
28,46.0,291,144,2,2,TA,11,86.06010890007019,142000,1e-05,20,0.1,-188.48485,70,0.25839543,-0.46009967,-0.1918256,-0.58072287,0.20767555,4.7683716e-07,-4.370708,-1.5216943,0.0,-0.8387737,-3.2736006
29,1193.0,3355,1091,3,3,TA,11,86.06010890007019,142000,1e-05,20,0.1,-188.48485,70,0.25839543,-0.46009967,-0.1918256,-0.58072287,0.20767555,4.7683716e-07,-4.370708,-1.5216943,0.0,-0.8387737,-3.2736006
30,54.0,319,144,2,2,TA,11,92.03630208969116,152000,1e-05,20,0.1,-176.94026,75,0.4032982,-0.2895967,-1.418908,-0.0633857,2.2717125,4.7683716e-07,-3.5738487,-1.9127419,0.0,-1.3806452,-2.544485
31,3732.0,3263,1091,3,3,TA,11,92.03630208969116,152000,1e-05,20,0.1,-176.94026,75,0.4032982,-0.2895967,-1.418908,-0.0633857,2.2717125,4.7683716e-07,-3.5738487,-1.9127419,0.0,-1.3806452,-2.544485
32,26.0,117,80,2,2,TA,11,98.103351354599,162000,1e-05,20,0.1,-190.6027,80,-0.41961572,-0.59520096,0.7968202,-0.38214254,0.28860754,4.7683716e-07,-4.808639,-2.679877,0.0,-1.3996153,-4.1333423
33,268.0,477,259,3,3,TA,11,98.103351354599,162000,1e-05,20,0.1,-190.6027,80,-0.41961572,-0.59520096,0.7968202,-0.38214254,0.28860754,4.7683716e-07,-4.808639,-2.679877,0.0,-1.3996153,-4.1333423
34,93.0,324,144,2,2,TA,11,104.02762460708618,172000,1e-05,20,0.1,-172.37703,85,-0.61369616,-0.037154257,-0.84569573,-0.9060684,-0.8885191,2.3841858e-07,-4.3266764,-2.160121,0.0,-1.7354443,-2.9546578
35,1657.0,3526,1091,3,3,TA,11,104.02762460708618,172000,1e-05,20,0.1,-172.37703,85,-0.61369616,-0.037154257,-0.84569573,-0.9060684,-0.8885191,2.3841858e-07,-4.3266764,-2.160121,0.0,-1.7354443,-2.9546578
36,81.0,327,144,2,2,TA,11,110.02848196029663,182000,1e-05,20,0.1,-197.90227,90,0.55992043,-0.52480114,-1.0264589,-0.82896185,0.74986655,4.7683716e-07,-4.7061105,-2.6074505,0.0,-1.0952729,-3.937333
37,3281.0,3497,1091,3,3,TA,11,110.02848196029663,182000,1e-05,20,0.1,-197.90227,90,0.55992043,-0.52480114,-1.0264589,-0.82896185,0.74986655,4.7683716e-07,-4.7061105,-2.6074505,0.0,-1.0952729,-3.937333
38,61.0,226,125,2,2,TA,11,116.03469514846802,192000,1e-05,20,0.1,-179.37215,95,0.32746083,-0.2199148,0.602961,0.08204791,1.6158392,0.0,-3.70511,-1.3950742,0.0,-0.54185754,-2.9243636
39,2586.0,2590,912,3,3,TA,11,116.03469514846802,192000,1e-05,20,0.1,-179.37215,95,0.32746083,-0.2199148,0.602961,0.08204791,1.6158392,0.0,-3.70511,-1.3950742,0.0,-0.54185754,-2.9243636
40,28.0,118,80,2,2,TA,11,122.00597333908081,202000,1e-05,20,0.1,-168.06096,100,-0.67096466,0.09031737,1.2935892,-0.5624349,1.4429158,0.0,-3.3309507,-1.387875,0.0,-0.28085753,-1.9449983
