,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,170.0,3.0,0.0,1.0,2.0,17.2,12.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,143.0,3.0,0.0,1.0,2.0,17.14,12.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,152.0,4.0,0.0,1.0,2.0,17.63,13.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,3
3,23.0,21.0,29.0,27.0,156.0,5.0,0.0,1.0,2.0,17.63,16.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,166.0,6.0,0.0,1.0,2.0,18.18,15.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,186.0,7.0,0.0,1.0,2.0,18.18,15.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,160.0,8.0,0.0,1.0,2.0,18.66,18.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,163.0,9.0,0.0,1.0,2.0,19.14,13.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,193.0,10.0,0.0,1.0,2.0,19.62,26.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,190.0,10.0,0.0,1.0,2.0,19.7,28.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,189.0,11.0,0.0,1.0,2.0,20.18,29.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,214.0,12.0,0.0,1.0,2.0,20.66,31.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,222.0,13.0,0.0,1.0,2.0,21.14,32.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,184.0,14.0,0.0,1.0,2.0,21.62,27.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,202.0,15.0,0.0,1.0,2.0,22.18,38.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,1,15
15,97.0,62.0,179.0,95.0,257.0,72.0,0.0,1.0,12.0,10.97,53.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,1
16,111.0,74.0,206.0,119.0,287.0,80.0,0.0,1.0,12.0,16.05,47.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,2
17,125.0,86.0,235.0,143.0,321.0,93.0,0.0,1.0,13.0,20.09,78.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,3
18,140.0,98.0,264.0,167.0,298.0,104.0,0.0,1.0,13.0,26.19,56.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,4
19,152.0,110.0,290.0,190.0,322.0,125.0,0.0,1.0,11.0,34.25,75.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,5
20,166.0,122.0,319.0,214.0,390.0,139.0,0.0,1.0,11.0,39.35,102.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,6
21,180.0,134.0,348.0,238.0,411.0,153.0,0.0,1.0,11.0,46.43,102.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,7
22,194.0,146.0,371.0,262.0,393.0,142.0,0.0,1.0,24.0,55.58,99.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,8
23,210.0,158.0,398.0,286.0,538.0,155.0,0.0,1.0,14.0,63.66,147.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,9
24,233.0,170.0,452.0,310.0,530.0,196.0,0.0,1.0,18.0,84.78,126.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,10
25,247.0,182.0,468.0,334.0,523.0,178.0,0.0,1.0,19.0,87.91,157.0,new,experiments/results/TA_2_2/5mill_C/27.onnx,TA,2,11
