,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,17.0,15.0,20.0,18.0,183.0,3.0,0.0,1.0,2.0,17.2,11.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,1,0
1,19.0,17.0,23.0,21.0,162.0,3.0,0.0,1.0,2.0,17.14,8.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,2,0
2,21.0,19.0,26.0,24.0,156.0,3.0,0.0,1.0,2.0,17.63,15.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,3,0
3,23.0,21.0,29.0,27.0,159.0,3.0,0.0,1.0,2.0,17.63,14.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,4,0
4,25.0,23.0,32.0,30.0,156.0,3.0,0.0,1.0,2.0,18.18,17.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,5,0
5,27.0,25.0,35.0,33.0,187.0,3.0,0.0,1.0,2.0,18.18,23.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,6,0
6,29.0,27.0,38.0,36.0,187.0,3.0,0.0,1.0,2.0,18.66,14.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,7,0
7,31.0,29.0,41.0,39.0,191.0,3.0,0.0,1.0,2.0,19.14,23.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,8,0
8,33.0,31.0,44.0,42.0,183.0,3.0,0.0,1.0,2.0,19.62,24.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,9,0
9,35.0,33.0,47.0,45.0,201.0,3.0,0.0,1.0,2.0,19.62,32.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,10,0
10,37.0,35.0,50.0,48.0,209.0,3.0,0.0,1.0,2.0,20.18,33.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,11,0
11,39.0,37.0,53.0,51.0,190.0,3.0,0.0,1.0,2.0,20.66,32.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,12,0
12,41.0,39.0,56.0,54.0,197.0,3.0,0.0,1.0,2.0,21.14,27.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,13,0
13,43.0,41.0,59.0,57.0,211.0,3.0,0.0,1.0,2.0,21.62,25.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,14,0
14,45.0,43.0,62.0,60.0,210.0,3.0,0.0,1.0,2.0,22.18,30.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,1,15,0
15,120.0,85.0,241.0,143.0,378.0,23.0,0.0,1.0,27.0,20.93,121.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,2,1,0
16,140.0,99.0,285.0,174.0,332.0,23.0,0.0,1.0,27.0,30.0,108.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,2,2,0
17,160.0,117.0,329.0,211.0,455.0,23.0,0.0,1.0,27.0,38.07,143.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,2,3,0
18,180.0,133.0,373.0,245.0,380.0,23.0,0.0,1.0,27.0,54.14,124.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,2,4,0
19,200.0,149.0,416.0,279.0,417.0,22.0,0.0,1.0,27.0,65.23,156.0,new,experiments/results/TA_2_2/5mill_C/0.onnx,TA,2,5,0
