,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,16.0,15.0,19.0,18.0,199.0,4.0,0.0,1.0,1.0,18.21,28.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,208.0,5.0,0.0,1.0,2.0,19.23,39.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,209.0,6.0,0.0,1.0,2.0,20.69,38.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,3
3,23.0,21.0,29.0,27.0,215.0,7.0,0.0,1.0,2.0,20.24,41.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,252.0,8.0,0.0,1.0,2.0,21.2,45.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,227.0,9.0,0.0,1.0,2.0,21.2,50.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,224.0,10.0,0.0,1.0,2.0,22.18,45.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,241.0,11.0,0.0,1.0,2.0,22.18,48.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,248.0,12.0,0.0,1.0,2.0,22.18,49.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,263.0,13.0,0.0,1.0,2.0,22.66,57.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,242.0,14.0,0.0,1.0,2.0,23.62,62.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,277.0,15.0,0.0,1.0,2.0,23.14,98.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,258.0,16.0,0.0,1.0,2.0,23.62,59.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,255.0,17.0,0.0,1.0,2.0,24.18,74.0,new,experiments/results/TA_2_2/5mill_JE/66.onnx,TA,1,14
