,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,16.0,15.0,19.0,18.0,278.0,4.0,0.0,1.0,1.0,18.69,22.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,1
1,18.0,17.0,22.0,21.0,212.0,5.0,0.0,1.0,1.0,19.23,42.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,2
2,20.0,19.0,25.0,24.0,243.0,5.0,0.0,1.0,1.0,20.18,33.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,3
3,22.0,21.0,28.0,27.0,252.0,6.0,0.0,1.0,1.0,20.18,42.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,243.0,7.0,0.0,1.0,2.0,20.69,43.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,248.0,7.0,0.0,1.0,2.0,21.14,47.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,253.0,8.0,0.0,1.0,2.0,21.65,45.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,258.0,8.0,0.0,1.0,2.0,22.18,50.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,251.0,8.0,0.0,1.0,2.0,22.18,67.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,255.0,8.0,0.0,1.0,2.0,22.66,75.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,266.0,10.0,0.0,1.0,2.0,23.62,62.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,251.0,8.0,0.0,1.0,2.0,23.62,69.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,248.0,10.0,0.0,1.0,2.0,24.18,66.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,272.0,12.0,0.0,1.0,2.0,24.18,69.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,262.0,11.0,0.0,1.0,2.0,24.66,80.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,1,15
15,88.0,62.0,158.0,94.0,347.0,58.0,0.0,1.0,8.0,29.14,132.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,1
16,105.0,47.0,192.0,59.0,358.0,74.0,0.0,1.0,7.0,18.42,156.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,2
17,122.0,67.0,222.0,97.0,397.0,80.0,0.0,1.0,9.0,21.54,165.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,3
18,143.0,59.0,249.0,77.0,416.0,82.0,0.0,1.0,10.0,24.57,192.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,4
19,160.0,65.0,277.0,86.0,449.0,85.0,0.0,1.0,10.0,28.65,223.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,5
20,179.0,71.0,309.0,95.0,446.0,87.0,0.0,1.0,10.0,30.74,188.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,6
21,196.0,77.0,340.0,104.0,542.0,98.0,0.0,1.0,7.0,34.86,266.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,7
22,196.0,100.0,349.0,148.0,514.0,98.0,0.0,1.0,5.0,36.96,271.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,8
23,217.0,107.0,374.0,158.0,550.0,79.0,0.0,1.0,17.0,41.09,281.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,9
24,300.0,146.0,615.0,235.0,659.0,145.0,0.0,1.0,24.0,80.19,363.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,10
25,320.0,158.0,658.0,256.0,751.0,140.0,0.0,1.0,25.0,84.56,381.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,11
26,340.0,158.0,694.0,253.0,759.0,149.0,0.0,1.0,25.0,93.66,432.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,12
27,360.0,162.0,739.0,259.0,814.0,136.0,0.0,1.0,26.0,102.53,432.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,13
28,303.0,124.0,527.0,177.0,606.0,93.0,0.0,1.0,10.0,58.65,294.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,14
29,400.0,172.0,808.0,272.0,884.0,135.0,0.0,1.0,25.0,111.77,469.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,2,15
30,724.0,105.0,1475.0,136.0,1427.0,403.0,0.0,1.0,67.0,127.71,698.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,1
31,845.0,111.0,1710.0,144.0,1770.0,387.0,0.0,1.0,59.0,34.07,988.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,2
32,977.0,125.0,1995.0,165.0,1885.0,419.0,0.0,1.0,58.0,123.09,1056.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,3
33,1122.0,144.0,2251.0,195.0,1925.0,421.0,0.0,1.0,63.0,48.7,1134.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,4
34,1243.0,157.0,2499.0,214.0,2156.0,434.0,0.0,1.0,60.0,126.44,1222.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,5
35,1372.0,169.0,2744.0,233.0,2402.0,458.0,0.0,1.0,60.0,39.9,1446.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,6
36,1514.0,184.0,3024.0,254.0,2467.0,470.0,0.0,1.0,59.0,123.41,1472.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,7
37,1638.0,197.0,3301.0,275.0,2665.0,487.0,0.0,1.0,58.0,28.67,1578.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,8
38,1901.0,406.0,4192.0,735.0,3866.0,696.0,0.0,1.0,66.0,165.15,2013.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,9
39,2014.0,242.0,4091.0,347.0,3618.0,643.0,0.0,1.0,62.0,34.0,2019.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,10
40,2134.0,252.0,4318.0,361.0,4057.0,717.0,0.0,1.0,60.0,196.49,2156.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,11
41,2281.0,268.0,4560.0,383.0,4209.0,654.0,0.0,1.0,66.0,152.64,2321.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,12
42,2411.0,284.0,4854.0,410.0,4539.0,693.0,0.0,1.0,64.0,192.27,2472.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,13
43,2626.0,573.0,5815.0,1041.0,5416.0,835.0,0.0,1.0,64.0,66.44,2674.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,14
44,2772.0,569.0,6117.0,1065.0,6065.0,840.0,0.0,1.0,62.0,110.29,3067.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,3,15
45,4520.0,657.0,13481.0,1218.0,29683.0,4320.0,0.0,1.0,177.0,77.47,7977.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,1
46,5385.0,765.0,16128.0,1411.0,38426.0,4688.0,0.0,1.0,190.0,225.06,10037.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,2
47,6267.0,842.0,18635.0,1602.0,47286.0,4783.0,0.0,1.0,189.0,325.44,13244.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,3
48,7318.0,967.0,22228.0,1891.0,70102.0,5563.0,0.0,1.0,193.0,263.36,19048.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,4
49,8042.0,930.0,23521.0,1752.0,71502.0,5160.0,0.0,1.0,188.0,274.78,22513.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,5
50,8939.0,1044.0,26126.0,1979.0,86319.0,5474.0,0.0,1.0,186.0,73.19,27536.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,6
51,10223.0,2873.0,41269.0,7587.0,284367.0,11429.0,0.0,1.0,372.0,194.87,47729.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,7
52,11147.0,3109.0,45000.0,8233.0,327001.0,11669.0,0.0,1.0,387.0,318.66,56114.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,8
53,12071.0,3346.0,48822.0,8884.0,390652.0,12427.0,0.0,1.0,348.0,273.1,68177.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,9
54,12995.0,3603.0,52608.0,9597.0,452884.0,13317.0,0.0,1.0,346.0,451.27,80615.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,10
55,13919.0,3789.0,56264.0,10087.0,513030.0,13625.0,0.0,1.0,346.0,505.8,89025.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,11
56,14385.0,1943.0,44008.0,4004.0,266484.0,8602.0,0.0,1.0,178.0,545.52,76710.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,12
57,15536.0,2344.0,48093.0,4885.0,314551.0,9273.0,0.0,1.0,169.0,353.96,87756.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,13
58,16445.0,2617.0,51108.0,5529.0,392777.0,10499.0,0.0,1.0,166.0,366.08,97477.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,14
59,17267.0,2753.0,53690.0,5854.0,440145.0,10846.0,0.0,1.0,159.0,451.11,109602.0,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,4,15
60,,,,,,,,,,,,new,experiments/results/TA_2_2/5mill_JE20/82.onnx,TA,5,1
