,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,16.0,15.0,19.0,18.0,198.0,4.0,0.0,1.0,1.0,18.72,24.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,219.0,5.0,0.0,1.0,2.0,19.73,40.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,226.0,6.0,0.0,1.0,2.0,20.72,36.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,3
3,23.0,21.0,29.0,27.0,240.0,7.0,0.0,1.0,2.0,20.18,35.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,219.0,8.0,0.0,1.0,2.0,21.17,39.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,244.0,9.0,0.0,1.0,2.0,21.14,68.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,251.0,10.0,0.0,1.0,2.0,21.17,56.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,243.0,11.0,0.0,1.0,2.0,22.18,48.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,229.0,12.0,0.0,1.0,2.0,22.18,47.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,232.0,13.0,0.0,1.0,2.0,22.66,55.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,232.0,14.0,0.0,1.0,2.0,23.14,57.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,282.0,15.0,0.0,1.0,2.0,23.62,74.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,268.0,16.0,0.0,1.0,2.0,23.62,63.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,255.0,17.0,0.0,1.0,2.0,24.18,75.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,292.0,18.0,0.0,1.0,2.0,24.66,77.0,new,experiments/results/TA_2_2/5mill_JE_D/11.onnx,TA,1,15
