,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,89,62,155,87,263,53,0,1,0,20.0,68.0,new,experiments/results/TA_2_2/5mill_L/0.onnx,TA,2,2,3.2640178203582764,0,1e-05,20,0.1,31,True,10000,True,10000,True,True,0
1,140,80,270,126,326,53,0,1,35,38.01,94.0,new,experiments/results/TA_2_2/5mill_L/1.onnx,TA,2,2,121.02114200592041,50000,1e-05,20,0.1,31,True,10000,True,10000,True,True,1
2,131,48,229,61,309,46,0,1,12,33.02,97.0,new,experiments/results/TA_2_2/5mill_L/2.onnx,TA,2,2,238.03803992271423,100000,1e-05,20,0.1,31,True,10000,True,10000,True,True,2
3,129,50,223,65,305,43,0,1,12,32.01,87.0,new,experiments/results/TA_2_2/5mill_L/3.onnx,TA,2,2,354.6042881011963,150000,1e-05,20,0.1,31,True,10000,True,10000,True,True,3
4,129,48,196,61,371,35,0,1,6,32.01,107.0,new,experiments/results/TA_2_2/5mill_L/4.onnx,TA,2,2,480.62849736213684,200000,1e-05,20,0.1,31,True,10000,True,10000,True,True,4
5,126,50,182,65,326,50,0,1,4,31.01,92.0,new,experiments/results/TA_2_2/5mill_L/5.onnx,TA,2,2,603.7517147064209,250000,1e-05,20,0.1,31,True,10000,True,10000,True,True,5
6,116,53,192,71,344,51,0,1,16,17.04,74.0,new,experiments/results/TA_2_2/5mill_L/6.onnx,TA,2,2,724.651908159256,300000,1e-05,20,0.1,31,True,10000,True,10000,True,True,6
7,127,54,199,73,288,64,0,1,13,21.04,66.0,new,experiments/results/TA_2_2/5mill_L/7.onnx,TA,2,2,839.4538464546204,350000,1e-05,20,0.1,31,True,10000,True,10000,True,True,7
8,137,81,251,134,316,90,0,1,18,26.02,66.0,new,experiments/results/TA_2_2/5mill_L/8.onnx,TA,2,2,954.2889113426208,400000,1e-05,20,0.1,31,True,10000,True,10000,True,True,8
9,115,70,200,109,294,69,0,1,7,18.99,54.0,new,experiments/results/TA_2_2/5mill_L/9.onnx,TA,2,2,1068.2015776634216,450000,1e-05,20,0.1,31,True,10000,True,10000,True,True,9
10,119,75,202,117,362,58,0,1,7,20.03,83.0,new,experiments/results/TA_2_2/5mill_L/10.onnx,TA,2,2,1182.4826650619507,500000,1e-05,20,0.1,31,True,10000,True,10000,True,True,10
11,135,58,234,82,329,75,0,1,12,24.0,99.0,new,experiments/results/TA_2_2/5mill_L/11.onnx,TA,2,2,1297.0456373691559,550000,1e-05,20,0.1,31,True,10000,True,10000,True,True,11
12,108,51,183,66,296,61,0,1,6,17.01,85.0,new,experiments/results/TA_2_2/5mill_L/12.onnx,TA,2,2,1410.9640944004059,600000,1e-05,20,0.1,31,True,10000,True,10000,True,True,12
13,132,48,221,61,317,56,0,1,18,23.02,72.0,new,experiments/results/TA_2_2/5mill_L/13.onnx,TA,2,2,1525.2859983444214,650000,1e-05,20,0.1,31,True,10000,True,10000,True,True,13
14,112,73,192,115,330,65,0,1,9,16.03,75.0,new,experiments/results/TA_2_2/5mill_L/14.onnx,TA,2,2,1639.2581994533539,700000,1e-05,20,0.1,31,True,10000,True,10000,True,True,14
15,103,47,178,59,259,65,0,1,6,15.01,62.0,new,experiments/results/TA_2_2/5mill_L/15.onnx,TA,2,2,1753.33260512352,750000,1e-05,20,0.1,31,True,10000,True,10000,True,True,15
16,103,67,171,101,299,51,0,1,16,13.04,37.0,new,experiments/results/TA_2_2/5mill_L/16.onnx,TA,2,2,1867.2671718597412,800000,1e-05,20,0.1,31,True,10000,True,10000,True,True,16
17,112,77,203,125,271,88,0,1,6,19.04,50.0,new,experiments/results/TA_2_2/5mill_L/17.onnx,TA,2,2,1980.7395558357239,850000,1e-05,20,0.1,31,True,10000,True,10000,True,True,17
18,116,73,200,115,339,71,0,1,14,17.02,82.0,new,experiments/results/TA_2_2/5mill_L/18.onnx,TA,2,2,2094.8158779144287,900000,1e-05,20,0.1,31,True,10000,True,10000,True,True,18
19,107,49,167,63,263,54,0,1,12,15.04,57.0,new,experiments/results/TA_2_2/5mill_L/19.onnx,TA,2,2,2208.922776222229,950000,1e-05,20,0.1,31,True,10000,True,10000,True,True,19
20,120,69,196,107,277,60,0,1,12,21.0,64.0,new,experiments/results/TA_2_2/5mill_L/20.onnx,TA,2,2,2323.3143928050995,1000000,1e-05,20,0.1,31,True,10000,True,10000,True,True,20
21,113,48,179,61,340,56,0,1,12,16.03,78.0,new,experiments/results/TA_2_2/5mill_L/21.onnx,TA,2,2,2437.642539024353,1050000,1e-05,20,0.1,31,True,10000,True,10000,True,True,21
22,103,47,171,59,274,58,0,1,6,17.02,68.0,new,experiments/results/TA_2_2/5mill_L/22.onnx,TA,2,2,2552.534942150116,1100000,1e-05,20,0.1,31,True,10000,True,10000,True,True,22
23,113,73,199,117,302,78,0,1,11,16.01,67.0,new,experiments/results/TA_2_2/5mill_L/23.onnx,TA,2,2,2669.1872754096985,1150000,1e-05,20,0.1,31,True,10000,True,10000,True,True,23
24,126,72,208,107,341,51,0,1,12,19.06,78.0,new,experiments/results/TA_2_2/5mill_L/24.onnx,TA,2,2,2783.548898458481,1200000,1e-05,20,0.1,31,True,10000,True,10000,True,True,24
25,105,45,171,56,327,61,0,1,6,17.02,83.0,new,experiments/results/TA_2_2/5mill_L/25.onnx,TA,2,2,2903.4714663028717,1250000,1e-05,20,0.1,31,True,10000,True,10000,True,True,25
26,115,47,168,59,308,49,0,1,7,18.03,69.0,new,experiments/results/TA_2_2/5mill_L/26.onnx,TA,2,2,3021.063150167465,1300000,1e-05,20,0.1,31,True,10000,True,10000,True,True,26
27,123,48,204,61,307,74,0,1,10,18.06,67.0,new,experiments/results/TA_2_2/5mill_L/27.onnx,TA,2,2,3143.364851951599,1350000,1e-05,20,0.1,31,True,10000,True,10000,True,True,27
28,140,45,245,56,358,11,0,1,16,29.03,118.0,new,experiments/results/TA_2_2/5mill_L/28.onnx,TA,2,2,3258.886702775955,1400000,1e-05,20,0.1,31,True,10000,True,10000,True,True,28
29,114,56,196,78,306,74,0,1,8,18.02,57.0,new,experiments/results/TA_2_2/5mill_L/29.onnx,TA,2,2,3374.062240123749,1450000,1e-05,20,0.1,31,True,10000,True,10000,True,True,29
30,109,63,176,89,337,56,0,1,12,16.05,77.0,new,experiments/results/TA_2_2/5mill_L/30.onnx,TA,2,2,3491.5670750141144,1500000,1e-05,20,0.1,31,True,10000,True,10000,True,True,30
31,120,49,194,64,352,53,0,1,8,23.0,104.0,new,experiments/results/TA_2_2/5mill_L/31.onnx,TA,2,2,3607.066826581955,1550000,1e-05,20,0.1,31,True,10000,True,10000,True,True,31
32,140,48,255,61,309,82,0,1,20,33.03,73.0,new,experiments/results/TA_2_2/5mill_L/32.onnx,TA,2,2,3722.777266263962,1600000,1e-05,20,0.1,31,True,10000,True,10000,True,True,32
33,116,97,206,163,335,74,0,1,12,17.05,80.0,new,experiments/results/TA_2_2/5mill_L/33.onnx,TA,2,2,3841.0475838184357,1650000,1e-05,20,0.1,31,True,10000,True,10000,True,True,33
34,140,48,257,61,429,72,0,1,21,36.01,128.0,new,experiments/results/TA_2_2/5mill_L/34.onnx,TA,2,2,3956.3694627285004,1700000,1e-05,20,0.1,31,True,10000,True,10000,True,True,34
35,108,60,181,86,280,63,0,1,7,16.01,64.0,new,experiments/results/TA_2_2/5mill_L/35.onnx,TA,2,2,4072.171527862549,1750000,1e-05,20,0.1,31,True,10000,True,10000,True,True,35
36,107,51,153,66,369,42,0,1,7,16.01,105.0,new,experiments/results/TA_2_2/5mill_L/36.onnx,TA,2,2,4192.070022583008,1800000,1e-05,20,0.1,31,True,10000,True,10000,True,True,36
37,104,45,130,56,264,24,0,1,6,14.04,62.0,new,experiments/results/TA_2_2/5mill_L/37.onnx,TA,2,2,4307.567345380783,1850000,1e-05,20,0.1,31,True,10000,True,10000,True,True,37
38,138,45,229,56,308,11,0,1,16,29.02,73.0,new,experiments/results/TA_2_2/5mill_L/38.onnx,TA,2,2,4424.947297811508,1900000,1e-05,20,0.1,31,True,10000,True,10000,True,True,38
39,111,53,153,71,326,36,0,1,9,16.03,86.0,new,experiments/results/TA_2_2/5mill_L/39.onnx,TA,2,2,4539.90918469429,1950000,1e-05,20,0.1,31,True,10000,True,10000,True,True,39
40,140,48,220,61,326,59,0,1,10,29.0,98.0,new,experiments/results/TA_2_2/5mill_L/40.onnx,TA,2,2,4655.403346538544,2000000,1e-05,20,0.1,31,True,10000,True,10000,True,True,40
41,117,47,169,59,304,40,0,1,11,19.06,84.0,new,experiments/results/TA_2_2/5mill_L/41.onnx,TA,2,2,4772.789244651794,2050000,1e-05,20,0.1,31,True,10000,True,10000,True,True,41
42,117,47,178,59,333,51,0,1,12,15.05,91.0,new,experiments/results/TA_2_2/5mill_L/42.onnx,TA,2,2,4887.740374803543,2100000,1e-05,20,0.1,31,True,10000,True,10000,True,True,42
43,140,56,252,78,359,11,0,1,39,29.02,109.0,new,experiments/results/TA_2_2/5mill_L/43.onnx,TA,2,2,5005.411346912384,2150000,1e-05,20,0.1,31,True,10000,True,10000,True,True,43
44,140,74,276,119,405,98,0,1,23,45.01,133.0,new,experiments/results/TA_2_2/5mill_L/44.onnx,TA,2,2,5122.985234260559,2200000,1e-05,20,0.1,31,True,10000,True,10000,True,True,44
45,140,63,239,92,322,77,0,1,21,30.03,93.0,new,experiments/results/TA_2_2/5mill_L/45.onnx,TA,2,2,5240.500593185425,2250000,1e-05,20,0.1,31,True,10000,True,10000,True,True,45
46,135,65,235,96,375,78,0,1,13,28.02,120.0,new,experiments/results/TA_2_2/5mill_L/46.onnx,TA,2,2,5355.430508375168,2300000,1e-05,20,0.1,31,True,10000,True,10000,True,True,46
47,115,65,195,96,306,62,0,1,14,19.99,60.0,new,experiments/results/TA_2_2/5mill_L/47.onnx,TA,2,2,5470.363885879517,2350000,1e-05,20,0.1,31,True,10000,True,10000,True,True,47
48,136,62,228,86,311,9,0,1,24,25.03,93.0,new,experiments/results/TA_2_2/5mill_L/48.onnx,TA,2,2,5592.53659081459,2400000,1e-05,20,0.1,31,True,10000,True,10000,True,True,48
49,103,59,170,83,293,49,0,1,16,18.04,55.0,new,experiments/results/TA_2_2/5mill_L/49.onnx,TA,2,2,5712.211685180664,2450000,1e-05,20,0.1,31,True,10000,True,10000,True,True,49
50,114,45,171,56,333,36,0,1,17,18.04,93.0,new,experiments/results/TA_2_2/5mill_L/50.onnx,TA,2,2,5838.849072217941,2500000,1e-05,20,0.1,31,True,10000,True,10000,True,True,50
51,140,65,264,96,322,96,0,1,23,29.01,81.0,new,experiments/results/TA_2_2/5mill_L/51.onnx,TA,2,2,5956.423435926437,2550000,1e-05,20,0.1,31,True,10000,True,10000,True,True,51
52,140,73,251,113,419,45,0,1,17,38.99,123.0,new,experiments/results/TA_2_2/5mill_L/52.onnx,TA,2,2,6071.472010135651,2600000,1e-05,20,0.1,31,True,10000,True,10000,True,True,52
