,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,15.0,15.0,18.0,18.0,147.0,4.0,0.0,1.0,0.0,17.14,7.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,148.0,5.0,0.0,1.0,2.0,17.14,8.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,145.0,6.0,0.0,1.0,2.0,17.63,15.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,3
3,21.0,21.0,27.0,27.0,186.0,7.0,0.0,1.0,0.0,17.63,13.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,4
4,23.0,23.0,30.0,30.0,185.0,8.0,0.0,1.0,0.0,18.18,9.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,5
5,25.0,25.0,33.0,33.0,173.0,9.0,0.0,1.0,0.0,18.18,12.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,6
6,27.0,27.0,36.0,36.0,168.0,10.0,0.0,1.0,0.0,18.66,15.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,7
7,29.0,29.0,39.0,39.0,183.0,11.0,0.0,1.0,0.0,19.14,18.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,8
8,31.0,31.0,42.0,42.0,166.0,12.0,0.0,1.0,0.0,19.14,16.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,9
9,33.0,33.0,45.0,45.0,205.0,13.0,0.0,1.0,0.0,19.62,26.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,10
10,35.0,35.0,48.0,48.0,194.0,14.0,0.0,1.0,0.0,20.18,29.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,190.0,15.0,0.0,1.0,2.0,20.66,26.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,211.0,16.0,0.0,1.0,2.0,21.14,33.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,209.0,17.0,0.0,1.0,2.0,21.62,33.0,new,experiments/results/TA_2_2/5mill_L/95.onnx,TA,1,14
