,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,140,101,282,177,263,1,0,1,28,9.12,43.0,new,experiments/results/TA_2_2/5mill_RA/0.onnx,TA,2,2,1.9727952480316162,0,1e-05,20,0.1,15,True,10000,True,10000,True,False,0
1,140,87,249,142,273,25,0,1,8,15.95,63.0,new,experiments/results/TA_2_2/5mill_RA/1.onnx,TA,2,2,83.80880403518677,50000,1e-05,20,0.1,15,True,10000,True,10000,True,False,1
2,140,51,233,67,376,23,0,1,6,15.98,98.0,new,experiments/results/TA_2_2/5mill_RA/2.onnx,TA,2,2,167.60102033615112,100000,1e-05,20,0.1,15,True,10000,True,10000,True,False,2
3,140,50,245,65,379,71,0,1,9,18.97,90.0,new,experiments/results/TA_2_2/5mill_RA/3.onnx,TA,2,2,252.5212013721466,150000,1e-05,20,0.1,15,True,10000,True,10000,True,False,3
4,140,45,197,56,297,37,0,1,6,13.0,62.0,new,experiments/results/TA_2_2/5mill_RA/4.onnx,TA,2,2,338.07238245010376,200000,1e-05,20,0.1,15,True,10000,True,10000,True,False,4
5,140,47,197,60,284,43,0,1,6,14.97,69.0,new,experiments/results/TA_2_2/5mill_RA/5.onnx,TA,2,2,423.90934801101685,250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,5
6,136,50,196,65,332,52,0,1,6,14.99,68.0,new,experiments/results/TA_2_2/5mill_RA/6.onnx,TA,2,2,509.9361164569855,300000,1e-05,20,0.1,15,True,10000,True,10000,True,False,6
7,135,50,219,65,333,76,0,1,6,15.98,54.0,new,experiments/results/TA_2_2/5mill_RA/7.onnx,TA,2,2,595.7790858745575,350000,1e-05,20,0.1,15,True,10000,True,10000,True,False,7
8,139,50,263,65,318,113,0,1,10,21.96,68.0,new,experiments/results/TA_2_2/5mill_RA/8.onnx,TA,2,2,681.1411685943604,400000,1e-05,20,0.1,15,True,10000,True,10000,True,False,8
9,86,46,126,57,218,40,0,1,6,27.14,28.0,new,experiments/results/TA_2_2/5mill_RA/9.onnx,TA,2,2,765.3927128314972,450000,1e-05,20,0.1,15,True,10000,True,10000,True,False,9
10,66,45,87,56,231,20,0,1,7,23.62,29.0,new,experiments/results/TA_2_2/5mill_RA/10.onnx,TA,2,2,849.0979335308075,500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,10
11,87,45,132,56,281,45,0,1,6,27.14,38.0,new,experiments/results/TA_2_2/5mill_RA/11.onnx,TA,2,2,932.272736787796,550000,1e-05,20,0.1,15,True,10000,True,10000,True,False,11
12,102,55,174,75,262,65,0,1,7,8.98,31.0,new,experiments/results/TA_2_2/5mill_RA/12.onnx,TA,2,2,1015.9494431018829,600000,1e-05,20,0.1,15,True,10000,True,10000,True,False,12
13,134,95,254,163,338,109,0,1,7,17.98,66.0,new,experiments/results/TA_2_2/5mill_RA/13.onnx,TA,2,2,1099.5485091209412,650000,1e-05,20,0.1,15,True,10000,True,10000,True,False,13
14,82,45,122,56,216,40,0,1,6,26.66,25.0,new,experiments/results/TA_2_2/5mill_RA/14.onnx,TA,2,2,1183.1175754070282,700000,1e-05,20,0.1,15,True,10000,True,10000,True,False,14
15,88,45,138,56,232,48,0,1,8,27.62,30.0,new,experiments/results/TA_2_2/5mill_RA/15.onnx,TA,2,2,1266.9222159385681,750000,1e-05,20,0.1,15,True,10000,True,10000,True,False,15
16,140,99,281,174,353,110,0,1,28,16.01,52.0,new,experiments/results/TA_2_2/5mill_RA/16.onnx,TA,2,2,1350.6818952560425,800000,1e-05,20,0.1,15,True,10000,True,10000,True,False,16
17,122,74,226,117,256,93,0,1,8,14.01,36.0,new,experiments/results/TA_2_2/5mill_RA/17.onnx,TA,2,2,1434.6877641677856,850000,1e-05,20,0.1,15,True,10000,True,10000,True,False,17
18,140,101,275,177,278,123,0,1,14,18.0,36.0,new,experiments/results/TA_2_2/5mill_RA/18.onnx,TA,2,2,1518.9204635620117,900000,1e-05,20,0.1,15,True,10000,True,10000,True,False,18
19,94,53,148,71,221,53,0,1,6,28.18,19.0,new,experiments/results/TA_2_2/5mill_RA/19.onnx,TA,2,2,1603.091326713562,950000,1e-05,20,0.1,15,True,10000,True,10000,True,False,19
20,132,94,247,159,358,98,0,1,20,14.95,53.0,new,experiments/results/TA_2_2/5mill_RA/20.onnx,TA,2,2,1687.895524263382,1000000,1e-05,20,0.1,15,True,10000,True,10000,True,False,20
21,133,85,247,143,326,92,0,1,19,15.01,61.0,new,experiments/results/TA_2_2/5mill_RA/21.onnx,TA,2,2,1772.5713453292847,1050000,1e-05,20,0.1,15,True,10000,True,10000,True,False,21
22,135,92,253,156,334,85,0,1,12,16.98,55.0,new,experiments/results/TA_2_2/5mill_RA/22.onnx,TA,2,2,1857.6670529842377,1100000,1e-05,20,0.1,15,True,10000,True,10000,True,False,22
23,105,61,181,88,238,63,0,1,16,9.02,25.0,new,experiments/results/TA_2_2/5mill_RA/23.onnx,TA,2,2,1942.5442876815796,1150000,1e-05,20,0.1,15,True,10000,True,10000,True,False,23
24,93,53,144,71,279,45,0,1,11,27.14,38.0,new,experiments/results/TA_2_2/5mill_RA/24.onnx,TA,2,2,2027.8665640354156,1200000,1e-05,20,0.1,15,True,10000,True,10000,True,False,24
25,85,46,124,57,253,36,0,1,8,28.18,38.0,new,experiments/results/TA_2_2/5mill_RA/25.onnx,TA,2,2,2112.962031364441,1250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,25
26,99,63,165,92,231,49,0,1,13,28.66,29.0,new,experiments/results/TA_2_2/5mill_RA/26.onnx,TA,2,2,2198.1672434806824,1300000,1e-05,20,0.1,15,True,10000,True,10000,True,False,26
27,98,65,168,95,277,56,0,1,17,28.66,35.0,new,experiments/results/TA_2_2/5mill_RA/27.onnx,TA,2,2,2284.0812351703644,1350000,1e-05,20,0.1,15,True,10000,True,10000,True,False,27
28,98,61,154,87,245,34,0,1,14,28.18,35.0,new,experiments/results/TA_2_2/5mill_RA/28.onnx,TA,2,2,2370.4865851402283,1400000,1e-05,20,0.1,15,True,10000,True,10000,True,False,28
29,94,47,142,59,222,38,0,1,16,27.7,28.0,new,experiments/results/TA_2_2/5mill_RA/29.onnx,TA,2,2,2456.891832113266,1450000,1e-05,20,0.1,15,True,10000,True,10000,True,False,29
30,94,47,145,59,283,50,0,1,6,27.62,37.0,new,experiments/results/TA_2_2/5mill_RA/30.onnx,TA,2,2,2544.2303664684296,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,30
