,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,209.0,4.0,0.0,1.0,2.0,19.7,33.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,211.0,5.0,0.0,1.0,2.0,20.72,35.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,229.0,6.0,0.0,1.0,2.0,20.18,32.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,3
3,23.0,21.0,29.0,27.0,220.0,7.0,0.0,1.0,2.0,20.18,41.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,243.0,8.0,0.0,1.0,2.0,21.17,42.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,225.0,8.0,0.0,1.0,2.0,21.17,42.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,241.0,9.0,0.0,1.0,2.0,22.18,52.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,233.0,10.0,0.0,1.0,2.0,22.66,54.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,274.0,11.0,0.0,1.0,2.0,22.18,53.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,262.0,8.0,0.0,1.0,2.0,22.66,61.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,241.0,12.0,0.0,1.0,2.0,23.14,58.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,281.0,8.0,0.0,1.0,2.0,23.14,69.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,280.0,9.0,0.0,1.0,2.0,23.62,73.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,270.0,9.0,0.0,1.0,2.0,23.65,88.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,280.0,9.0,0.0,1.0,2.0,24.66,95.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,1,15
15,91.0,55.0,149.0,81.0,398.0,48.0,0.0,1.0,9.0,12.32,170.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,2,1
16,111.0,72.0,182.0,109.0,402.0,63.0,0.0,1.0,6.0,18.45,156.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,2,2
17,132.0,95.0,221.0,148.0,441.0,82.0,0.0,1.0,5.0,22.55,222.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,2,3
18,155.0,110.0,267.0,181.0,500.0,100.0,0.0,1.0,10.0,29.63,247.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,2,4
19,173.0,129.0,299.0,213.0,479.0,106.0,0.0,1.0,11.0,33.68,212.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,2,5
20,173.0,120.0,296.0,193.0,535.0,103.0,0.0,1.0,3.0,33.73,274.0,new,experiments/results/TA_2_2/5mill_RR10k_D/8.onnx,TA,2,6
