,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,17.0,15.0,20.0,18.0,191.0,3.0,0.0,1.0,2.0,18.75,12.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,1,0
1,19.0,17.0,23.0,21.0,197.0,3.0,0.0,1.0,2.0,19.23,13.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,2,0
2,21.0,19.0,26.0,24.0,176.0,3.0,0.0,1.0,2.0,19.2,14.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,3,0
3,23.0,21.0,29.0,27.0,211.0,3.0,0.0,1.0,2.0,19.23,28.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,4,0
4,25.0,23.0,32.0,30.0,177.0,3.0,0.0,1.0,2.0,19.7,16.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,5,0
5,27.0,25.0,35.0,33.0,183.0,3.0,0.0,1.0,2.0,20.18,21.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,6,0
6,29.0,27.0,38.0,36.0,216.0,3.0,0.0,1.0,2.0,20.18,30.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,7,0
7,31.0,29.0,41.0,39.0,188.0,3.0,0.0,1.0,2.0,20.18,24.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,8,0
8,33.0,31.0,44.0,42.0,186.0,3.0,0.0,1.0,2.0,20.18,22.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,9,0
9,35.0,33.0,47.0,45.0,221.0,3.0,0.0,1.0,2.0,20.18,38.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,10,0
10,37.0,35.0,50.0,48.0,243.0,3.0,0.0,1.0,2.0,20.18,40.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,11,0
11,39.0,37.0,53.0,51.0,204.0,3.0,0.0,1.0,2.0,20.18,26.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,12,0
12,41.0,39.0,56.0,54.0,208.0,3.0,0.0,1.0,2.0,20.18,42.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,13,0
13,43.0,41.0,59.0,57.0,242.0,3.0,0.0,1.0,2.0,20.18,52.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,14,0
14,45.0,43.0,62.0,60.0,197.0,3.0,0.0,1.0,2.0,20.66,33.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,1,15,0
15,107.0,70.0,197.0,105.0,293.0,39.0,0.0,1.0,28.0,26.18,94.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,1,0
16,126.0,86.0,233.0,134.0,326.0,42.0,0.0,1.0,30.0,29.14,127.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,2,0
17,146.0,103.0,263.0,163.0,361.0,51.0,0.0,1.0,26.0,16.11,142.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,3,0
18,166.0,119.0,301.0,192.0,363.0,57.0,0.0,1.0,27.0,19.18,129.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,4,0
19,187.0,135.0,350.0,223.0,453.0,68.0,0.0,1.0,33.0,26.23,195.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,5,0
20,207.0,151.0,387.0,252.0,449.0,76.0,0.0,1.0,35.0,30.22,148.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,6,0
21,227.0,167.0,425.0,281.0,526.0,77.0,0.0,1.0,37.0,36.3,239.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,7,0
22,247.0,183.0,463.0,310.0,545.0,89.0,0.0,1.0,32.0,41.34,256.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,8,0
23,264.0,199.0,479.0,337.0,444.0,78.0,0.0,1.0,31.0,39.32,179.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,9,0
24,284.0,215.0,514.0,366.0,505.0,90.0,0.0,1.0,29.0,45.28,211.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,10,0
25,304.0,231.0,551.0,395.0,477.0,96.0,0.0,1.0,30.0,49.34,174.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,11,0
26,324.0,247.0,593.0,424.0,503.0,112.0,0.0,1.0,34.0,58.44,184.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,12,0
27,344.0,263.0,630.0,453.0,609.0,110.0,0.0,1.0,35.0,64.46,262.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,13,0
28,364.0,279.0,667.0,482.0,634.0,117.0,0.0,1.0,36.0,69.4,274.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,14,0
29,384.0,295.0,704.0,511.0,630.0,124.0,0.0,1.0,37.0,76.47,257.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,2,15,0
30,708.0,318.0,1880.0,616.0,1517.0,584.0,0.0,1.0,232.0,60.18,447.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,3,1,0
31,858.0,421.0,2318.0,869.0,2074.0,825.0,0.0,1.0,262.0,85.57,511.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,3,2,0
32,1008.0,430.0,2730.0,853.0,2841.0,1014.0,0.0,1.0,261.0,82.1,710.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,3,3,0
33,1150.0,440.0,3149.0,867.0,3634.0,1028.0,0.0,1.0,287.0,202.15,891.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,3,4,0
34,1294.0,626.0,3514.0,1383.0,4331.0,1100.0,0.0,1.0,375.0,120.6,775.0,True,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,3,5,0
35,,,,,,,,,,,,False,new,experiments/results/TA_2_2/5mill_RR10k_NORA/0.onnx,TA,3,6,0
