,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,16.0,15.0,19.0,18.0,146.0,4.0,0.0,1.0,1.0,17.2,7.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,1,0
1,18.0,17.0,22.0,21.0,174.0,4.0,0.0,1.0,1.0,17.14,12.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,2,0
2,20.0,19.0,25.0,24.0,164.0,4.0,0.0,1.0,1.0,17.63,19.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,3,0
3,22.0,21.0,28.0,27.0,180.0,5.0,0.0,1.0,1.0,17.63,15.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,4,0
4,24.0,23.0,31.0,30.0,181.0,6.0,0.0,1.0,1.0,18.18,21.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,5,0
5,26.0,25.0,34.0,33.0,157.0,6.0,0.0,1.0,1.0,18.66,17.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,6,0
6,28.0,27.0,37.0,36.0,198.0,7.0,0.0,1.0,1.0,18.66,21.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,7,0
7,30.0,29.0,40.0,39.0,210.0,8.0,0.0,1.0,1.0,19.14,25.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,8,0
8,32.0,31.0,43.0,42.0,193.0,8.0,0.0,1.0,1.0,19.62,27.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,9,0
9,34.0,33.0,46.0,45.0,170.0,9.0,0.0,1.0,1.0,19.7,22.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,10,0
10,36.0,35.0,49.0,48.0,193.0,10.0,0.0,1.0,1.0,20.18,21.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,11,0
11,38.0,37.0,52.0,51.0,192.0,9.0,0.0,1.0,1.0,20.66,28.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,12,0
12,40.0,39.0,55.0,54.0,193.0,10.0,0.0,1.0,1.0,21.14,33.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,13,0
13,42.0,41.0,58.0,57.0,224.0,11.0,0.0,1.0,1.0,21.62,33.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,14,0
14,44.0,43.0,61.0,60.0,232.0,11.0,0.0,1.0,1.0,22.18,33.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,1,15,0
15,107.0,81.0,187.0,136.0,317.0,51.0,0.0,1.0,8.0,19.92,81.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,1,0
16,125.0,97.0,225.0,170.0,292.0,61.0,0.0,1.0,8.0,29.99,77.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,2,0
17,143.0,113.0,263.0,204.0,413.0,72.0,0.0,1.0,8.0,36.05,129.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,3,0
18,161.0,131.0,301.0,241.0,407.0,85.0,0.0,1.0,8.0,47.15,117.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,4,0
19,179.0,147.0,339.0,275.0,487.0,98.0,0.0,1.0,8.0,58.23,156.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,5,0
20,197.0,164.0,376.0,311.0,472.0,117.0,0.0,1.0,11.0,68.29,137.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,6,0
21,215.0,180.0,414.0,345.0,532.0,133.0,0.0,1.0,15.0,82.4,147.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,7,0
22,233.0,194.0,452.0,376.0,566.0,151.0,0.0,1.0,18.0,96.5,193.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,8,0
23,251.0,212.0,490.0,413.0,615.0,155.0,0.0,1.0,14.0,110.61,185.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,9,0
24,269.0,228.0,528.0,447.0,710.0,141.0,0.0,1.0,8.0,122.73,246.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,10,0
25,287.0,244.0,566.0,481.0,676.0,158.0,0.0,1.0,10.0,138.87,246.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,11,0
26,305.0,260.0,604.0,515.0,695.0,150.0,0.0,1.0,12.0,23.98,238.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,12,0
27,323.0,274.0,642.0,546.0,772.0,164.0,0.0,1.0,14.0,51.99,280.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,13,0
28,341.0,292.0,680.0,583.0,723.0,172.0,0.0,1.0,13.0,61.11,261.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,14,0
29,358.0,307.0,716.0,616.0,936.0,232.0,0.0,1.0,19.0,52.44,296.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,2,15,0
30,743.0,395.0,2069.0,863.0,2307.0,811.0,0.0,1.0,101.0,64.89,1142.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,3,1,0
31,881.0,476.0,2465.0,1067.0,2969.0,1157.0,0.0,1.0,122.0,99.95,1214.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,3,2,0
32,1017.0,610.0,2878.0,1423.0,4097.0,1372.0,0.0,1.0,134.0,143.7,1810.0,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,3,3,0
33,,,,,,,,,,,,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,3,4,0
34,,,,,,,,,,,,new,experiments/results/TA_2_2/5mill_SL20/0.onnx,TA,4,1,0
35,16.0,15.0,19.0,18.0,168.0,3.0,0.0,1.0,1.0,17.2,9.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,1,1
36,18.0,17.0,22.0,21.0,165.0,3.0,0.0,1.0,1.0,17.14,9.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,2,1
37,20.0,19.0,25.0,24.0,171.0,3.0,0.0,1.0,1.0,17.63,12.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,3,1
38,22.0,21.0,28.0,27.0,149.0,3.0,0.0,1.0,1.0,17.63,13.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,4,1
39,24.0,23.0,31.0,30.0,160.0,3.0,0.0,1.0,1.0,18.18,14.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,5,1
40,26.0,25.0,34.0,33.0,191.0,3.0,0.0,1.0,1.0,18.18,21.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,6,1
41,28.0,27.0,37.0,36.0,193.0,3.0,0.0,1.0,1.0,18.66,12.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,7,1
42,30.0,29.0,40.0,39.0,174.0,3.0,0.0,1.0,1.0,19.14,16.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,8,1
43,32.0,31.0,43.0,42.0,194.0,3.0,0.0,1.0,1.0,19.14,20.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,9,1
44,34.0,33.0,46.0,45.0,197.0,3.0,0.0,1.0,1.0,19.62,19.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,10,1
45,36.0,35.0,49.0,48.0,205.0,3.0,0.0,1.0,1.0,20.18,22.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,11,1
46,38.0,37.0,52.0,51.0,174.0,3.0,0.0,1.0,1.0,20.66,18.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,12,1
47,40.0,39.0,55.0,54.0,191.0,3.0,0.0,1.0,1.0,21.14,30.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,13,1
48,42.0,41.0,58.0,57.0,180.0,3.0,0.0,1.0,1.0,21.62,28.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,14,1
49,44.0,43.0,61.0,60.0,198.0,3.0,0.0,1.0,1.0,21.62,31.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,1,15,1
50,120.0,64.0,212.0,97.0,362.0,29.0,0.0,1.0,16.0,25.94,114.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,1,1
51,140.0,76.0,255.0,119.0,326.0,35.0,0.0,1.0,17.0,38.01,114.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,2,1
52,160.0,88.0,296.0,142.0,385.0,38.0,0.0,1.0,15.0,51.09,112.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,3,1
53,180.0,110.0,340.0,188.0,546.0,48.0,0.0,1.0,16.0,65.16,183.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,4,1
54,200.0,121.0,385.0,210.0,439.0,50.0,0.0,1.0,16.0,78.25,139.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,5,1
55,220.0,138.0,429.0,242.0,603.0,52.0,0.0,1.0,14.0,92.32,242.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,6,1
56,240.0,149.0,471.0,264.0,597.0,57.0,0.0,1.0,16.0,111.41,228.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,7,1
57,260.0,164.0,507.0,292.0,581.0,68.0,0.0,1.0,15.0,134.53,252.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,8,1
58,280.0,177.0,556.0,317.0,806.0,58.0,0.0,1.0,18.0,150.62,348.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,9,1
59,300.0,191.0,600.0,345.0,679.0,64.0,0.0,1.0,15.0,29.57,332.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,10,1
60,320.0,168.0,631.0,294.0,750.0,81.0,0.0,1.0,17.0,53.68,319.0,new,experiments/results/TA_2_2/5mill_SL20/1.onnx,TA,2,11,1
