,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
0,187.0,319,144,2,2,TA,11,2839.6602218151093,3800000,-111.98838553749705,0
1,9861.0,3466,1091,3,3,TA,11,2839.6602218151093,3800000,-111.98838553749705,0
2,41.0,231,139,2,2,TA,11,1273.3237404823303,1750000,-95.44743145361139,1
3,5233.0,2129,1031,3,3,TA,11,1273.3237404823303,1750000,-95.44743145361139,1
4,97.0,272,144,2,2,TA,11,436.88964462280273,600000,-75.23135331156881,2
5,12296.0,2984,1091,3,3,TA,11,436.88964462280273,600000,-75.23135331156881,2
6,59.0,288,144,2,2,TA,11,1053.9881048202515,1450000,-125.3876841383118,3
7,5010.0,3357,1091,3,3,TA,11,1053.9881048202515,1450000,-125.3876841383118,3
8,39.0,204,118,2,2,TA,11,1527.0520300865173,2100000,-96.98071936596196,4
9,2214.0,1211,535,3,3,TA,11,1527.0520300865173,2100000,-96.98071936596196,4
10,45.0,231,144,2,2,TA,11,3366.3187460899353,4450000,-112.72070873517227,5
11,10438.0,3288,1091,3,3,TA,11,3366.3187460899353,4450000,-112.72070873517227,5
12,58.0,284,138,2,2,TA,11,982.921511888504,1350000,-123.34872739160464,6
13,3821.0,3323,1061,3,3,TA,11,982.921511888504,1350000,-123.34872739160464,6
14,59.0,295,144,2,2,TA,11,2919.6497094631195,3900000,-105.3741870892035,7
15,5397.0,3268,1091,3,3,TA,11,2919.6497094631195,3900000,-105.3741870892035,7
16,97.0,296,141,2,2,TA,11,1563.9779891967773,2150000,-115.30078011875842,8
17,3855.0,3436,1091,3,3,TA,11,1563.9779891967773,2150000,-115.30078011875842,8
18,59.0,323,144,2,2,TA,11,1344.4062988758087,1850000,-123.5358395482433,9
19,5144.0,3504,1091,3,3,TA,11,1344.4062988758087,1850000,-123.5358395482433,9
20,58.0,306,140,2,2,TA,11,1417.0673699378967,1950000,-125.27226818196078,10
21,4587.0,3448,1074,3,3,TA,11,1417.0673699378967,1950000,-125.27226818196078,10
22,45.0,227,144,2,2,TA,11,588.2950375080109,800000,-95.19515503754172,11
23,7642.0,2685,1091,3,3,TA,11,588.2950375080109,800000,-95.19515503754172,11
24,115.0,281,144,2,2,TA,11,3202.465131521225,4250000,-97.54458238273928,12
25,9992.0,3188,1091,3,3,TA,11,3202.465131521225,4250000,-97.54458238273928,12
26,44.0,215,144,2,2,TA,11,474.4752719402313,650000,-80.39589208295212,13
27,10583.0,2806,1091,3,3,TA,11,474.4752719402313,650000,-80.39589208295212,13
28,22.0,126,79,2,2,TA,11,3284.6729831695557,4350000,-106.40635666237765,14
29,780.0,594,305,3,3,TA,11,3284.6729831695557,4350000,-106.40635666237765,14
30,58.0,286,144,2,2,TA,11,1947.3565208911896,2650000,-121.19054311092704,15
31,3396.0,3283,1091,3,3,TA,11,1947.3565208911896,2650000,-121.19054311092704,15
32,64.0,278,144,2,2,TA,11,2758.715423345566,3700000,-81.24672776674336,16
33,12327.0,3086,1091,3,3,TA,11,2758.715423345566,3700000,-81.24672776674336,16
34,48.0,253,144,2,2,TA,11,878.3584625720978,1200000,-123.95626843681521,17
35,12216.0,3121,1091,3,3,TA,11,878.3584625720978,1200000,-123.95626843681521,17
36,47.0,258,126,2,2,TA,11,1986.8892002105713,2700000,-123.21305391191464,18
37,6121.0,3392,1057,3,3,TA,11,1986.8892002105713,2700000,-123.21305391191464,18
38,40.0,211,124,2,2,TA,11,2218.780793428421,3000000,-102.84676256628154,19
39,7523.0,3293,1091,3,3,TA,11,2218.780793428421,3000000,-102.84676256628154,19
40,64.0,291,144,2,2,TA,11,665.2230830192566,900000,-102.77312648888764,20
41,11764.0,3089,1091,3,3,TA,11,665.2230830192566,900000,-102.77312648888764,20
42,75.0,307,144,2,2,TA,11,362.55873370170593,500000,-65.77468412952393,21
