,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,29.0,4.0,0.0,1.0,2.0,16.18,new,r,TA,1,1
1,19.0,17.0,23.0,21.0,30.0,4.0,0.0,1.0,2.0,16.18,new,r,TA,1,2
2,21.0,19.0,26.0,24.0,31.0,4.0,0.0,1.0,2.0,16.67,new,r,TA,1,3
3,23.0,21.0,29.0,27.0,35.0,5.0,0.0,1.0,2.0,16.66,new,r,TA,1,4
4,25.0,23.0,32.0,30.0,35.0,6.0,0.0,1.0,2.0,17.15,new,r,TA,1,5
5,27.0,25.0,35.0,33.0,37.0,7.0,0.0,1.0,2.0,17.14,new,r,TA,1,6
6,29.0,27.0,38.0,36.0,38.0,8.0,0.0,1.0,2.0,17.62,new,r,TA,1,7
7,31.0,29.0,41.0,39.0,42.0,9.0,0.0,1.0,2.0,17.62,new,r,TA,1,8
8,33.0,31.0,44.0,42.0,45.0,10.0,0.0,1.0,2.0,18.18,new,r,TA,1,9
9,35.0,33.0,47.0,45.0,46.0,11.0,0.0,1.0,2.0,18.66,new,r,TA,1,10
10,37.0,35.0,50.0,48.0,58.0,12.0,0.0,1.0,2.0,18.66,new,r,TA,1,11
11,39.0,37.0,53.0,51.0,49.0,13.0,0.0,1.0,2.0,19.14,new,r,TA,1,12
12,41.0,39.0,56.0,54.0,52.0,14.0,0.0,1.0,2.0,19.62,new,r,TA,1,13
13,43.0,41.0,59.0,57.0,54.0,15.0,0.0,1.0,2.0,20.18,new,r,TA,1,14
14,45.0,43.0,62.0,60.0,56.0,16.0,0.0,1.0,2.0,20.66,new,r,TA,1,15
15,94.0,51.0,156.0,70.0,106.0,44.0,0.0,1.0,18.0,25.62,new,r,TA,2,1
16,98.0,51.0,160.0,66.0,101.0,40.0,0.0,1.0,17.0,26.18,new,r,TA,2,2
17,106.0,57.0,173.0,75.0,110.0,42.0,0.0,1.0,17.0,27.62,new,r,TA,2,3
18,114.0,63.0,186.0,84.0,113.0,44.0,0.0,1.0,17.0,29.14,new,r,TA,2,4
19,125.0,75.0,206.0,106.0,136.0,50.0,0.0,1.0,17.0,10.07,new,r,TA,2,5
20,131.0,81.0,215.0,115.0,138.0,51.0,0.0,1.0,16.0,12.19,new,r,TA,2,6
21,140.0,87.0,230.0,124.0,148.0,54.0,0.0,1.0,17.0,15.25,new,r,TA,2,7
22,148.0,93.0,243.0,133.0,155.0,57.0,0.0,1.0,17.0,17.36,new,r,TA,2,8
23,158.0,99.0,260.0,142.0,154.0,61.0,0.0,1.0,18.0,19.49,new,r,TA,2,9
24,166.0,102.0,273.0,145.0,164.0,64.0,0.0,1.0,18.0,22.58,new,r,TA,2,10
25,172.0,105.0,281.0,147.0,169.0,63.0,0.0,1.0,19.0,23.71,new,r,TA,2,11
26,178.0,111.0,290.0,156.0,173.0,66.0,0.0,1.0,17.0,26.82,new,r,TA,2,12
27,187.0,117.0,305.0,165.0,186.0,70.0,0.0,1.0,17.0,29.96,new,r,TA,2,13
28,196.0,129.0,321.0,187.0,204.0,75.0,0.0,1.0,17.0,33.11,new,r,TA,2,14
29,203.0,135.0,332.0,196.0,203.0,77.0,0.0,1.0,17.0,36.26,new,r,TA,2,15
30,479.0,171.0,947.0,269.0,589.0,312.0,0.0,1.0,69.0,42.96,new,r,TA,3,1
31,532.0,199.0,1074.0,324.0,678.0,348.0,0.0,1.0,74.0,99.15,new,r,TA,3,2
32,867.0,168.0,2053.0,256.0,1571.0,774.0,0.0,1.0,178.0,29.82,new,r,TA,3,3
33,619.0,253.0,1221.0,424.0,841.0,393.0,0.0,1.0,63.0,16.1,new,r,TA,3,4
34,682.0,191.0,1371.0,275.0,1023.0,442.0,0.0,1.0,77.0,139.22,new,r,TA,3,5
35,733.0,319.0,1485.0,552.0,969.0,469.0,0.0,1.0,72.0,20.47,new,r,TA,3,6
36,778.0,222.0,1604.0,335.0,1144.0,505.0,0.0,1.0,103.0,109.02,new,r,TA,3,7
37,819.0,376.0,1641.0,661.0,1085.0,530.0,0.0,1.0,77.0,128.96,new,r,TA,3,8
38,868.0,409.0,1752.0,723.0,1298.0,573.0,0.0,1.0,72.0,93.36,new,r,TA,3,9
39,930.0,280.0,1877.0,418.0,1330.0,608.0,0.0,1.0,70.0,170.87,new,r,TA,3,10
40,978.0,470.0,2017.0,848.0,1567.0,639.0,0.0,1.0,111.0,87.94,new,r,TA,3,11
41,1033.0,499.0,2089.0,894.0,1603.0,638.0,0.0,1.0,109.0,169.69,new,r,TA,3,12
42,1094.0,529.0,2220.0,951.0,1870.0,693.0,0.0,1.0,97.0,141.33,new,r,TA,3,13
43,1128.0,558.0,2313.0,1005.0,1824.0,731.0,0.0,1.0,93.0,47.53,new,r,TA,3,14
44,1197.0,589.0,2429.0,1065.0,2003.0,748.0,0.0,1.0,134.0,183.57,new,r,TA,3,15
45,2089.0,476.0,5017.0,855.0,6762.0,2045.0,0.0,1.0,275.0,33.7,new,r,TA,4,1
46,2284.0,563.0,5235.0,991.0,7336.0,2020.0,0.0,1.0,229.0,313.93,new,r,TA,4,2
47,2408.0,666.0,5469.0,1200.0,8175.0,2142.0,0.0,1.0,223.0,318.09,new,r,TA,4,3
48,2712.0,765.0,6292.0,1408.0,10629.0,2458.0,0.0,1.0,269.0,147.18,new,r,TA,4,4
49,2906.0,859.0,6711.0,1602.0,12529.0,2635.0,0.0,1.0,249.0,263.42,new,r,TA,4,5
50,3099.0,958.0,7137.0,1804.0,15246.0,2877.0,0.0,1.0,310.0,289.02,new,r,TA,4,6
51,3324.0,1067.0,8175.0,2118.0,21473.0,3426.0,0.0,1.0,371.0,334.21,new,r,TA,4,7
52,3507.0,586.0,8085.0,931.0,18891.0,3136.0,0.0,1.0,273.0,278.98,new,r,TA,4,8
53,3712.0,1243.0,8547.0,2391.0,22088.0,3356.0,0.0,1.0,244.0,294.4,new,r,TA,4,9
54,3923.0,1354.0,9056.0,2616.0,24720.0,3528.0,0.0,1.0,252.0,329.09,new,r,TA,4,10
55,4137.0,1455.0,9771.0,2903.0,32949.0,4040.0,0.0,1.0,415.0,258.88,new,r,TA,4,11
56,,,,,,,,,,,new,r,TA,4,12
57,8352.0,548.0,20783.0,804.0,139966.0,9171.0,0.0,1.0,567.0,340.26,new,r,TA,5,1
58,9054.0,654.0,22665.0,998.0,171829.0,9930.0,0.0,1.0,589.0,346.47,new,r,TA,5,2
59,9792.0,1698.0,24638.0,3180.0,213987.0,10971.0,0.0,1.0,687.0,355.19,new,r,TA,5,3
60,10391.0,1958.0,26179.0,3740.0,254773.0,11751.0,0.0,1.0,659.0,350.32,new,r,TA,5,4
61,11021.0,2232.0,27857.0,4334.0,304105.0,12498.0,0.0,1.0,599.0,349.16,new,r,TA,5,5
62,11796.0,2511.0,31941.0,5324.0,497937.0,15676.0,0.0,1.0,1014.0,353.17,new,r,TA,5,6
63,12541.0,2748.0,31745.0,5430.0,427823.0,14366.0,0.0,1.0,638.0,368.29,new,r,TA,5,7
64,13296.0,3022.0,33879.0,6092.0,463737.0,15256.0,0.0,1.0,665.0,359.35,new,r,TA,5,8
65,13845.0,3288.0,35341.0,6658.0,588755.0,16217.0,0.0,1.0,710.0,243.94,new,r,TA,5,9
66,,,,,,,,,,,new,r,TA,5,10
67,,,,,,,,,,,new,r,TA,6,1
