,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,ra feature,idx
0,140,91,279,156,287,25,0,1,37,14.01,56.0,new,experiments/results/TA_2_2/TB_1mill/0.onnx,TA,2,2,1.497356653213501,0,1e-05,20,0.1,15,True,10000,True,0
1,140,97,277,169,291,17,0,1,36,15.96,70.0,new,experiments/results/TA_2_2/TB_1mill/1.onnx,TA,2,2,17.665742874145508,10000,1e-05,20,0.1,15,True,10000,True,1
2,140,104,275,183,269,12,0,1,39,15.96,71.0,new,experiments/results/TA_2_2/TB_1mill/2.onnx,TA,2,2,33.35495185852051,20000,1e-05,20,0.1,15,True,10000,True,2
3,140,104,272,183,281,12,0,1,39,15.96,68.0,new,experiments/results/TA_2_2/TB_1mill/3.onnx,TA,2,2,48.96554923057556,30000,1e-05,20,0.1,15,True,10000,True,3
4,140,75,265,118,354,12,0,1,38,15.96,74.0,new,experiments/results/TA_2_2/TB_1mill/4.onnx,TA,2,2,64.53409361839294,40000,1e-05,20,0.1,15,True,10000,True,4
5,140,75,261,118,280,11,0,1,38,17.95,66.0,new,experiments/results/TA_2_2/TB_1mill/5.onnx,TA,2,2,80.32104015350342,50000,1e-05,20,0.1,15,True,10000,True,5
6,140,80,269,128,380,40,0,1,39,18.97,98.0,new,experiments/results/TA_2_2/TB_1mill/6.onnx,TA,2,2,96.07830357551575,60000,1e-05,20,0.1,15,True,10000,True,6
7,140,85,266,141,306,50,0,1,39,21.95,53.0,new,experiments/results/TA_2_2/TB_1mill/7.onnx,TA,2,2,111.9403727054596,70000,1e-05,20,0.1,15,True,10000,True,7
8,140,54,264,73,328,52,0,1,34,20.98,79.0,new,experiments/results/TA_2_2/TB_1mill/8.onnx,TA,2,2,127.94750452041626,80000,1e-05,20,0.1,15,True,10000,True,8
9,140,54,248,73,280,53,0,1,20,18.97,67.0,new,experiments/results/TA_2_2/TB_1mill/9.onnx,TA,2,2,144.11793899536133,90000,1e-05,20,0.1,15,True,10000,True,9
10,140,48,246,61,338,56,0,1,20,18.98,78.0,new,experiments/results/TA_2_2/TB_1mill/10.onnx,TA,2,2,160.26482939720154,100000,1e-05,20,0.1,15,True,10000,True,10
11,140,57,254,79,315,71,0,1,14,22.99,75.0,new,experiments/results/TA_2_2/TB_1mill/11.onnx,TA,2,2,176.52018785476685,110000,1e-05,20,0.1,15,True,10000,True,11
12,140,58,260,81,305,79,0,1,14,22.98,65.0,new,experiments/results/TA_2_2/TB_1mill/12.onnx,TA,2,2,192.75056648254395,120000,1e-05,20,0.1,15,True,10000,True,12
13,140,53,250,70,365,78,0,1,10,21.96,80.0,new,experiments/results/TA_2_2/TB_1mill/13.onnx,TA,2,2,209.03831887245178,130000,1e-05,20,0.1,15,True,10000,True,13
14,140,51,257,66,357,57,0,1,9,19.98,84.0,new,experiments/results/TA_2_2/TB_1mill/14.onnx,TA,2,2,225.42708659172058,140000,1e-05,20,0.1,15,True,10000,True,14
15,140,46,234,57,343,44,0,1,13,16.97,84.0,new,experiments/results/TA_2_2/TB_1mill/15.onnx,TA,2,2,241.7508704662323,150000,1e-05,20,0.1,15,True,10000,True,15
16,140,47,208,60,342,36,0,1,12,14.96,86.0,new,experiments/results/TA_2_2/TB_1mill/16.onnx,TA,2,2,257.9281668663025,160000,1e-05,20,0.1,15,True,10000,True,16
17,140,45,214,56,334,33,0,1,12,13.97,73.0,new,experiments/results/TA_2_2/TB_1mill/17.onnx,TA,2,2,274.05542063713074,170000,1e-05,20,0.1,15,True,10000,True,17
18,140,46,230,57,343,26,0,1,20,13.99,76.0,new,experiments/results/TA_2_2/TB_1mill/18.onnx,TA,2,2,290.15339398384094,180000,1e-05,20,0.1,15,True,10000,True,18
19,140,74,269,117,346,92,0,1,12,21.97,74.0,new,experiments/results/TA_2_2/TB_1mill/19.onnx,TA,2,2,306.31372237205505,190000,1e-05,20,0.1,15,True,10000,True,19
20,140,74,263,117,321,92,0,1,10,22.96,76.0,new,experiments/results/TA_2_2/TB_1mill/20.onnx,TA,2,2,322.70695328712463,200000,1e-05,20,0.1,15,True,10000,True,20
21,140,76,268,120,317,73,0,1,6,21.96,65.0,new,experiments/results/TA_2_2/TB_1mill/21.onnx,TA,2,2,339.03244042396545,210000,1e-05,20,0.1,15,True,10000,True,21
22,140,47,222,60,279,39,0,1,6,14.98,65.0,new,experiments/results/TA_2_2/TB_1mill/22.onnx,TA,2,2,355.5235433578491,220000,1e-05,20,0.1,15,True,10000,True,22
23,140,58,221,81,322,68,0,1,6,18.95,68.0,new,experiments/results/TA_2_2/TB_1mill/23.onnx,TA,2,2,372.0472946166992,230000,1e-05,20,0.1,15,True,10000,True,23
24,139,76,265,120,325,75,0,1,6,20.97,81.0,new,experiments/results/TA_2_2/TB_1mill/24.onnx,TA,2,2,388.46107363700867,240000,1e-05,20,0.1,15,True,10000,True,24
25,140,76,277,120,364,83,0,1,12,21.01,74.0,new,experiments/results/TA_2_2/TB_1mill/25.onnx,TA,2,2,404.7813649177551,250000,1e-05,20,0.1,15,True,10000,True,25
26,138,62,217,87,349,72,0,1,4,17.97,70.0,new,experiments/results/TA_2_2/TB_1mill/26.onnx,TA,2,2,421.3990857601166,260000,1e-05,20,0.1,15,True,10000,True,26
27,140,53,266,70,320,71,0,1,6,22.97,85.0,new,experiments/results/TA_2_2/TB_1mill/27.onnx,TA,2,2,437.88898277282715,270000,1e-05,20,0.1,15,True,10000,True,27
28,139,76,260,120,309,93,0,1,6,21.97,63.0,new,experiments/results/TA_2_2/TB_1mill/28.onnx,TA,2,2,454.00010776519775,280000,1e-05,20,0.1,15,True,10000,True,28
29,140,56,263,77,324,102,0,1,9,21.99,65.0,new,experiments/results/TA_2_2/TB_1mill/29.onnx,TA,2,2,470.30513072013855,290000,1e-05,20,0.1,15,True,10000,True,29
30,140,72,248,109,377,97,0,1,6,20.98,69.0,new,experiments/results/TA_2_2/TB_1mill/30.onnx,TA,2,2,486.8162155151367,300000,1e-05,20,0.1,15,True,10000,True,30
31,140,75,260,119,354,104,0,1,6,22.97,81.0,new,experiments/results/TA_2_2/TB_1mill/31.onnx,TA,2,2,503.3427803516388,310000,1e-05,20,0.1,15,True,10000,True,31
32,140,75,260,119,284,103,0,1,6,22.99,63.0,new,experiments/results/TA_2_2/TB_1mill/32.onnx,TA,2,2,519.7620069980621,320000,1e-05,20,0.1,15,True,10000,True,32
33,69,45,107,56,239,38,0,1,0,26.18,32.0,new,experiments/results/TA_2_2/TB_1mill/33.onnx,TA,2,2,536.3239617347717,330000,1e-05,20,0.1,15,True,10000,True,33
34,139,93,262,160,344,93,0,1,6,20.98,82.0,new,experiments/results/TA_2_2/TB_1mill/34.onnx,TA,2,2,552.8210668563843,340000,1e-05,20,0.1,15,True,10000,True,34
35,126,48,197,61,311,67,0,1,6,11.98,54.0,new,experiments/results/TA_2_2/TB_1mill/35.onnx,TA,2,2,569.2869808673859,350000,1e-05,20,0.1,15,True,10000,True,35
36,118,75,197,111,328,70,0,1,6,13.94,67.0,new,experiments/results/TA_2_2/TB_1mill/36.onnx,TA,2,2,585.6518459320068,360000,1e-05,20,0.1,15,True,10000,True,36
37,140,97,281,170,308,108,0,1,18,17.0,62.0,new,experiments/results/TA_2_2/TB_1mill/37.onnx,TA,2,2,601.8615701198578,370000,1e-05,20,0.1,15,True,10000,True,37
38,87,45,128,56,271,41,0,1,6,27.14,32.0,new,experiments/results/TA_2_2/TB_1mill/38.onnx,TA,2,2,617.9979844093323,380000,1e-05,20,0.1,15,True,10000,True,38
39,87,45,136,56,221,46,0,1,8,28.18,36.0,new,experiments/results/TA_2_2/TB_1mill/39.onnx,TA,2,2,634.3812348842621,390000,1e-05,20,0.1,15,True,10000,True,39
40,139,99,273,174,275,107,0,1,19,18.95,48.0,new,experiments/results/TA_2_2/TB_1mill/40.onnx,TA,2,2,650.4758851528168,400000,1e-05,20,0.1,15,True,10000,True,40
41,136,70,257,103,294,91,0,1,10,17.96,42.0,new,experiments/results/TA_2_2/TB_1mill/41.onnx,TA,2,2,666.7492363452911,410000,1e-05,20,0.1,15,True,10000,True,41
42,135,45,215,56,280,58,0,1,16,13.95,47.0,new,experiments/results/TA_2_2/TB_1mill/42.onnx,TA,2,2,683.1248300075531,420000,1e-05,20,0.1,15,True,10000,True,42
43,140,99,283,174,293,127,0,1,14,18.99,34.0,new,experiments/results/TA_2_2/TB_1mill/43.onnx,TA,2,2,699.4126842021942,430000,1e-05,20,0.1,15,True,10000,True,43
44,87,45,137,56,259,46,0,1,10,27.62,41.0,new,experiments/results/TA_2_2/TB_1mill/44.onnx,TA,2,2,715.7606074810028,440000,1e-05,20,0.1,15,True,10000,True,44
45,140,99,268,174,300,110,0,1,20,18.98,45.0,new,experiments/results/TA_2_2/TB_1mill/45.onnx,TA,2,2,732.0107979774475,450000,1e-05,20,0.1,15,True,10000,True,45
46,87,49,144,64,233,54,0,1,9,28.66,36.0,new,experiments/results/TA_2_2/TB_1mill/46.onnx,TA,2,2,748.3573272228241,460000,1e-05,20,0.1,15,True,10000,True,46
47,114,58,213,81,256,78,0,1,12,12.0,39.0,new,experiments/results/TA_2_2/TB_1mill/47.onnx,TA,2,2,764.5782642364502,470000,1e-05,20,0.1,15,True,10000,True,47
48,87,45,133,56,278,42,0,1,10,27.14,32.0,new,experiments/results/TA_2_2/TB_1mill/48.onnx,TA,2,2,780.8173654079437,480000,1e-05,20,0.1,15,True,10000,True,48
49,131,67,246,100,304,86,0,1,7,17.01,60.0,new,experiments/results/TA_2_2/TB_1mill/49.onnx,TA,2,2,797.2522642612457,490000,1e-05,20,0.1,15,True,10000,True,49
50,140,99,277,174,316,121,0,1,18,20.95,40.0,new,experiments/results/TA_2_2/TB_1mill/50.onnx,TA,2,2,813.5105032920837,500000,1e-05,20,0.1,15,True,10000,True,50
51,86,45,132,56,238,42,0,1,10,27.14,29.0,new,experiments/results/TA_2_2/TB_1mill/51.onnx,TA,2,2,829.9585154056549,510000,1e-05,20,0.1,15,True,10000,True,51
52,139,97,266,170,317,116,0,1,13,18.99,54.0,new,experiments/results/TA_2_2/TB_1mill/52.onnx,TA,2,2,846.5134754180908,520000,1e-05,20,0.1,15,True,10000,True,52
53,90,53,153,72,243,57,0,1,11,28.66,29.0,new,experiments/results/TA_2_2/TB_1mill/53.onnx,TA,2,2,863.1760404109955,530000,1e-05,20,0.1,15,True,10000,True,53
54,97,53,163,71,302,60,0,1,12,28.66,34.0,new,experiments/results/TA_2_2/TB_1mill/54.onnx,TA,2,2,879.549800157547,540000,1e-05,20,0.1,15,True,10000,True,54
55,87,45,145,56,251,46,0,1,18,27.62,31.0,new,experiments/results/TA_2_2/TB_1mill/55.onnx,TA,2,2,896.1981406211853,550000,1e-05,20,0.1,15,True,10000,True,55
56,116,73,206,114,269,87,0,1,7,12.93,46.0,new,experiments/results/TA_2_2/TB_1mill/56.onnx,TA,2,2,912.8950440883636,560000,1e-05,20,0.1,15,True,10000,True,56
57,85,45,126,56,243,41,0,1,6,27.14,35.0,new,experiments/results/TA_2_2/TB_1mill/57.onnx,TA,2,2,929.5490136146545,570000,1e-05,20,0.1,15,True,10000,True,57
58,140,99,271,174,276,112,0,1,20,17.97,48.0,new,experiments/results/TA_2_2/TB_1mill/58.onnx,TA,2,2,946.3436250686646,580000,1e-05,20,0.1,15,True,10000,True,58
59,86,45,128,56,236,42,0,1,6,26.66,34.0,new,experiments/results/TA_2_2/TB_1mill/59.onnx,TA,2,2,963.2329435348511,590000,1e-05,20,0.1,15,True,10000,True,59
60,89,49,143,64,297,53,0,1,7,28.18,44.0,new,experiments/results/TA_2_2/TB_1mill/60.onnx,TA,2,2,980.3128025531769,600000,1e-05,20,0.1,15,True,10000,True,60
61,139,97,271,170,278,103,0,1,18,18.0,39.0,new,experiments/results/TA_2_2/TB_1mill/61.onnx,TA,2,2,997.3228552341461,610000,1e-05,20,0.1,15,True,10000,True,61
62,85,45,132,56,281,44,0,1,8,26.66,45.0,new,experiments/results/TA_2_2/TB_1mill/62.onnx,TA,2,2,1014.3870239257812,620000,1e-05,20,0.1,15,True,10000,True,62
63,139,101,272,177,299,109,0,1,19,18.96,47.0,new,experiments/results/TA_2_2/TB_1mill/63.onnx,TA,2,2,1031.5238966941833,630000,1e-05,20,0.1,15,True,10000,True,63
64,94,54,163,74,295,54,0,1,17,29.62,39.0,new,experiments/results/TA_2_2/TB_1mill/64.onnx,TA,2,2,1048.8887348175049,640000,1e-05,20,0.1,15,True,10000,True,64
65,125,81,237,133,317,98,0,1,14,14.97,56.0,new,experiments/results/TA_2_2/TB_1mill/65.onnx,TA,2,2,1066.34499001503,650000,1e-05,20,0.1,15,True,10000,True,65
66,87,45,136,56,237,45,0,1,10,27.62,34.0,new,experiments/results/TA_2_2/TB_1mill/66.onnx,TA,2,2,1083.9246425628662,660000,1e-05,20,0.1,15,True,10000,True,66
67,84,45,130,56,243,40,0,1,12,26.66,25.0,new,experiments/results/TA_2_2/TB_1mill/67.onnx,TA,2,2,1101.5726821422577,670000,1e-05,20,0.1,15,True,10000,True,67
68,135,100,259,176,281,122,0,1,6,20.98,44.0,new,experiments/results/TA_2_2/TB_1mill/68.onnx,TA,2,2,1119.2127287387848,680000,1e-05,20,0.1,15,True,10000,True,68
69,76,45,103,56,225,27,0,1,6,25.14,22.0,new,experiments/results/TA_2_2/TB_1mill/69.onnx,TA,2,2,1136.8477973937988,690000,1e-05,20,0.1,15,True,10000,True,69
70,87,46,145,57,234,47,0,1,17,28.18,45.0,new,experiments/results/TA_2_2/TB_1mill/70.onnx,TA,2,2,1154.6349585056305,700000,1e-05,20,0.1,15,True,10000,True,70
71,133,97,253,172,323,115,0,1,6,17.99,54.0,new,experiments/results/TA_2_2/TB_1mill/71.onnx,TA,2,2,1171.7056467533112,710000,1e-05,20,0.1,15,True,10000,True,71
72,84,45,125,56,265,41,0,1,6,26.66,35.0,new,experiments/results/TA_2_2/TB_1mill/72.onnx,TA,2,2,1188.4682049751282,720000,1e-05,20,0.1,15,True,10000,True,72
