,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,ra feature,avg q,idx
0,1.497356653213501,0,1e-05,20,0.1,15,True,10000,True,1.1142479,0
1,17.665742874145508,10000,1e-05,20,0.1,15,True,10000,True,0.2657202,1
2,33.35495185852051,20000,1e-05,20,0.1,15,True,10000,True,-0.50973,2
3,48.96554923057556,30000,1e-05,20,0.1,15,True,10000,True,-1.286415,3
4,64.53409361839294,40000,1e-05,20,0.1,15,True,10000,True,-2.1117373,4
5,80.32104015350342,50000,1e-05,20,0.1,15,True,10000,True,-2.9899538,5
6,96.07830357551575,60000,1e-05,20,0.1,15,True,10000,True,-3.9029565,6
7,111.9403727054596,70000,1e-05,20,0.1,15,True,10000,True,-4.8228774,7
8,127.94750452041626,80000,1e-05,20,0.1,15,True,10000,True,-5.7618837,8
9,144.11793899536133,90000,1e-05,20,0.1,15,True,10000,True,-6.701991,9
10,160.26482939720154,100000,1e-05,20,0.1,15,True,10000,True,-7.6280885,10
11,176.52018785476685,110000,1e-05,20,0.1,15,True,10000,True,-8.580486,11
12,192.75056648254395,120000,1e-05,20,0.1,15,True,10000,True,-9.515107,12
13,209.03831887245178,130000,1e-05,20,0.1,15,True,10000,True,-10.452104,13
14,225.42708659172058,140000,1e-05,20,0.1,15,True,10000,True,-11.354967,14
15,241.7508704662323,150000,1e-05,20,0.1,15,True,10000,True,-12.26123,15
16,257.9281668663025,160000,1e-05,20,0.1,15,True,10000,True,-13.170915,16
17,274.05542063713074,170000,1e-05,20,0.1,15,True,10000,True,-14.063803,17
18,290.15339398384094,180000,1e-05,20,0.1,15,True,10000,True,-14.787558,18
19,306.31372237205505,190000,1e-05,20,0.1,15,True,10000,True,-15.507526,19
20,322.70695328712463,200000,1e-05,20,0.1,15,True,10000,True,-16.374903,20
21,339.03244042396545,210000,1e-05,20,0.1,15,True,10000,True,-17.128967,21
22,355.5235433578491,220000,1e-05,20,0.1,15,True,10000,True,-17.875479,22
23,372.0472946166992,230000,1e-05,20,0.1,15,True,10000,True,-18.888239,23
24,388.46107363700867,240000,1e-05,20,0.1,15,True,10000,True,-19.731842,24
25,404.7813649177551,250000,1e-05,20,0.1,15,True,10000,True,-20.105576,25
26,421.3990857601166,260000,1e-05,20,0.1,15,True,10000,True,-21.198698,26
27,437.88898277282715,270000,1e-05,20,0.1,15,True,10000,True,-22.203337,27
28,454.00010776519775,280000,1e-05,20,0.1,15,True,10000,True,-22.906878,28
29,470.30513072013855,290000,1e-05,20,0.1,15,True,10000,True,-23.513168,29
30,486.8162155151367,300000,1e-05,20,0.1,15,True,10000,True,-24.39923,30
31,503.3427803516388,310000,1e-05,20,0.1,15,True,10000,True,-25.342735,31
32,519.7620069980621,320000,1e-05,20,0.1,15,True,10000,True,-25.962593,32
33,536.3239617347717,330000,1e-05,20,0.1,15,True,10000,True,-26.807865,33
34,552.8210668563843,340000,1e-05,20,0.1,15,True,10000,True,-27.599035,34
35,569.2869808673859,350000,1e-05,20,0.1,15,True,10000,True,-28.222654,35
36,585.6518459320068,360000,1e-05,20,0.1,15,True,10000,True,-29.477434,36
37,601.8615701198578,370000,1e-05,20,0.1,15,True,10000,True,-29.872044,37
38,617.9979844093323,380000,1e-05,20,0.1,15,True,10000,True,-30.164726,38
39,634.3812348842621,390000,1e-05,20,0.1,15,True,10000,True,-31.577791,39
40,650.4758851528168,400000,1e-05,20,0.1,15,True,10000,True,-31.962475,40
41,666.7492363452911,410000,1e-05,20,0.1,15,True,10000,True,-32.89766,41
42,683.1248300075531,420000,1e-05,20,0.1,15,True,10000,True,-34.06415,42
43,699.4126842021942,430000,1e-05,20,0.1,15,True,10000,True,-34.394222,43
44,715.7606074810028,440000,1e-05,20,0.1,15,True,10000,True,-35.61384,44
45,732.0107979774475,450000,1e-05,20,0.1,15,True,10000,True,-36.123295,45
46,748.3573272228241,460000,1e-05,20,0.1,15,True,10000,True,-37.035328,46
47,764.5782642364502,470000,1e-05,20,0.1,15,True,10000,True,-37.32009,47
48,780.8173654079437,480000,1e-05,20,0.1,15,True,10000,True,-38.266327,48
49,797.2522642612457,490000,1e-05,20,0.1,15,True,10000,True,-39.20334,49
50,813.5105032920837,500000,1e-05,20,0.1,15,True,10000,True,-39.74342,50
51,829.9585154056549,510000,1e-05,20,0.1,15,True,10000,True,-40.669735,51
