,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
0,1083,182,3237,294,2900,54,0,1,162,181.45,2058.0,new,experiments/results/TA_2_2/TB_5mill_5000/0.onnx,TA,3,3,1.4040560722351074,0,1e-05,20,0.1,15,True,5000,True,10000,True,0
1,1083,186,3204,300,5532,510,0,1,244,171.35,3874.0,new,experiments/results/TA_2_2/TB_5mill_5000/1.onnx,TA,3,3,80.46044683456421,50000,1e-05,20,0.1,15,True,5000,True,10000,True,1
2,1083,170,2968,260,4759,715,0,1,162,245.09,2753.0,new,experiments/results/TA_2_2/TB_5mill_5000/2.onnx,TA,3,3,159.45611143112183,100000,1e-05,20,0.1,15,True,5000,True,10000,True,2
3,1083,257,3012,457,4383,1081,0,1,36,178.7,2545.0,new,experiments/results/TA_2_2/TB_5mill_5000/3.onnx,TA,3,3,239.28460550308228,150000,1e-05,20,0.1,15,True,5000,True,10000,True,3
4,962,264,2046,465,3568,845,0,1,12,161.22,2082.0,new,experiments/results/TA_2_2/TB_5mill_5000/4.onnx,TA,3,3,320.21619296073914,200000,1e-05,20,0.1,15,True,5000,True,10000,True,4
5,1083,521,3264,1211,4872,1723,0,1,36,250.63,2381.0,new,experiments/results/TA_2_2/TB_5mill_5000/5.onnx,TA,3,3,400.2830219268799,250000,1e-05,20,0.1,15,True,5000,True,10000,True,5
6,1083,370,2872,760,3884,1428,0,1,59,88.83,1676.0,new,experiments/results/TA_2_2/TB_5mill_5000/6.onnx,TA,3,3,480.22671604156494,300000,1e-05,20,0.1,15,True,5000,True,10000,True,6
7,1083,533,3221,1233,3793,2009,0,1,46,93.75,836.0,new,experiments/results/TA_2_2/TB_5mill_5000/7.onnx,TA,3,3,559.899135351181,350000,1e-05,20,0.1,15,True,5000,True,10000,True,7
8,1042,478,2992,1090,5209,1879,0,1,14,187.96,1937.0,new,experiments/results/TA_2_2/TB_5mill_5000/8.onnx,TA,3,3,639.0540025234222,400000,1e-05,20,0.1,15,True,5000,True,10000,True,8
9,1083,530,3232,1226,3330,1686,0,1,78,109.37,837.0,new,experiments/results/TA_2_2/TB_5mill_5000/9.onnx,TA,3,3,719.1469192504883,450000,1e-05,20,0.1,15,True,5000,True,10000,True,9
10,1010,424,3013,927,3798,1785,0,1,47,36.59,1243.0,new,experiments/results/TA_2_2/TB_5mill_5000/10.onnx,TA,3,3,800.194256067276,500000,1e-05,20,0.1,15,True,5000,True,10000,True,10
11,705,281,1881,529,2068,1098,0,1,14,69.96,773.0,new,experiments/results/TA_2_2/TB_5mill_5000/11.onnx,TA,3,3,881.712409734726,550000,1e-05,20,0.1,15,True,5000,True,10000,True,11
12,1048,460,3138,1030,3758,1983,0,1,36,78.49,852.0,new,experiments/results/TA_2_2/TB_5mill_5000/12.onnx,TA,3,3,964.900025844574,600000,1e-05,20,0.1,15,True,5000,True,10000,True,12
13,408,131,903,179,1186,427,0,1,14,155.34,476.0,new,experiments/results/TA_2_2/TB_5mill_5000/13.onnx,TA,3,3,1048.9446222782135,650000,1e-05,20,0.1,15,True,5000,True,10000,True,13
14,1028,430,2985,922,3545,1872,0,1,14,72.22,837.0,new,experiments/results/TA_2_2/TB_5mill_5000/14.onnx,TA,3,3,1135.945811033249,700000,1e-05,20,0.1,15,True,5000,True,10000,True,14
15,1069,519,3147,1203,2660,1151,0,1,60,115.12,785.0,new,experiments/results/TA_2_2/TB_5mill_5000/15.onnx,TA,3,3,1215.5345432758331,750000,1e-05,20,0.1,15,True,5000,True,10000,True,15
16,1083,521,3241,1209,4117,1989,0,1,36,211.4,1061.0,new,experiments/results/TA_2_2/TB_5mill_5000/16.onnx,TA,3,3,1296.3143973350525,800000,1e-05,20,0.1,15,True,5000,True,10000,True,16
17,969,324,2630,616,3317,1574,0,1,14,109.65,1101.0,new,experiments/results/TA_2_2/TB_5mill_5000/17.onnx,TA,3,3,1378.6482071876526,850000,1e-05,20,0.1,15,True,5000,True,10000,True,17
18,1052,404,2874,817,3112,510,0,1,36,43.16,1464.0,new,experiments/results/TA_2_2/TB_5mill_5000/18.onnx,TA,3,3,1461.123549938202,900000,1e-05,20,0.1,15,True,5000,True,10000,True,18
19,1075,599,3071,1412,3356,1563,0,1,330,84.82,487.0,new,experiments/results/TA_2_2/TB_5mill_5000/19.onnx,TA,3,3,1545.28377866745,950000,1e-05,20,0.1,15,True,5000,True,10000,True,19
20,369,109,722,140,976,320,0,1,19,89.0,369.0,new,experiments/results/TA_2_2/TB_5mill_5000/20.onnx,TA,3,3,1633.850423336029,1000000,1e-05,20,0.1,15,True,5000,True,10000,True,20
21,888,255,2123,446,2711,1138,0,1,14,55.39,1091.0,new,experiments/results/TA_2_2/TB_5mill_5000/21.onnx,TA,3,3,1722.528837442398,1050000,1e-05,20,0.1,15,True,5000,True,10000,True,21
22,1043,269,2316,472,2853,1031,0,1,118,168.33,1294.0,new,experiments/results/TA_2_2/TB_5mill_5000/22.onnx,TA,3,3,1806.2778539657593,1100000,1e-05,20,0.1,15,True,5000,True,10000,True,22
23,497,123,1036,164,1060,63,0,1,92,101.36,527.0,new,experiments/results/TA_2_2/TB_5mill_5000/23.onnx,TA,3,3,1892.1042017936707,1150000,1e-05,20,0.1,15,True,5000,True,10000,True,23
24,1052,260,2481,456,3282,1316,0,1,14,83.13,1371.0,new,experiments/results/TA_2_2/TB_5mill_5000/24.onnx,TA,3,3,1981.9751391410828,1200000,1e-05,20,0.1,15,True,5000,True,10000,True,24
25,322,110,511,141,907,182,0,1,18,153.33,374.0,new,experiments/results/TA_2_2/TB_5mill_5000/25.onnx,TA,3,3,2071.9184997081757,1250000,1e-05,20,0.1,15,True,5000,True,10000,True,25
26,944,298,2015,529,3185,1001,0,1,16,156.98,1555.0,new,experiments/results/TA_2_2/TB_5mill_5000/26.onnx,TA,3,3,2154.7091267108917,1300000,1e-05,20,0.1,15,True,5000,True,10000,True,26
27,1038,407,2607,816,2576,63,0,1,206,32.2,1834.0,new,experiments/results/TA_2_2/TB_5mill_5000/27.onnx,TA,3,3,2238.6079049110413,1350000,1e-05,20,0.1,15,True,5000,True,10000,True,27
28,1062,246,2396,431,3146,1182,0,1,36,71.61,1461.0,new,experiments/results/TA_2_2/TB_5mill_5000/28.onnx,TA,3,3,2324.4925122261047,1400000,1e-05,20,0.1,15,True,5000,True,10000,True,28
29,1022,375,2515,727,4049,1180,0,1,34,181.82,1555.0,new,experiments/results/TA_2_2/TB_5mill_5000/29.onnx,TA,3,3,2412.698892354965,1450000,1e-05,20,0.1,15,True,5000,True,10000,True,29
30,620,191,1293,307,1947,450,0,1,71,89.04,963.0,new,experiments/results/TA_2_2/TB_5mill_5000/30.onnx,TA,3,3,2501.995947599411,1500000,1e-05,20,0.1,15,True,5000,True,10000,True,30
31,571,164,1030,250,1419,147,0,1,41,139.07,791.0,new,experiments/results/TA_2_2/TB_5mill_5000/31.onnx,TA,3,3,2579.3806416988373,1550000,1e-05,20,0.1,15,True,5000,True,10000,True,31
32,915,245,1736,416,2188,636,0,1,14,31.76,1261.0,new,experiments/results/TA_2_2/TB_5mill_5000/32.onnx,TA,3,3,2656.9078624248505,1600000,1e-05,20,0.1,15,True,5000,True,10000,True,32
33,1070,287,2374,508,3202,1063,0,1,82,134.29,1489.0,new,experiments/results/TA_2_2/TB_5mill_5000/33.onnx,TA,3,3,2734.347179412842,1650000,1e-05,20,0.1,15,True,5000,True,10000,True,33
34,995,278,1951,493,3399,883,0,1,15,134.82,1986.0,new,experiments/results/TA_2_2/TB_5mill_5000/34.onnx,TA,3,3,2812.083553314209,1700000,1e-05,20,0.1,15,True,5000,True,10000,True,34
35,937,245,1920,423,3188,840,0,1,99,29.41,1672.0,new,experiments/results/TA_2_2/TB_5mill_5000/35.onnx,TA,3,3,2889.5762038230896,1750000,1e-05,20,0.1,15,True,5000,True,10000,True,35
36,730,233,1561,392,2258,685,0,1,14,82.71,1076.0,new,experiments/results/TA_2_2/TB_5mill_5000/36.onnx,TA,3,3,2966.6492159366608,1800000,1e-05,20,0.1,15,True,5000,True,10000,True,36
37,937,275,1837,478,2780,787,0,1,32,121.85,1472.0,new,experiments/results/TA_2_2/TB_5mill_5000/37.onnx,TA,3,3,3044.122079372406,1850000,1e-05,20,0.1,15,True,5000,True,10000,True,37
38,784,170,1408,262,1882,122,0,1,63,120.54,1247.0,new,experiments/results/TA_2_2/TB_5mill_5000/38.onnx,TA,3,3,3121.256296157837,1900000,1e-05,20,0.1,15,True,5000,True,10000,True,38
39,986,254,1876,430,3029,372,0,1,14,43.04,2075.0,new,experiments/results/TA_2_2/TB_5mill_5000/39.onnx,TA,3,3,3198.7611076831818,1950000,1e-05,20,0.1,15,True,5000,True,10000,True,39
40,1035,237,2014,387,3192,137,0,1,42,168.19,2341.0,new,experiments/results/TA_2_2/TB_5mill_5000/40.onnx,TA,3,3,3277.4950079917908,2000000,1e-05,20,0.1,15,True,5000,True,10000,True,40
41,1017,304,1895,529,2896,809,0,1,17,35.25,1672.0,new,experiments/results/TA_2_2/TB_5mill_5000/41.onnx,TA,3,3,3356.392334461212,2050000,1e-05,20,0.1,15,True,5000,True,10000,True,41
42,788,227,1560,368,2466,598,0,1,14,113.61,1364.0,new,experiments/results/TA_2_2/TB_5mill_5000/42.onnx,TA,3,3,3435.107510328293,2100000,1e-05,20,0.1,15,True,5000,True,10000,True,42
43,981,239,1793,406,2652,143,0,1,71,165.77,1863.0,new,experiments/results/TA_2_2/TB_5mill_5000/43.onnx,TA,3,3,3514.3983430862427,2150000,1e-05,20,0.1,15,True,5000,True,10000,True,43
44,1083,352,2443,663,3405,1112,0,1,14,21.64,1637.0,new,experiments/results/TA_2_2/TB_5mill_5000/44.onnx,TA,3,3,3593.691308736801,2200000,1e-05,20,0.1,15,True,5000,True,10000,True,44
45,1038,263,2039,445,3608,597,0,1,14,187.07,2332.0,new,experiments/results/TA_2_2/TB_5mill_5000/45.onnx,TA,3,3,3673.1866614818573,2250000,1e-05,20,0.1,15,True,5000,True,10000,True,45
46,1061,244,1995,421,3032,837,0,1,14,113.95,1680.0,new,experiments/results/TA_2_2/TB_5mill_5000/46.onnx,TA,3,3,3752.9442417621613,2300000,1e-05,20,0.1,15,True,5000,True,10000,True,46
47,1067,241,2070,409,3297,800,0,1,63,178.82,1871.0,new,experiments/results/TA_2_2/TB_5mill_5000/47.onnx,TA,3,3,3832.628065109253,2350000,1e-05,20,0.1,15,True,5000,True,10000,True,47
48,1083,250,2036,420,3336,658,0,1,16,181.02,1925.0,new,experiments/results/TA_2_2/TB_5mill_5000/48.onnx,TA,3,3,3912.3630046844482,2400000,1e-05,20,0.1,15,True,5000,True,10000,True,48
49,1036,189,1830,294,3138,584,0,1,63,56.35,1933.0,new,experiments/results/TA_2_2/TB_5mill_5000/49.onnx,TA,3,3,3992.3109533786774,2450000,1e-05,20,0.1,15,True,5000,True,10000,True,49
50,1068,231,2143,377,2996,252,0,1,101,108.07,2057.0,new,experiments/results/TA_2_2/TB_5mill_5000/50.onnx,TA,3,3,4072.106416463852,2500000,1e-05,20,0.1,15,True,5000,True,10000,True,50
