,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
0,1083,539,3296,1247,1751,14,0,1,125,38.7,1026.0,new,experiments/results/TA_2_2/TB_5mill_b100000/0.onnx,TA,3,3,19.12551736831665,0,1e-05,20,0.1,15,True,10000,True,100000,True,0
1,1081,206,3067,346,4431,83,0,1,103,194.46,3576.0,new,experiments/results/TA_2_2/TB_5mill_b100000/1.onnx,TA,3,3,96.92415523529053,50000,1e-05,20,0.1,15,True,10000,True,100000,True,1
2,1073,360,3235,713,4972,1241,0,1,215,47.83,2487.0,new,experiments/results/TA_2_2/TB_5mill_b100000/2.onnx,TA,3,3,177.76032733917236,100000,1e-05,20,0.1,15,True,10000,True,100000,True,2
3,1073,305,3094,554,4091,891,0,1,133,177.83,2108.0,new,experiments/results/TA_2_2/TB_5mill_b100000/3.onnx,TA,3,3,259.38947796821594,150000,1e-05,20,0.1,15,True,10000,True,100000,True,3
4,1077,272,2945,476,3780,1090,0,1,54,206.7,1857.0,new,experiments/results/TA_2_2/TB_5mill_b100000/4.onnx,TA,3,3,340.72671389579773,200000,1e-05,20,0.1,15,True,10000,True,100000,True,4
5,1083,275,2897,493,4942,1381,0,1,36,181.38,2723.0,new,experiments/results/TA_2_2/TB_5mill_b100000/5.onnx,TA,3,3,422.93792366981506,250000,1e-05,20,0.1,15,True,10000,True,100000,True,5
6,1077,286,2826,521,5034,1039,0,1,14,211.95,3230.0,new,experiments/results/TA_2_2/TB_5mill_b100000/6.onnx,TA,3,3,506.23657488822937,300000,1e-05,20,0.1,15,True,10000,True,100000,True,6
7,1083,516,3247,1198,5477,1641,0,1,57,241.7,2871.0,new,experiments/results/TA_2_2/TB_5mill_b100000/7.onnx,TA,3,3,588.9405181407928,350000,1e-05,20,0.1,15,True,10000,True,100000,True,7
8,355,109,697,140,901,317,0,1,9,84.21,371.0,new,experiments/results/TA_2_2/TB_5mill_b100000/8.onnx,TA,3,3,672.0142049789429,400000,1e-05,20,0.1,15,True,10000,True,100000,True,8
9,855,476,2364,1131,3047,1380,0,1,13,46.45,881.0,new,experiments/results/TA_2_2/TB_5mill_b100000/9.onnx,TA,3,3,754.3927667140961,450000,1e-05,20,0.1,15,True,10000,True,100000,True,9
