,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,15.0,15.0,18.0,18.0,114.0,4.0,0.0,1.0,0.0,15.63,8.0,new,e,TA,1,1
1,17.0,17.0,21.0,21.0,115.0,4.0,0.0,1.0,0.0,15.7,7.0,new,e,TA,1,2
2,19.0,19.0,24.0,24.0,123.0,5.0,0.0,1.0,0.0,16.18,7.0,new,e,TA,1,3
3,25.0,21.0,31.0,27.0,124.0,5.0,0.0,1.0,2.0,16.18,14.0,new,e,TA,1,4
4,26.0,23.0,33.0,30.0,120.0,6.0,0.0,1.0,2.0,16.18,8.0,new,e,TA,1,5
5,28.0,25.0,36.0,33.0,122.0,6.0,0.0,1.0,2.0,16.18,9.0,new,e,TA,1,6
6,30.0,27.0,39.0,36.0,124.0,7.0,0.0,1.0,2.0,16.18,16.0,new,e,TA,1,7
7,32.0,29.0,42.0,39.0,127.0,7.0,0.0,1.0,2.0,16.66,12.0,new,e,TA,1,8
8,34.0,31.0,45.0,42.0,125.0,8.0,0.0,1.0,2.0,16.66,9.0,new,e,TA,1,9
9,36.0,33.0,48.0,45.0,126.0,8.0,0.0,1.0,2.0,16.66,14.0,new,e,TA,1,10
10,39.0,35.0,52.0,48.0,128.0,9.0,0.0,1.0,2.0,17.14,19.0,new,e,TA,1,11
11,40.0,37.0,54.0,51.0,128.0,9.0,0.0,1.0,2.0,17.15,16.0,new,e,TA,1,12
12,42.0,39.0,57.0,54.0,133.0,10.0,0.0,1.0,2.0,17.14,12.0,new,e,TA,1,13
13,45.0,41.0,61.0,57.0,132.0,10.0,0.0,1.0,2.0,17.62,19.0,new,e,TA,1,14
14,47.0,43.0,64.0,60.0,134.0,11.0,0.0,1.0,2.0,17.63,18.0,new,e,TA,1,15
15,56.0,39.0,76.0,47.0,150.0,17.0,0.0,1.0,4.0,20.18,26.0,new,e,TA,2,1
16,46.0,46.0,57.0,57.0,156.0,10.0,0.0,1.0,0.0,18.18,18.0,new,e,TA,2,2
17,69.0,51.0,95.0,65.0,165.0,18.0,0.0,1.0,4.0,22.18,34.0,new,e,TA,2,3
18,71.0,57.0,95.0,74.0,156.0,21.0,0.0,1.0,4.0,21.62,34.0,new,e,TA,2,4
19,81.0,63.0,114.0,83.0,182.0,28.0,0.0,1.0,4.0,24.66,48.0,new,e,TA,2,5
20,85.0,69.0,119.0,92.0,186.0,21.0,0.0,1.0,4.0,25.14,43.0,new,e,TA,2,6
21,185.0,154.0,318.0,255.0,319.0,108.0,0.0,1.0,4.0,40.56,117.0,new,e,TA,2,7
22,209.0,168.0,367.0,286.0,325.0,131.0,0.0,1.0,4.0,56.55,122.0,new,e,TA,2,8
23,211.0,160.0,363.0,264.0,311.0,117.0,0.0,1.0,4.0,52.57,108.0,new,e,TA,2,9
24,227.0,180.0,397.0,303.0,313.0,136.0,0.0,1.0,4.0,62.62,105.0,new,e,TA,2,10
25,254.0,199.0,447.0,335.0,427.0,148.0,0.0,1.0,4.0,83.6,175.0,new,e,TA,2,11
26,268.0,152.0,469.0,237.0,431.0,162.0,0.0,1.0,4.0,90.6,160.0,new,e,TA,2,12
27,280.0,162.0,489.0,254.0,383.0,170.0,0.0,1.0,4.0,99.61,131.0,new,e,TA,2,13
28,308.0,248.0,546.0,425.0,447.0,169.0,0.0,1.0,4.0,122.63,159.0,new,e,TA,2,14
29,309.0,204.0,542.0,334.0,458.0,193.0,0.0,1.0,4.0,124.63,190.0,new,e,TA,2,15
30,109.0,81.0,139.0,98.0,261.0,31.0,0.0,1.0,2.0,17.52,122.0,new,e,TA,3,1
31,115.0,95.0,145.0,119.0,256.0,25.0,0.0,1.0,3.0,19.58,113.0,new,e,TA,3,2
32,362.0,141.0,613.0,196.0,829.0,213.0,0.0,1.0,8.0,131.07,514.0,new,e,TA,3,3
33,392.0,207.0,674.0,310.0,1008.0,252.0,0.0,1.0,8.0,38.25,679.0,new,e,TA,3,4
34,471.0,288.0,861.0,451.0,1167.0,328.0,0.0,1.0,8.0,77.58,789.0,new,e,TA,3,5
35,535.0,285.0,1004.0,439.0,1555.0,393.0,0.0,1.0,8.0,82.77,1073.0,new,e,TA,3,6
36,964.0,367.0,2141.0,646.0,4182.0,993.0,0.0,1.0,8.0,277.68,2356.0,new,e,TA,3,7
