,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,27.0,4.0,0.0,1.0,2.0,16.18,0.0,new,r,TA,1,1
1,19.0,17.0,23.0,21.0,32.0,4.0,0.0,1.0,2.0,16.18,0.0,new,r,TA,1,2
2,21.0,19.0,26.0,24.0,33.0,4.0,0.0,1.0,2.0,16.66,0.0,new,r,TA,1,3
3,23.0,21.0,29.0,27.0,36.0,5.0,0.0,1.0,2.0,16.66,0.0,new,r,TA,1,4
4,25.0,23.0,32.0,30.0,36.0,6.0,0.0,1.0,2.0,17.15,0.0,new,r,TA,1,5
5,27.0,25.0,35.0,33.0,38.0,7.0,0.0,1.0,2.0,17.14,1.0,new,r,TA,1,6
6,29.0,27.0,38.0,36.0,41.0,8.0,0.0,1.0,2.0,17.62,1.0,new,r,TA,1,7
7,31.0,29.0,41.0,39.0,43.0,9.0,0.0,1.0,2.0,17.62,1.0,new,r,TA,1,8
8,33.0,31.0,44.0,42.0,46.0,10.0,0.0,1.0,2.0,18.18,0.0,new,r,TA,1,9
9,35.0,33.0,47.0,45.0,46.0,11.0,0.0,1.0,2.0,18.66,1.0,new,r,TA,1,10
10,37.0,35.0,50.0,48.0,50.0,12.0,0.0,1.0,2.0,18.66,1.0,new,r,TA,1,11
11,39.0,37.0,53.0,51.0,50.0,13.0,0.0,1.0,2.0,19.14,1.0,new,r,TA,1,12
12,41.0,39.0,56.0,54.0,51.0,14.0,0.0,1.0,2.0,19.62,0.0,new,r,TA,1,13
13,43.0,41.0,59.0,57.0,69.0,15.0,0.0,1.0,2.0,20.18,0.0,new,r,TA,1,14
14,45.0,43.0,62.0,60.0,56.0,16.0,0.0,1.0,2.0,20.66,0.0,new,r,TA,1,15
15,94.0,51.0,156.0,70.0,100.0,44.0,0.0,1.0,18.0,25.62,0.0,new,r,TA,2,1
16,98.0,51.0,160.0,66.0,100.0,40.0,0.0,1.0,17.0,26.18,1.0,new,r,TA,2,2
17,106.0,57.0,173.0,75.0,110.0,42.0,0.0,1.0,17.0,27.62,0.0,new,r,TA,2,3
