,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,17,15,20,18,32,4,0,1,2,15.15,2.0,false,False,new,mock,TA,1,1,0.625
1,19,17,23,21,29,4,0,1,2,15.15,1.0,false,False,new,mock,TA,1,2,0.7931034482758621
2,21,19,26,24,29,4,0,1,2,15.15,1.0,false,False,new,mock,TA,1,3,0.896551724137931
3,23,21,29,27,30,7,0,1,2,15.15,2.0,false,False,new,mock,TA,1,4,0.9666666666666667
4,25,23,32,30,30,4,0,1,2,15.14,2.0,false,False,new,mock,TA,1,5,1.0666666666666667
5,27,25,35,33,31,1,0,1,2,15.15,3.0,false,False,new,mock,TA,1,6,1.1290322580645162
6,29,27,38,36,30,4,0,1,2,15.63,3.0,false,False,new,mock,TA,1,7,1.2666666666666666
7,31,29,41,39,35,3,0,1,2,15.62,2.0,false,False,new,mock,TA,1,8,1.1714285714285715
8,33,31,44,42,32,4,0,1,2,15.63,1.0,false,False,new,mock,TA,1,9,1.375
9,35,33,47,45,34,8,0,1,2,15.63,2.0,false,False,new,mock,TA,1,10,1.3823529411764706
10,37,35,50,48,33,5,0,1,2,15.62,4.0,false,False,new,mock,TA,1,11,1.5151515151515151
11,39,37,53,51,35,5,0,1,2,15.62,2.0,false,False,new,mock,TA,1,12,1.5142857142857142
12,41,39,56,54,42,7,0,1,2,15.63,6.0,false,False,new,mock,TA,1,13,1.3333333333333333
13,43,41,59,57,37,5,0,1,2,15.63,4.0,false,False,new,mock,TA,1,14,1.5945945945945945
14,45,43,62,60,36,8,0,1,2,15.7,1.0,false,False,new,mock,TA,1,15,1.7222222222222223
15,119,85,235,143,94,65,0,1,21,25.14,7.0,false,False,new,mock,TA,2,1,2.5
16,135,97,263,169,79,79,0,1,19,26.66,10.0,false,False,new,mock,TA,2,2,3.329113924050633
17,158,90,323,151,84,81,0,1,18,29.62,16.0,false,False,new,mock,TA,2,3,3.8452380952380953
18,178,119,356,206,109,86,0,1,28,11.68,13.0,false,False,new,mock,TA,2,4,3.2660550458715596
19,200,147,418,276,121,107,0,1,24,19.74,9.0,false,False,new,mock,TA,2,5,3.4545454545454546
20,218,120,439,207,118,111,0,1,28,20.85,9.0,false,False,new,mock,TA,2,6,3.7203389830508473
21,238,142,487,250,131,97,0,1,23,25.91,13.0,false,False,new,mock,TA,2,7,3.717557251908397
22,260,177,541,327,139,95,0,1,26,28.92,18.0,false,False,new,mock,TA,2,8,3.8920863309352516
23,280,140,588,242,121,33,0,1,31,16.08,9.0,false,False,new,mock,TA,2,9,4.859504132231405
24,299,174,621,319,198,142,0,1,25,44.9,20.0,false,False,new,mock,TA,2,10,3.1363636363636362
25,315,243,666,480,228,100,0,1,30,36.06,29.0,false,False,new,mock,TA,2,11,2.9210526315789473
26,338,215,708,387,163,98,0,1,24,45.12,23.0,false,False,new,mock,TA,2,12,4.343558282208589
27,360,256,758,471,171,119,0,1,33,46.17,19.0,false,False,new,mock,TA,2,13,4.432748538011696
28,379,208,797,346,213,107,0,1,29,56.16,18.0,false,False,new,mock,TA,2,14,3.7417840375586855
29,400,199,849,324,227,137,0,1,36,71.27,23.0,false,False,new,mock,TA,2,15,3.7400881057268722
30,776,370,2251,805,1323,920,0,1,211,55.32,30.0,false,False,new,mock,TA,3,1,1.7014361300075587
31,931,452,2761,1023,1962,1112,0,1,209,51.65,39.0,false,False,new,mock,TA,3,2,1.4072375127421
32,1082,527,3276,1219,702,149,0,1,240,32.65,55.0,false,False,new,mock,TA,3,3,4.666666666666667
33,1229,534,3695,1219,2927,1401,0,1,282,143.38,60.0,false,False,new,mock,TA,3,4,1.26238469422617
34,1373,564,4175,1231,3541,1594,0,1,208,131.92,74.0,false,False,new,mock,TA,3,5,1.1790454673820954
35,1527,748,4627,1774,5125,1732,0,1,297,143.56,89.0,false,False,new,mock,TA,3,6,0.902829268292683
36,1669,757,5055,1786,5602,1943,0,1,278,260.06,103.0,false,False,new,mock,TA,3,7,0.9023563013209568
37,1820,916,5545,2241,6204,2096,0,1,399,68.75,87.0,false,False,new,mock,TA,3,8,0.8937782076079949
38,1971,985,6064,2396,6539,2017,0,1,325,109.42,112.0,false,False,new,mock,TA,3,9,0.9273589233827803
39,2118,1076,6504,2675,8815,2171,0,1,366,282.91,175.0,false,False,new,mock,TA,3,10,0.7378332387975043
40,2267,1150,7052,2876,10844,2361,0,1,355,87.72,134.0,false,False,new,mock,TA,3,11,0.650313537440059
41,2415,1047,7442,2500,17152,2450,0,1,436,175.1,189.0,false,False,new,mock,TA,3,12,0.43388526119402987
42,2563,1288,7923,3209,15635,2426,0,1,424,277.96,196.0,false,False,new,mock,TA,3,13,0.5067476814838503
43,2711,1387,8401,3502,22084,2693,0,1,427,353.44,279.0,false,False,new,mock,TA,3,14,0.3804111573990219
44,2859,1459,8914,3698,22473,2747,0,1,463,50.94,443.0,false,False,new,mock,TA,3,15,0.3966537622925288
45,4038,0,15001,0,84797,7810,0,0,598,0.0,788.0,true,False,new,mock,TA,4,1,0.17690484333172163
