,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,15,15,18,18,205,4,0,1,0,19.26,18.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,1,0.08780487804878048
1,17,17,21,21,224,5,0,1,0,20.21,30.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,2,0.09375
2,19,19,24,24,226,6,0,1,0,19.7,23.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,3,0.10619469026548672
3,21,21,27,27,209,4,0,1,0,19.7,21.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,4,0.1291866028708134
4,23,23,30,30,212,5,0,1,0,20.18,23.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,5,0.14150943396226415
5,25,25,33,33,221,6,0,1,0,20.69,27.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,6,0.1493212669683258
6,27,27,36,36,220,7,0,1,0,20.69,30.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,7,0.16363636363636364
7,29,29,39,39,223,8,0,1,0,20.69,28.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,8,0.17488789237668162
8,31,31,42,42,224,9,0,1,0,20.18,29.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,9,0.1875
9,33,33,45,45,225,9,0,1,0,20.18,40.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,10,0.2
10,35,35,48,48,225,7,0,1,0,21.17,38.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,11,0.21333333333333335
11,37,37,51,51,254,10,0,1,0,20.69,39.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,12,0.20078740157480315
12,39,39,54,54,244,11,0,1,0,21.14,47.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,13,0.22131147540983606
13,41,41,57,57,232,12,0,1,0,21.14,40.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,14,0.24568965517241378
14,43,43,60,60,237,12,0,1,0,21.14,40.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,15,0.25316455696202533
15,57,39,89,47,273,33,0,1,0,22.66,69.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,1,0.326007326007326
16,61,45,94,56,265,31,0,1,0,23.14,65.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,2,0.35471698113207545
17,67,51,103,65,279,32,0,1,0,23.62,68.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,3,0.36917562724014336
18,73,57,112,74,274,34,0,1,0,23.7,68.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,4,0.40875912408759124
19,79,63,121,83,308,36,0,1,0,24.66,99.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,5,0.39285714285714285
20,85,69,130,92,316,41,0,1,0,25.14,77.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,6,0.41139240506329117
21,91,75,139,101,314,36,0,1,0,25.62,99.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,7,0.4426751592356688
22,97,81,148,110,317,39,0,1,0,26.18,96.0,false,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,8,0.4668769716088328
