,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,15.0,15.0,18.0,18.0,210.0,4.0,0.0,1.0,0.0,14.48,18.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,1
1,17.0,17.0,21.0,21.0,211.0,5.0,0.0,1.0,0.0,15.5,21.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,2
2,19.0,19.0,24.0,24.0,215.0,6.0,0.0,1.0,0.0,15.5,23.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,3
3,21.0,21.0,27.0,27.0,219.0,4.0,0.0,1.0,0.0,14.99,25.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,4
4,23.0,23.0,30.0,30.0,215.0,5.0,0.0,1.0,0.0,15.5,24.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,5
5,25.0,25.0,33.0,33.0,216.0,6.0,0.0,1.0,0.0,15.5,27.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,6
6,27.0,27.0,36.0,36.0,216.0,7.0,0.0,1.0,0.0,15.5,24.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,7
7,29.0,29.0,39.0,39.0,220.0,8.0,0.0,1.0,0.0,15.98,27.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,8
8,31.0,31.0,42.0,42.0,224.0,9.0,0.0,1.0,0.0,15.98,33.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,9
9,33.0,33.0,45.0,45.0,227.0,9.0,0.0,1.0,0.0,15.98,31.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,10
10,35.0,35.0,48.0,48.0,245.0,7.0,0.0,1.0,0.0,15.98,49.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,11
11,37.0,37.0,51.0,51.0,230.0,10.0,0.0,1.0,0.0,15.98,33.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,12
12,39.0,39.0,54.0,54.0,235.0,11.0,0.0,1.0,0.0,16.0,42.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,13
13,41.0,41.0,57.0,57.0,240.0,12.0,0.0,1.0,0.0,16.48,43.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,14
14,43.0,43.0,60.0,60.0,239.0,12.0,0.0,1.0,0.0,16.48,48.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,1,15
15,57.0,39.0,89.0,47.0,277.0,33.0,0.0,1.0,0.0,18.48,65.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,1
16,61.0,45.0,94.0,56.0,267.0,31.0,0.0,1.0,0.0,18.48,63.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,2
17,67.0,51.0,103.0,65.0,268.0,32.0,0.0,1.0,0.0,18.96,66.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,3
18,73.0,57.0,112.0,74.0,289.0,34.0,0.0,1.0,0.0,19.44,66.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,4
19,79.0,63.0,121.0,83.0,279.0,36.0,0.0,1.0,0.0,19.92,75.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,5
20,85.0,69.0,130.0,92.0,292.0,41.0,0.0,1.0,0.0,20.48,77.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,6
21,91.0,75.0,139.0,101.0,304.0,36.0,0.0,1.0,0.0,20.96,82.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,7
22,97.0,81.0,148.0,110.0,306.0,39.0,0.0,1.0,0.0,21.92,82.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,8
23,103.0,87.0,157.0,119.0,313.0,40.0,0.0,1.0,0.0,21.92,86.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,9
24,109.0,93.0,166.0,128.0,338.0,39.0,0.0,1.0,0.0,22.96,112.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,10
25,115.0,99.0,175.0,137.0,336.0,41.0,0.0,1.0,0.0,23.44,101.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,11
26,121.0,105.0,184.0,146.0,331.0,44.0,0.0,1.0,0.0,24.48,103.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,12
27,127.0,111.0,193.0,155.0,346.0,47.0,0.0,1.0,0.0,25.44,111.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,13
28,133.0,117.0,202.0,164.0,388.0,50.0,0.0,1.0,0.0,25.92,145.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,14
29,139.0,123.0,211.0,173.0,366.0,53.0,0.0,1.0,0.0,26.96,122.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,2,15
30,199.0,83.0,382.0,100.0,479.0,181.0,0.0,1.0,0.0,36.79,176.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,1
31,213.0,97.0,403.0,121.0,494.0,180.0,0.0,1.0,0.0,40.86,211.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,2
32,227.0,111.0,425.0,142.0,497.0,184.0,0.0,1.0,0.0,44.86,165.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,3
33,241.0,125.0,446.0,163.0,507.0,188.0,0.0,1.0,0.0,49.89,178.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,4
34,255.0,139.0,467.0,184.0,535.0,193.0,0.0,1.0,0.0,53.89,204.0,False,new,experiments/results/TA_2_2/boolean_3/64.onnx,TA,3,5
