,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,15.0,15.0,18.0,18.0,215.0,3.0,0.0,1.0,0.0,14.48,18.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,1,0.08372093023255814
1,17.0,17.0,21.0,21.0,210.0,3.0,0.0,1.0,0.0,14.99,18.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,2,0.1
2,19.0,19.0,24.0,24.0,213.0,3.0,0.0,1.0,0.0,14.99,22.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,3,0.11267605633802817
3,21.0,21.0,27.0,27.0,224.0,3.0,0.0,1.0,0.0,14.48,25.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,4,0.12053571428571429
4,23.0,23.0,30.0,30.0,220.0,3.0,0.0,1.0,0.0,15.5,22.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,5,0.13636363636363635
5,25.0,25.0,33.0,33.0,220.0,4.0,0.0,1.0,0.0,15.5,28.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,6,0.15
6,27.0,27.0,36.0,36.0,226.0,5.0,0.0,1.0,0.0,15.98,26.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,7,0.1592920353982301
7,29.0,29.0,39.0,39.0,230.0,6.0,0.0,1.0,0.0,15.98,31.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,8,0.16956521739130434
8,31.0,31.0,42.0,42.0,227.0,6.0,0.0,1.0,0.0,15.98,32.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,9,0.18502202643171806
9,33.0,33.0,45.0,45.0,225.0,5.0,0.0,1.0,0.0,15.98,31.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,10,0.2
10,35.0,35.0,48.0,48.0,229.0,3.0,0.0,1.0,0.0,16.0,35.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,11,0.2096069868995633
11,37.0,37.0,51.0,51.0,231.0,3.0,0.0,1.0,0.0,16.48,34.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,12,0.22077922077922077
12,39.0,39.0,54.0,54.0,232.0,3.0,0.0,1.0,0.0,16.48,34.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,13,0.23275862068965517
13,41.0,41.0,57.0,57.0,237.0,3.0,0.0,1.0,0.0,16.48,40.0,false,False,new,experiments/results/TA_2_2/boolean_4/63.onnx,TA,1,14,0.24050632911392406
