,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,15.0,15.0,18.0,18.0,211.0,3.0,0.0,1.0,0.0,14.48,18.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,1,0.08530805687203792
1,17.0,17.0,21.0,21.0,212.0,3.0,0.0,1.0,0.0,14.99,21.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,2,0.09905660377358491
2,19.0,19.0,24.0,24.0,215.0,3.0,0.0,1.0,0.0,14.99,22.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,3,0.11162790697674418
3,21.0,21.0,27.0,27.0,224.0,3.0,0.0,1.0,0.0,14.99,25.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,4,0.12053571428571429
4,23.0,23.0,30.0,30.0,212.0,3.0,0.0,1.0,0.0,15.5,22.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,5,0.14150943396226415
5,25.0,25.0,33.0,33.0,216.0,3.0,0.0,1.0,0.0,15.5,23.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,6,0.1527777777777778
6,27.0,27.0,36.0,36.0,223.0,3.0,0.0,1.0,0.0,15.98,26.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,7,0.16143497757847533
7,29.0,29.0,39.0,39.0,225.0,3.0,0.0,1.0,0.0,15.98,36.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,8,0.17333333333333334
8,31.0,31.0,42.0,42.0,232.0,3.0,0.0,1.0,0.0,16.0,31.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,9,0.1810344827586207
9,33.0,33.0,45.0,45.0,230.0,3.0,0.0,1.0,0.0,16.0,34.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,10,0.1956521739130435
10,35.0,35.0,48.0,48.0,227.0,3.0,0.0,1.0,0.0,16.0,32.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,11,0.21145374449339208
11,37.0,37.0,51.0,51.0,231.0,3.0,0.0,1.0,0.0,16.48,33.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,12,0.22077922077922077
12,39.0,39.0,54.0,54.0,237.0,3.0,0.0,1.0,0.0,16.48,37.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,13,0.22784810126582278
13,41.0,41.0,57.0,57.0,238.0,3.0,0.0,1.0,0.0,16.48,40.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,14,0.23949579831932774
14,43.0,43.0,60.0,60.0,239.0,3.0,0.0,1.0,0.0,16.96,42.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,1,15,0.2510460251046025
15,47.0,39.0,59.0,47.0,253.0,9.0,0.0,1.0,0.0,16.96,52.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,1,0.233201581027668
16,53.0,45.0,68.0,56.0,257.0,9.0,0.0,1.0,0.0,17.44,50.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,2,0.26459143968871596
17,61.0,51.0,80.0,65.0,281.0,10.0,0.0,1.0,0.0,17.92,82.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,3,0.2846975088967972
18,67.0,57.0,89.0,74.0,263.0,10.0,0.0,1.0,0.0,17.92,61.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,4,0.33840304182509506
19,73.0,63.0,98.0,83.0,277.0,10.0,0.0,1.0,0.0,18.48,70.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,5,0.35379061371841153
20,79.0,69.0,107.0,92.0,278.0,10.0,0.0,1.0,0.0,18.48,72.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,6,0.38489208633093525
21,85.0,75.0,116.0,101.0,290.0,10.0,0.0,1.0,0.0,18.96,79.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,7,0.4
22,91.0,81.0,125.0,110.0,291.0,10.0,0.0,1.0,0.0,18.96,84.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,8,0.42955326460481097
23,95.0,88.0,131.0,120.0,302.0,9.0,0.0,1.0,0.0,19.44,94.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,9,0.4337748344370861
24,101.0,93.0,140.0,128.0,305.0,9.0,0.0,1.0,0.0,19.92,94.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,10,0.45901639344262296
25,107.0,99.0,149.0,137.0,331.0,9.0,0.0,1.0,0.0,19.92,112.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,11,0.4501510574018127
26,113.0,105.0,158.0,146.0,321.0,9.0,0.0,1.0,0.0,20.48,104.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,12,0.49221183800623053
27,119.0,111.0,167.0,155.0,336.0,9.0,0.0,1.0,0.0,20.96,123.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,13,0.49702380952380953
28,125.0,117.0,176.0,164.0,330.0,9.0,0.0,1.0,0.0,21.44,108.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,14,0.5333333333333333
29,131.0,123.0,185.0,173.0,339.0,9.0,0.0,1.0,0.0,21.44,119.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,2,15,0.5457227138643068
30,117.0,83.0,145.0,100.0,320.0,24.0,0.0,1.0,0.0,21.44,108.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,1,0.453125
31,133.0,95.0,170.0,119.0,349.0,26.0,0.0,1.0,0.0,22.48,128.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,2,0.4871060171919771
32,141.0,109.0,181.0,140.0,358.0,22.0,0.0,1.0,0.0,22.96,134.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,3,0.505586592178771
33,157.0,123.0,205.0,161.0,377.0,23.0,0.0,1.0,0.0,23.92,149.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,4,0.5437665782493368
34,173.0,137.0,229.0,182.0,381.0,24.0,0.0,1.0,0.0,25.44,147.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,5,0.6010498687664042
35,192.0,157.0,261.0,211.0,407.0,26.0,0.0,1.0,0.0,8.18,155.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,6,0.6412776412776413
36,206.0,171.0,282.0,232.0,426.0,26.0,0.0,1.0,0.0,18.26,178.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,7,0.6619718309859155
37,215.0,181.0,292.0,247.0,405.0,24.0,0.0,1.0,0.0,18.21,159.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,8,0.7209876543209877
38,229.0,195.0,313.0,268.0,400.0,24.0,0.0,1.0,0.0,20.33,160.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,9,0.7825
39,243.0,207.0,334.0,287.0,495.0,24.0,0.0,1.0,0.0,20.41,262.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,10,0.6747474747474748
40,262.0,227.0,366.0,316.0,487.0,26.0,0.0,1.0,0.0,23.46,233.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,11,0.7515400410677618
41,276.0,241.0,387.0,337.0,439.0,26.0,0.0,1.0,0.0,25.5,195.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,12,0.8815489749430524
42,290.0,255.0,408.0,358.0,444.0,26.0,0.0,1.0,0.0,28.52,192.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,13,0.918918918918919
43,304.0,269.0,429.0,379.0,470.0,26.0,0.0,1.0,0.0,28.53,220.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,14,0.9127659574468086
44,318.0,283.0,450.0,400.0,495.0,26.0,0.0,1.0,0.0,30.55,230.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,3,15,0.9090909090909091
45,256.0,162.0,311.0,196.0,442.0,45.0,0.0,1.0,0.0,23.39,194.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,4,1,0.7036199095022625
46,292.0,192.0,365.0,241.0,524.0,48.0,0.0,1.0,0.0,34.49,268.0,false,False,new,experiments/results/TA_2_2/boolean_5/60.onnx,TA,4,2,0.6965648854961832
