,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,16.0,15.0,19.0,18.0,202.0,3.0,0.0,1.0,1.0,14.48,17.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,1
1,18.0,17.0,22.0,21.0,216.0,4.0,0.0,1.0,1.0,14.99,22.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,2
2,20.0,19.0,25.0,24.0,214.0,5.0,0.0,1.0,1.0,15.5,23.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,3
3,22.0,21.0,28.0,27.0,212.0,6.0,0.0,1.0,1.0,15.5,22.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,4
4,24.0,23.0,31.0,30.0,216.0,7.0,0.0,1.0,1.0,15.5,23.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,5
5,26.0,25.0,34.0,33.0,221.0,8.0,0.0,1.0,1.0,15.5,24.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,6
6,28.0,27.0,37.0,36.0,230.0,9.0,0.0,1.0,1.0,15.98,34.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,7
7,30.0,29.0,40.0,39.0,226.0,10.0,0.0,1.0,1.0,15.98,33.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,8
8,32.0,31.0,43.0,42.0,221.0,11.0,0.0,1.0,1.0,15.98,26.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,9
9,34.0,33.0,46.0,45.0,231.0,12.0,0.0,1.0,1.0,15.98,30.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,10
10,36.0,35.0,49.0,48.0,234.0,13.0,0.0,1.0,1.0,15.98,42.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,11
11,38.0,37.0,52.0,51.0,237.0,14.0,0.0,1.0,1.0,15.98,40.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,12
12,40.0,39.0,55.0,54.0,245.0,15.0,0.0,1.0,1.0,16.48,44.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,13
13,42.0,41.0,58.0,57.0,233.0,16.0,0.0,1.0,1.0,16.48,39.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,14
14,44.0,43.0,61.0,60.0,243.0,17.0,0.0,1.0,1.0,16.48,47.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,1,15
15,89.0,42.0,133.0,51.0,289.0,28.0,0.0,1.0,5.0,19.92,82.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,2,1
16,116.0,48.0,177.0,60.0,333.0,34.0,0.0,1.0,10.0,21.44,123.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,2,2
17,136.0,54.0,209.0,69.0,335.0,37.0,0.0,1.0,10.0,22.96,112.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,2,3
18,156.0,60.0,241.0,78.0,348.0,40.0,0.0,1.0,10.0,24.48,124.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,2,4
19,176.0,66.0,273.0,87.0,374.0,43.0,0.0,1.0,10.0,25.92,141.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,2,5
20,196.0,72.0,305.0,96.0,392.0,46.0,0.0,1.0,10.0,27.92,167.0,False,new,experiments/results/TA_2_2/boolean_5kk/47.onnx,TA,2,6
