,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,145.0,1.0,0.0,1.0,2.0,13.5,16.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,150.0,1.0,0.0,1.0,2.0,13.5,18.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,147.0,1.0,0.0,1.0,2.0,14.48,20.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,3
3,23.0,21.0,29.0,27.0,148.0,1.0,0.0,1.0,2.0,14.99,19.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,164.0,1.0,0.0,1.0,2.0,14.99,38.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,154.0,1.0,0.0,1.0,2.0,15.95,21.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,153.0,1.0,0.0,1.0,2.0,15.47,25.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,163.0,1.0,0.0,1.0,2.0,15.98,29.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,162.0,1.0,0.0,1.0,2.0,15.98,32.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,184.0,1.0,0.0,1.0,2.0,16.0,48.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,167.0,1.0,0.0,1.0,2.0,16.0,37.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,165.0,1.0,0.0,1.0,2.0,16.0,34.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,170.0,1.0,0.0,1.0,2.0,16.0,38.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,165.0,1.0,0.0,1.0,2.0,16.0,33.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,175.0,1.0,0.0,1.0,2.0,16.48,39.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,1,15
15,120.0,83.0,240.0,140.0,233.0,1.0,0.0,1.0,26.0,19.44,82.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,1
16,140.0,99.0,284.0,174.0,257.0,1.0,0.0,1.0,29.0,20.96,97.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,2
17,160.0,117.0,328.0,211.0,262.0,1.0,0.0,1.0,33.0,21.92,107.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,3
18,180.0,133.0,372.0,245.0,290.0,1.0,0.0,1.0,29.0,23.44,122.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,4
19,200.0,149.0,417.0,279.0,295.0,1.0,0.0,1.0,39.0,24.96,142.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,5
20,220.0,165.0,461.0,313.0,314.0,1.0,0.0,1.0,41.0,26.0,142.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,6
21,240.0,179.0,505.0,344.0,332.0,1.0,0.0,1.0,40.0,27.44,167.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,7
22,260.0,197.0,549.0,381.0,358.0,1.0,0.0,1.0,43.0,9.09,182.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,8
23,280.0,211.0,592.0,412.0,379.0,1.0,0.0,1.0,33.0,17.12,201.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,9
24,300.0,227.0,636.0,446.0,373.0,1.0,0.0,1.0,42.0,19.17,187.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,10
25,320.0,245.0,680.0,483.0,407.0,1.0,0.0,1.0,57.0,21.2,230.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,11
26,340.0,259.0,724.0,514.0,412.0,1.0,0.0,1.0,57.0,22.25,229.0,True,new,experiments/results/TA_2_2/epsdec_2/0.onnx,TA,2,12
