,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,17.0,15.0,20.0,18.0,211.0,4.0,0.0,1.0,2.0,12.99,14.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,1,0
1,19.0,17.0,23.0,21.0,201.0,4.0,0.0,1.0,2.0,14.0,17.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,2,0
2,21.0,19.0,26.0,24.0,214.0,5.0,0.0,1.0,2.0,14.0,18.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,3,0
3,23.0,21.0,29.0,27.0,213.0,6.0,0.0,1.0,2.0,14.99,18.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,4,0
4,25.0,23.0,32.0,30.0,206.0,7.0,0.0,1.0,2.0,14.51,21.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,5,0
5,27.0,25.0,35.0,33.0,209.0,8.0,0.0,1.0,2.0,14.99,18.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,6,0
6,29.0,27.0,38.0,36.0,194.0,9.0,0.0,1.0,2.0,15.47,24.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,7,0
7,31.0,29.0,41.0,39.0,221.0,10.0,0.0,1.0,2.0,15.98,22.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,8,0
8,33.0,31.0,44.0,42.0,208.0,11.0,0.0,1.0,2.0,15.47,18.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,9,0
9,35.0,33.0,47.0,45.0,216.0,12.0,0.0,1.0,2.0,15.98,23.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,10,0
10,37.0,35.0,50.0,48.0,231.0,13.0,0.0,1.0,2.0,15.98,39.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,11,0
11,39.0,37.0,53.0,51.0,222.0,14.0,0.0,1.0,2.0,16.0,24.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,12,0
12,41.0,39.0,56.0,54.0,249.0,15.0,0.0,1.0,2.0,16.48,48.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,13,0
13,43.0,41.0,59.0,57.0,221.0,16.0,0.0,1.0,2.0,16.48,30.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,14,0
14,45.0,43.0,62.0,60.0,227.0,17.0,0.0,1.0,2.0,16.48,33.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,1,15,0
15,118.0,81.0,225.0,134.0,310.0,70.0,0.0,1.0,27.0,25.92,83.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,2,1,0
16,138.0,83.0,267.0,137.0,345.0,85.0,0.0,1.0,28.0,12.62,98.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,2,2,0
17,158.0,95.0,309.0,161.0,364.0,93.0,0.0,1.0,32.0,17.66,110.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,2,3,0
18,178.0,107.0,351.0,185.0,386.0,100.0,0.0,1.0,35.0,22.76,113.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,2,4,0
19,198.0,145.0,394.0,272.0,399.0,115.0,0.0,1.0,39.0,30.77,130.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,2,5,0
20,218.0,161.0,436.0,306.0,427.0,126.0,0.0,1.0,43.0,36.81,130.0,True,new,experiments/results/TA_2_2/focused_4/0.onnx,TA,2,6,0
