,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
0,2.0,18.0,15.0,1,1,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
1,2.0,21.0,17.0,1,2,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
2,3.0,24.0,19.0,1,3,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
3,3.0,31.0,25.0,1,4,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
4,4.0,33.0,26.0,1,5,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
5,17.0,76.0,56.0,2,1,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
6,11.0,57.0,46.0,2,2,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
7,16.0,95.0,69.0,2,3,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
8,13.0,95.0,71.0,2,4,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
9,15.0,114.0,81.0,2,5,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
10,44.0,139.0,109.0,3,1,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
11,65.0,145.0,115.0,3,2,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
12,513.0,613.0,362.0,3,3,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
13,693.0,674.0,392.0,3,4,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
14,960.0,861.0,471.0,3,5,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
15,16777.0,3157.0,1586.0,4,1,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
16,50660.0,6284.0,2525.0,4,2,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
17,66908.0,6901.0,2737.0,4,3,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
18,93147.0,8280.0,3312.0,4,4,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
19,135127.0,10556.0,4025.0,4,5,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
20,,,,5,1,TA,,128.4871482849121,212000,1e-05,20,0.1
21,,,,5,2,TA,,128.4871482849121,212000,1e-05,20,0.1
22,,,,5,3,TA,,128.4871482849121,212000,1e-05,20,0.1
23,,,,5,4,TA,,128.4871482849121,212000,1e-05,20,0.1
24,,,,5,5,TA,,128.4871482849121,212000,1e-05,20,0.1
