,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,15,15,18,18,212,3,0,1,0,14.99,19.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,1,0.08490566037735849
1,17,17,21,21,224,3,0,1,0,14.99,23.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,2,0.09375
2,19,19,24,24,216,3,0,1,0,14.99,23.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,3,0.1111111111111111
3,21,21,27,27,220,3,0,1,0,14.99,26.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,4,0.12272727272727273
4,23,23,30,30,224,3,0,1,0,15.5,31.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,5,0.13392857142857142
5,25,25,33,33,228,3,0,1,0,15.5,31.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,6,0.14473684210526316
6,27,27,36,36,227,3,0,1,0,15.98,27.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,7,0.15859030837004406
7,29,29,39,39,228,3,0,1,0,15.98,35.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,8,0.17105263157894737
8,31,31,42,42,230,3,0,1,0,15.98,30.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,9,0.1826086956521739
9,33,33,45,45,254,3,0,1,0,15.98,51.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,10,0.17716535433070865
10,35,35,48,48,236,3,0,1,0,15.98,37.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,11,0.2033898305084746
11,37,37,51,51,234,3,0,1,0,15.98,39.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,12,0.21794871794871795
12,39,39,54,54,236,3,0,1,0,16.0,40.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,13,0.2288135593220339
13,41,41,57,57,246,3,0,1,0,16.48,45.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,14,0.23170731707317074
14,43,43,60,60,249,3,0,1,0,16.48,54.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,1,15,0.24096385542168675
15,71,40,103,48,313,32,0,1,3,19.44,84.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,1,0.329073482428115
16,77,46,112,57,290,32,0,1,3,19.92,84.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,2,0.38620689655172413
17,83,52,121,66,297,32,0,1,3,20.48,83.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,3,0.4074074074074074
18,89,58,130,75,322,32,0,1,3,20.96,100.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,4,0.40372670807453415
19,95,64,139,84,330,31,0,1,3,21.44,108.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,5,0.4212121212121212
20,101,70,148,93,329,32,0,1,3,21.92,111.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,6,0.44984802431610943
21,107,76,157,102,333,32,0,1,3,22.48,114.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,7,0.47147147147147145
22,113,82,166,111,331,39,0,1,3,23.92,110.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,8,0.5015105740181269
23,119,88,175,120,359,34,0,1,3,23.92,120.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,9,0.48746518105849584
24,125,94,184,129,342,32,0,1,3,24.48,129.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,10,0.5380116959064327
25,131,100,193,138,362,32,0,1,3,24.96,144.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,11,0.5331491712707183
26,137,106,202,147,367,32,0,1,3,25.44,141.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,12,0.5504087193460491
27,143,112,211,156,402,32,0,1,3,26.48,171.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,13,0.5248756218905473
28,149,118,220,165,384,32,0,1,3,26.96,152.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,14,0.5729166666666666
29,155,124,229,174,390,32,0,1,3,27.44,160.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,2,15,0.5871794871794872
30,316,82,566,99,687,232,0,1,7,82.89,334.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,1,0.8238719068413392
31,330,96,588,120,719,235,0,1,7,86.97,366.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,2,0.8178025034770514
32,344,110,609,141,782,236,0,1,7,96.99,406.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,3,0.7787723785166241
33,358,124,630,162,805,236,0,1,7,105.01,446.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,4,0.782608695652174
34,372,140,651,185,924,236,0,1,7,114.08,532.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,5,0.7045454545454546
35,385,154,670,206,885,234,0,1,7,117.13,484.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,6,0.7570621468926554
36,399,166,691,225,981,234,0,1,7,128.16,562.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,7,0.7043832823649337
37,414,180,714,246,942,235,0,1,7,137.21,526.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,8,0.7579617834394905
38,428,194,735,267,1013,235,0,1,7,144.28,590.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,9,0.7255676209279368
39,442,210,756,290,1056,235,0,1,7,11.44,609.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,10,0.7159090909090909
40,456,222,777,309,1091,235,0,1,7,30.37,643.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,11,0.7121906507791017
41,469,238,796,332,1111,234,0,1,7,31.63,652.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,12,0.7164716471647165
42,484,250,819,351,1156,235,0,1,7,44.86,687.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,13,0.7084775086505191
43,497,264,838,372,1176,234,0,1,7,53.87,682.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,14,0.7125850340136054
44,511,278,859,393,1193,234,0,1,7,64.09,698.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,3,15,0.7200335289186923
45,1326,160,2854,194,6165,1262,0,1,50,64.15,4128.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,4,1,0.4629359286293593
46,1356,188,2900,237,7089,1265,0,1,50,30.52,4827.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,4,2,0.4090844971081958
47,1386,220,2946,284,7582,1274,0,1,50,73.08,5128.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,4,3,0.38855183328936954
48,1416,248,2990,327,8158,1273,0,1,50,88.73,5507.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,4,4,0.36651139985290515
49,1446,280,3035,374,8317,1276,0,1,50,22.43,5682.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/66.onnx,TA,4,5,0.3649152338583624
