,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,17,15,20,18,222,3,0,1,2,14.48,18.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,1,0.09009009009009009,0
1,19,17,23,21,210,4,0,1,2,14.99,17.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,2,0.10952380952380952,0
2,21,19,26,24,221,5,0,1,2,15.5,23.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,3,0.11764705882352941,0
3,23,21,29,27,225,6,0,1,2,15.5,26.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,4,0.1288888888888889,0
4,25,23,32,30,219,7,0,1,2,15.5,28.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,5,0.1461187214611872,0
5,27,25,35,33,231,8,0,1,2,15.98,31.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,6,0.15151515151515152,0
6,29,27,38,36,228,8,0,1,2,15.98,28.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,7,0.16666666666666666,0
7,31,29,41,39,243,9,0,1,2,15.98,53.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,8,0.16872427983539096,0
8,33,31,44,42,235,10,0,1,2,15.98,32.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,9,0.18723404255319148,0
9,35,33,47,45,234,11,0,1,2,16.48,31.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,10,0.20085470085470086,0
10,37,35,50,48,239,12,0,1,2,16.48,38.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,11,0.20920502092050208,0
11,39,37,53,51,246,14,0,1,2,16.48,44.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,12,0.21544715447154472,0
12,41,39,56,54,245,15,0,1,2,16.96,46.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,13,0.22857142857142856,0
13,43,41,59,57,248,16,0,1,2,16.96,48.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,14,0.23790322580645162,0
14,45,43,62,60,272,17,0,1,2,17.44,57.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,1,15,0.22794117647058823,0
15,120,67,223,104,342,39,0,1,32,26.48,100.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,1,0.652046783625731,0
16,140,100,281,176,407,65,0,1,34,16.93,156.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,2,0.6904176904176904,0
17,160,116,325,210,470,82,0,1,38,24.97,211.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,3,0.6914893617021277,0
18,180,132,368,244,462,87,0,1,42,29.06,179.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,4,0.7965367965367965,0
19,200,146,411,275,506,95,0,1,47,36.19,221.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,5,0.8122529644268774,0
20,220,162,459,309,576,118,0,1,52,45.14,295.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,6,0.796875,0
21,240,180,496,346,569,124,0,1,58,50.21,257.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,7,0.8717047451669596,0
22,260,196,540,380,637,123,0,1,57,55.14,332.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,8,0.847723704866562,0
23,280,212,583,414,698,133,0,1,61,67.12,361.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,9,0.835243553008596,0
24,300,226,626,445,767,142,0,1,63,75.14,418.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,10,0.8161668839634941,0
25,320,242,669,479,725,154,0,1,68,86.21,355.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,11,0.9227586206896552,0
26,340,258,712,513,802,165,0,1,70,96.23,432.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,12,0.8877805486284289,0
27,360,274,755,547,854,176,0,1,74,109.26,467.0,false,False,new,experiments/results/TA_2_2/labelsThatReach/0.onnx,TA,2,13,0.8840749414519906,0
