,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,140,99,285,174,395,1,0,1,20,31.02,131.0,new,experiments/results/TA_2_2/labels_2h_40/0.onnx,TA,2,2,3.584007501602173,0,1e-05,40,0.1,31,True,10000,True,10000,True,True,0
1,140,73,282,115,397,44,0,1,30,49.97,139.0,new,experiments/results/TA_2_2/labels_2h_40/1.onnx,TA,2,2,144.31016159057617,50000,1e-05,40,0.1,31,True,10000,True,10000,True,True,1
2,140,70,280,109,410,55,0,1,31,52.99,155.0,new,experiments/results/TA_2_2/labels_2h_40/2.onnx,TA,2,2,288.3626673221588,100000,1e-05,40,0.1,31,True,10000,True,10000,True,True,2
3,140,50,242,65,340,82,0,1,11,40.01,103.0,new,experiments/results/TA_2_2/labels_2h_40/3.onnx,TA,2,2,423.6350767612457,150000,1e-05,40,0.1,31,True,10000,True,10000,True,True,3
4,140,50,232,65,417,73,0,1,9,44.01,156.0,new,experiments/results/TA_2_2/labels_2h_40/4.onnx,TA,2,2,562.3516628742218,200000,1e-05,40,0.1,31,True,10000,True,10000,True,True,4
5,139,50,249,65,427,77,0,1,10,41.0,140.0,new,experiments/results/TA_2_2/labels_2h_40/5.onnx,TA,2,2,698.3317983150482,250000,1e-05,40,0.1,31,True,10000,True,10000,True,True,5
6,117,69,199,107,275,54,0,1,15,20.02,71.0,new,experiments/results/TA_2_2/labels_2h_40/6.onnx,TA,2,2,825.7481458187103,300000,1e-05,40,0.1,31,True,10000,True,10000,True,True,6
7,133,80,240,130,396,96,0,1,7,28.99,123.0,new,experiments/results/TA_2_2/labels_2h_40/7.onnx,TA,2,2,951.5215158462524,350000,1e-05,40,0.1,31,True,10000,True,10000,True,True,7
8,128,72,216,112,316,65,0,1,12,23.04,60.0,new,experiments/results/TA_2_2/labels_2h_40/8.onnx,TA,2,2,1078.306809425354,400000,1e-05,40,0.1,31,True,10000,True,10000,True,True,8
9,127,77,225,125,381,87,0,1,10,22.03,92.0,new,experiments/results/TA_2_2/labels_2h_40/9.onnx,TA,2,2,1202.1592943668365,450000,1e-05,40,0.1,31,True,10000,True,10000,True,True,9
10,127,47,198,59,316,60,0,1,9,21.01,81.0,new,experiments/results/TA_2_2/labels_2h_40/10.onnx,TA,2,2,1327.5803883075714,500000,1e-05,40,0.1,31,True,10000,True,10000,True,True,10
11,122,54,198,72,331,66,0,1,12,20.03,73.0,new,experiments/results/TA_2_2/labels_2h_40/11.onnx,TA,2,2,1452.483237028122,550000,1e-05,40,0.1,31,True,10000,True,10000,True,True,11
12,114,49,186,63,294,52,0,1,16,18.04,58.0,new,experiments/results/TA_2_2/labels_2h_40/12.onnx,TA,2,2,1577.6276292800903,600000,1e-05,40,0.1,31,True,10000,True,10000,True,True,12
13,97,52,159,67,267,51,0,1,12,15.02,59.0,new,experiments/results/TA_2_2/labels_2h_40/13.onnx,TA,2,2,1702.3520481586456,650000,1e-05,40,0.1,31,True,10000,True,10000,True,True,13
14,104,49,171,63,272,50,0,1,16,16.02,49.0,new,experiments/results/TA_2_2/labels_2h_40/14.onnx,TA,2,2,1826.4132597446442,700000,1e-05,40,0.1,31,True,10000,True,10000,True,True,14
15,140,97,271,168,412,110,0,1,18,34.01,113.0,new,experiments/results/TA_2_2/labels_2h_40/15.onnx,TA,2,2,1951.7729094028473,750000,1e-05,40,0.1,31,True,10000,True,10000,True,True,15
16,140,47,231,60,304,9,0,1,12,33.0,94.0,new,experiments/results/TA_2_2/labels_2h_40/16.onnx,TA,2,2,2077.169073343277,800000,1e-05,40,0.1,31,True,10000,True,10000,True,True,16
17,110,49,181,63,262,52,0,1,16,16.05,53.0,new,experiments/results/TA_2_2/labels_2h_40/17.onnx,TA,2,2,2201.973016023636,850000,1e-05,40,0.1,31,True,10000,True,10000,True,True,17
18,117,49,183,63,356,58,0,1,12,19.02,78.0,new,experiments/results/TA_2_2/labels_2h_40/18.onnx,TA,2,2,2327.077556848526,900000,1e-05,40,0.1,31,True,10000,True,10000,True,True,18
19,119,49,196,63,306,52,0,1,15,21.03,70.0,new,experiments/results/TA_2_2/labels_2h_40/19.onnx,TA,2,2,2452.342117547989,950000,1e-05,40,0.1,31,True,10000,True,10000,True,True,19
20,106,49,171,63,293,45,0,1,12,16.0,72.0,new,experiments/results/TA_2_2/labels_2h_40/20.onnx,TA,2,2,2577.93714094162,1000000,1e-05,40,0.1,31,True,10000,True,10000,True,True,20
21,103,47,170,59,283,49,0,1,6,16.02,68.0,new,experiments/results/TA_2_2/labels_2h_40/21.onnx,TA,2,2,2703.946098804474,1050000,1e-05,40,0.1,31,True,10000,True,10000,True,True,21
22,104,55,188,76,333,74,0,1,10,16.05,78.0,new,experiments/results/TA_2_2/labels_2h_40/22.onnx,TA,2,2,2831.6282193660736,1100000,1e-05,40,0.1,31,True,10000,True,10000,True,True,22
23,136,45,203,56,388,15,0,1,6,30.0,134.0,new,experiments/results/TA_2_2/labels_2h_40/23.onnx,TA,2,2,2958.783358335495,1150000,1e-05,40,0.1,31,True,10000,True,10000,True,True,23
24,129,56,233,75,304,78,0,1,12,32.99,92.0,new,experiments/results/TA_2_2/labels_2h_40/24.onnx,TA,2,2,3086.7100443840027,1200000,1e-05,40,0.1,31,True,10000,True,10000,True,True,24
25,114,49,180,63,353,55,0,1,12,18.02,81.0,new,experiments/results/TA_2_2/labels_2h_40/25.onnx,TA,2,2,3214.2001798152924,1250000,1e-05,40,0.1,31,True,10000,True,10000,True,True,25
26,103,45,149,56,274,33,0,1,10,14.03,65.0,new,experiments/results/TA_2_2/labels_2h_40/26.onnx,TA,2,2,3340.184534072876,1300000,1e-05,40,0.1,31,True,10000,True,10000,True,True,26
27,140,50,217,65,320,67,0,1,9,32.0,99.0,new,experiments/results/TA_2_2/labels_2h_40/27.onnx,TA,2,2,3465.7485299110413,1350000,1e-05,40,0.1,31,True,10000,True,10000,True,True,27
28,111,47,145,58,261,28,0,1,8,16.03,61.0,new,experiments/results/TA_2_2/labels_2h_40/28.onnx,TA,2,2,3593.412970304489,1400000,1e-05,40,0.1,31,True,10000,True,10000,True,True,28
29,112,58,192,82,295,72,0,1,11,18.01,62.0,new,experiments/results/TA_2_2/labels_2h_40/29.onnx,TA,2,2,3721.6451783180237,1450000,1e-05,40,0.1,31,True,10000,True,10000,True,True,29
30,121,47,196,59,282,62,0,1,9,20.05,61.0,new,experiments/results/TA_2_2/labels_2h_40/30.onnx,TA,2,2,3849.858644723892,1500000,1e-05,40,0.1,31,True,10000,True,10000,True,True,30
31,112,53,169,70,281,49,0,1,8,17.03,60.0,new,experiments/results/TA_2_2/labels_2h_40/31.onnx,TA,2,2,3977.592560529709,1550000,1e-05,40,0.1,31,True,10000,True,10000,True,True,31
32,129,67,240,100,314,79,0,1,24,23.04,57.0,new,experiments/results/TA_2_2/labels_2h_40/32.onnx,TA,2,2,4107.106446027756,1600000,1e-05,40,0.1,31,True,10000,True,10000,True,True,32
33,137,48,235,61,381,81,0,1,11,30.0,114.0,new,experiments/results/TA_2_2/labels_2h_40/33.onnx,TA,2,2,4233.619304180145,1650000,1e-05,40,0.1,31,True,10000,True,10000,True,True,33
34,109,45,139,56,309,25,0,1,7,14.04,78.0,new,experiments/results/TA_2_2/labels_2h_40/34.onnx,TA,2,2,4361.3952050209045,1700000,1e-05,40,0.1,31,True,10000,True,10000,True,True,34
35,132,51,201,66,332,59,0,1,8,22.01,84.0,new,experiments/results/TA_2_2/labels_2h_40/35.onnx,TA,2,2,4491.685544729233,1750000,1e-05,40,0.1,31,True,10000,True,10000,True,True,35
36,94,45,135,56,303,20,0,1,10,12.03,69.0,new,experiments/results/TA_2_2/labels_2h_40/36.onnx,TA,2,2,4619.948090791702,1800000,1e-05,40,0.1,31,True,10000,True,10000,True,True,36
37,139,45,212,56,294,8,0,1,21,29.0,93.0,new,experiments/results/TA_2_2/labels_2h_40/37.onnx,TA,2,2,4748.78081536293,1850000,1e-05,40,0.1,31,True,10000,True,10000,True,True,37
38,131,74,227,119,284,73,0,1,15,21.02,75.0,new,experiments/results/TA_2_2/labels_2h_40/38.onnx,TA,2,2,4878.865404367447,1900000,1e-05,40,0.1,31,True,10000,True,10000,True,True,38
39,106,62,164,85,316,43,0,1,17,16.04,55.0,new,experiments/results/TA_2_2/labels_2h_40/39.onnx,TA,2,2,5006.915576457977,1950000,1e-05,40,0.1,31,True,10000,True,10000,True,True,39
40,140,45,211,56,329,54,0,1,12,30.02,81.0,new,experiments/results/TA_2_2/labels_2h_40/40.onnx,TA,2,2,5133.271186828613,2000000,1e-05,40,0.1,31,True,10000,True,10000,True,True,40
41,104,48,173,61,286,55,0,1,6,16.04,68.0,new,experiments/results/TA_2_2/labels_2h_40/41.onnx,TA,2,2,5262.687964439392,2050000,1e-05,40,0.1,31,True,10000,True,10000,True,True,41
42,97,45,126,56,281,25,0,1,10,10.03,67.0,new,experiments/results/TA_2_2/labels_2h_40/42.onnx,TA,2,2,5395.237058162689,2100000,1e-05,40,0.1,31,True,10000,True,10000,True,True,42
43,139,76,240,118,365,70,0,1,12,26.05,117.0,new,experiments/results/TA_2_2/labels_2h_40/43.onnx,TA,2,2,5521.210998773575,2150000,1e-05,40,0.1,31,True,10000,True,10000,True,True,43
44,136,62,233,91,336,80,0,1,8,35.0,100.0,new,experiments/results/TA_2_2/labels_2h_40/44.onnx,TA,2,2,5646.631920099258,2200000,1e-05,40,0.1,31,True,10000,True,10000,True,True,44
