,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,16.0,15.0,19.0,18.0,168.0,4.0,0.0,1.0,1.0,17.2,13.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,1
1,18.0,17.0,22.0,21.0,174.0,5.0,0.0,1.0,1.0,17.7,15.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,2
2,20.0,19.0,25.0,24.0,181.0,6.0,0.0,1.0,1.0,18.21,14.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,3
3,22.0,21.0,28.0,27.0,207.0,6.0,0.0,1.0,1.0,17.7,14.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,4
4,24.0,23.0,31.0,30.0,182.0,7.0,0.0,1.0,1.0,18.72,13.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,5
5,25.0,25.0,33.0,33.0,176.0,6.0,0.0,1.0,0.0,20.18,17.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,6
6,27.0,27.0,36.0,36.0,202.0,6.0,0.0,1.0,0.0,19.7,20.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,7
7,29.0,29.0,39.0,39.0,210.0,6.0,0.0,1.0,0.0,20.18,19.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,8
8,31.0,31.0,42.0,42.0,190.0,6.0,0.0,1.0,0.0,20.18,28.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,9
9,33.0,33.0,45.0,45.0,206.0,6.0,0.0,1.0,0.0,20.18,22.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,10
10,36.0,35.0,49.0,48.0,195.0,8.0,0.0,1.0,1.0,20.18,25.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,11
11,38.0,37.0,52.0,51.0,213.0,9.0,0.0,1.0,1.0,20.18,31.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,12
12,40.0,39.0,55.0,54.0,208.0,10.0,0.0,1.0,1.0,20.66,41.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,13
13,42.0,41.0,58.0,57.0,194.0,11.0,0.0,1.0,1.0,20.66,29.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,14
14,44.0,43.0,61.0,60.0,206.0,11.0,0.0,1.0,1.0,20.66,40.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,1,15
15,95.0,73.0,179.0,117.0,263.0,74.0,0.0,1.0,9.0,27.62,67.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,2,1
16,112.0,87.0,213.0,143.0,297.0,87.0,0.0,1.0,9.0,12.07,84.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,2,2
17,125.0,87.0,236.0,137.0,359.0,98.0,0.0,1.0,8.0,19.06,113.0,True,new,experiments/results/TA_2_2/multiple_2/23.onnx,TA,2,3
