,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,209.0,4.0,0.0,1.0,2.0,13.02,18.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,209.0,5.0,0.0,1.0,2.0,14.0,16.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,216.0,2.0,0.0,1.0,2.0,14.99,20.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,3
3,23.0,21.0,29.0,27.0,215.0,2.0,0.0,1.0,2.0,14.99,22.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,220.0,1.0,0.0,1.0,2.0,15.5,26.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,226.0,1.0,0.0,1.0,2.0,15.5,26.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,252.0,1.0,0.0,1.0,2.0,15.5,57.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,220.0,1.0,0.0,1.0,2.0,15.5,25.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,231.0,1.0,0.0,1.0,2.0,15.98,30.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,228.0,1.0,0.0,1.0,2.0,15.98,30.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,240.0,1.0,0.0,1.0,2.0,15.98,47.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,232.0,1.0,0.0,1.0,2.0,15.98,45.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,238.0,1.0,0.0,1.0,2.0,15.98,42.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,236.0,1.0,0.0,1.0,2.0,15.98,42.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,239.0,1.0,0.0,1.0,2.0,15.98,43.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,1,15
15,79.0,40.0,123.0,48.0,281.0,25.0,0.0,1.0,17.0,19.44,66.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,1
16,83.0,45.0,131.0,56.0,284.0,35.0,0.0,1.0,17.0,20.96,73.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,2
17,89.0,51.0,139.0,65.0,292.0,37.0,0.0,1.0,17.0,20.96,75.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,3
18,95.0,57.0,148.0,74.0,302.0,37.0,0.0,1.0,17.0,21.44,91.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,4
19,101.0,63.0,158.0,83.0,303.0,40.0,0.0,1.0,17.0,22.48,85.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,5
20,110.0,70.0,172.0,93.0,309.0,40.0,0.0,1.0,18.0,23.44,89.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,6
21,113.0,75.0,176.0,101.0,321.0,46.0,0.0,1.0,17.0,23.92,88.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,7
22,119.0,81.0,184.0,110.0,309.0,33.0,0.0,1.0,17.0,23.92,78.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,8
23,125.0,87.0,193.0,119.0,335.0,33.0,0.0,1.0,17.0,24.48,113.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,9
24,134.0,94.0,207.0,129.0,374.0,41.0,0.0,1.0,18.0,25.92,133.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,10
25,140.0,100.0,216.0,138.0,351.0,42.0,0.0,1.0,18.0,26.48,110.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,11
26,146.0,106.0,225.0,147.0,362.0,43.0,0.0,1.0,18.0,27.44,124.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,12
27,152.0,112.0,234.0,156.0,348.0,44.0,0.0,1.0,18.0,27.92,103.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,13
28,158.0,118.0,243.0,165.0,374.0,45.0,0.0,1.0,18.0,7.96,125.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,14
29,164.0,124.0,252.0,174.0,407.0,46.0,0.0,1.0,18.0,15.92,153.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,2,15
30,351.0,84.0,681.0,101.0,712.0,180.0,0.0,1.0,82.0,84.86,277.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,3,1
31,362.0,99.0,691.0,123.0,688.0,186.0,0.0,1.0,91.0,79.95,304.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,3,2
32,376.0,113.0,711.0,144.0,671.0,169.0,0.0,1.0,88.0,85.95,293.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,3,3
33,390.0,127.0,732.0,165.0,661.0,170.0,0.0,1.0,88.0,92.98,267.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,3,4
34,410.0,139.0,773.0,184.0,723.0,185.0,0.0,1.0,87.0,110.0,289.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,3,5
35,418.0,155.0,776.0,207.0,729.0,189.0,0.0,1.0,87.0,112.99,273.0,False,new,experiments/results/TA_2_2/no_TB/5.onnx,TA,3,6
