,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,17.0,15.0,20.0,18.0,355.0,4.0,0.0,1.0,2.0,17.2,11.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,1,0
1,19.0,17.0,23.0,21.0,195.0,4.0,0.0,1.0,2.0,17.2,14.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,2,0
2,21.0,19.0,26.0,24.0,183.0,4.0,0.0,1.0,2.0,17.7,17.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,3,0
3,23.0,21.0,29.0,27.0,193.0,4.0,0.0,1.0,2.0,18.21,13.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,4,0
4,25.0,23.0,32.0,30.0,184.0,4.0,0.0,1.0,2.0,19.23,19.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,5,0
5,27.0,25.0,35.0,33.0,208.0,4.0,0.0,1.0,2.0,20.18,18.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,6,0
6,29.0,27.0,38.0,36.0,186.0,4.0,0.0,1.0,2.0,20.18,15.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,7,0
7,31.0,29.0,41.0,39.0,189.0,4.0,0.0,1.0,2.0,20.18,16.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,8,0
8,33.0,31.0,44.0,42.0,230.0,4.0,0.0,1.0,2.0,20.18,21.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,9,0
9,35.0,33.0,47.0,45.0,217.0,4.0,0.0,1.0,2.0,20.18,24.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,10,0
10,37.0,35.0,50.0,48.0,193.0,4.0,0.0,1.0,2.0,20.18,21.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,11,0
11,39.0,37.0,53.0,51.0,220.0,4.0,0.0,1.0,2.0,20.18,25.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,12,0
12,41.0,39.0,56.0,54.0,240.0,4.0,0.0,1.0,2.0,20.18,28.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,13,0
13,43.0,41.0,59.0,57.0,211.0,4.0,0.0,1.0,2.0,20.18,38.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,14,0
14,45.0,43.0,62.0,60.0,210.0,4.0,0.0,1.0,2.0,20.66,28.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,1,15,0
15,111.0,67.0,211.0,102.0,307.0,58.0,0.0,1.0,21.0,28.18,73.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,2,1,0
16,126.0,71.0,240.0,110.0,301.0,60.0,0.0,1.0,20.0,29.62,77.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,2,2,0
17,144.0,83.0,279.0,132.0,335.0,66.0,0.0,1.0,21.0,17.11,85.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,2,3,0
18,162.0,93.0,318.0,151.0,317.0,73.0,0.0,1.0,24.0,21.18,89.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,2,4,0
19,180.0,103.0,357.0,170.0,345.0,75.0,0.0,1.0,27.0,25.19,102.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,2,5,0
20,198.0,113.0,396.0,189.0,365.0,82.0,0.0,1.0,25.0,29.18,122.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,2,6,0
21,216.0,121.0,435.0,205.0,353.0,77.0,0.0,1.0,25.0,32.19,109.0,True,new,experiments/results/TA_2_2/no_TB/0.onnx,TA,2,7,0
