,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,17.0,15.0,20.0,18.0,202.0,4.0,0.0,1.0,2.0,13.5,15.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,1,0
1,19.0,17.0,23.0,21.0,205.0,4.0,0.0,1.0,2.0,14.0,15.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,2,0
2,21.0,19.0,26.0,24.0,208.0,4.0,0.0,1.0,2.0,14.48,18.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,3,0
3,23.0,21.0,29.0,27.0,188.0,4.0,0.0,1.0,2.0,14.99,19.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,4,0
4,25.0,23.0,32.0,30.0,191.0,4.0,0.0,1.0,2.0,14.99,21.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,5,0
5,27.0,25.0,35.0,33.0,208.0,4.0,0.0,1.0,2.0,14.96,22.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,6,0
6,29.0,27.0,38.0,36.0,209.0,4.0,0.0,1.0,2.0,15.44,25.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,7,0
7,31.0,29.0,41.0,39.0,228.0,4.0,0.0,1.0,2.0,15.44,20.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,8,0
8,33.0,31.0,44.0,42.0,216.0,4.0,0.0,1.0,2.0,15.98,22.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,9,0
9,35.0,33.0,47.0,45.0,223.0,4.0,0.0,1.0,2.0,15.98,24.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,10,0
10,37.0,35.0,50.0,48.0,212.0,4.0,0.0,1.0,2.0,15.98,24.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,11,0
11,39.0,37.0,53.0,51.0,232.0,4.0,0.0,1.0,2.0,16.0,39.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,12,0
12,41.0,39.0,56.0,54.0,218.0,4.0,0.0,1.0,2.0,16.0,27.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,13,0
13,43.0,41.0,59.0,57.0,224.0,4.0,0.0,1.0,2.0,16.0,31.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,14,0
14,45.0,43.0,62.0,60.0,236.0,4.0,0.0,1.0,2.0,16.0,42.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,1,15,0
15,118.0,50.0,217.0,66.0,317.0,74.0,0.0,1.0,15.0,24.96,82.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,1,0
16,138.0,76.0,275.0,120.0,362.0,101.0,0.0,1.0,26.0,12.65,117.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,2,0
17,154.0,64.0,313.0,90.0,467.0,116.0,0.0,1.0,25.0,20.64,201.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,3,0
18,174.0,70.0,358.0,99.0,460.0,132.0,0.0,1.0,26.0,25.71,210.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,4,0
19,200.0,104.0,407.0,171.0,466.0,146.0,0.0,1.0,27.0,30.7,159.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,5,0
20,214.0,82.0,446.0,117.0,491.0,163.0,0.0,1.0,29.0,36.78,221.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,6,0
21,234.0,88.0,490.0,126.0,523.0,158.0,0.0,1.0,33.0,39.7,249.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,7,0
22,254.0,94.0,534.0,135.0,540.0,174.0,0.0,1.0,33.0,47.74,241.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,8,0
23,280.0,142.0,583.0,244.0,546.0,187.0,0.0,1.0,35.0,54.72,208.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,9,0
24,294.0,106.0,622.0,153.0,615.0,199.0,0.0,1.0,34.0,62.73,257.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,10,0
25,320.0,162.0,671.0,282.0,645.0,218.0,0.0,1.0,34.0,72.79,253.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,11,0
26,334.0,118.0,710.0,171.0,688.0,216.0,0.0,1.0,37.0,78.78,277.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,12,0
27,360.0,182.0,759.0,320.0,699.0,231.0,0.0,1.0,37.0,89.89,313.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,13,0
28,374.0,130.0,798.0,189.0,774.0,248.0,0.0,1.0,39.0,96.93,351.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,14,0
29,394.0,136.0,842.0,198.0,782.0,255.0,0.0,1.0,34.0,108.98,340.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,2,15,0
30,787.0,150.0,2272.0,243.0,2469.0,1162.0,0.0,1.0,170.0,100.31,918.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,3,1,0
31,934.0,176.0,2783.0,292.0,2850.0,1419.0,0.0,1.0,270.0,131.96,826.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,3,2,0
32,1082.0,199.0,3245.0,331.0,3878.0,1664.0,0.0,1.0,298.0,98.0,1222.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,3,3,0
33,1230.0,216.0,3705.0,360.0,4600.0,1892.0,0.0,1.0,315.0,126.98,1297.0,True,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,3,4,0
34,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,3,5,0
35,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pytorch2/0.onnx,TA,4,1,0
36,17.0,15.0,20.0,18.0,202.0,3.0,0.0,1.0,2.0,13.5,16.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,1,1
37,19.0,17.0,23.0,21.0,214.0,2.0,0.0,1.0,2.0,14.0,16.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,2,1
38,21.0,19.0,26.0,24.0,216.0,2.0,0.0,1.0,2.0,14.0,18.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,3,1
39,23.0,21.0,29.0,27.0,202.0,2.0,0.0,1.0,2.0,14.99,19.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,4,1
40,25.0,23.0,32.0,30.0,207.0,5.0,0.0,1.0,2.0,14.99,24.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,5,1
41,27.0,25.0,35.0,33.0,209.0,6.0,0.0,1.0,2.0,14.96,17.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,6,1
42,29.0,27.0,38.0,36.0,214.0,6.0,0.0,1.0,2.0,14.96,20.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,7,1
43,31.0,29.0,41.0,39.0,211.0,6.0,0.0,1.0,2.0,14.96,17.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,8,1
44,33.0,31.0,44.0,42.0,213.0,6.0,0.0,1.0,2.0,15.98,17.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,9,1
45,35.0,33.0,47.0,45.0,217.0,9.0,0.0,1.0,2.0,15.98,24.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,10,1
46,37.0,35.0,50.0,48.0,225.0,6.0,0.0,1.0,2.0,15.98,30.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,11,1
47,39.0,37.0,53.0,51.0,223.0,12.0,0.0,1.0,2.0,15.98,29.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,12,1
48,41.0,39.0,56.0,54.0,224.0,14.0,0.0,1.0,2.0,16.48,29.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,13,1
49,43.0,41.0,59.0,57.0,250.0,15.0,0.0,1.0,2.0,16.48,63.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,14,1
50,45.0,43.0,62.0,60.0,242.0,16.0,0.0,1.0,2.0,16.48,32.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,1,15,1
51,112.0,65.0,205.0,101.0,303.0,11.0,0.0,1.0,21.0,20.48,94.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,1,1
52,129.0,78.0,241.0,127.0,327.0,13.0,0.0,1.0,20.0,21.44,108.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,2,1
53,152.0,90.0,294.0,151.0,365.0,14.0,0.0,1.0,20.0,23.92,139.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,3,1
54,180.0,102.0,358.0,175.0,421.0,41.0,0.0,1.0,22.0,16.81,165.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,4,1
55,193.0,113.0,362.0,197.0,447.0,15.0,0.0,1.0,23.0,26.48,214.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,5,1
56,213.0,140.0,410.0,251.0,497.0,105.0,0.0,1.0,22.0,25.8,247.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,6,1
57,240.0,175.0,494.0,333.0,545.0,187.0,0.0,1.0,23.0,43.73,258.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,7,1
58,260.0,189.0,532.0,364.0,515.0,166.0,0.0,1.0,30.0,46.72,213.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,8,1
59,280.0,211.0,575.0,412.0,572.0,185.0,0.0,1.0,34.0,53.81,224.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,9,1
60,300.0,223.0,615.0,435.0,665.0,185.0,0.0,1.0,28.0,61.86,332.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,10,1
61,320.0,239.0,660.0,469.0,654.0,210.0,0.0,1.0,35.0,73.86,303.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,11,1
62,340.0,261.0,700.0,516.0,739.0,211.0,0.0,1.0,38.0,81.89,342.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,12,1
63,360.0,275.0,756.0,546.0,823.0,189.0,0.0,1.0,27.0,85.09,455.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,13,1
64,380.0,291.0,798.0,580.0,896.0,182.0,0.0,1.0,29.0,85.2,525.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,14,1
65,400.0,309.0,840.0,618.0,1001.0,201.0,0.0,1.0,35.0,100.22,586.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,2,15,1
66,749.0,283.0,2008.0,560.0,2021.0,258.0,0.0,1.0,133.0,45.87,1153.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,3,1,1
67,917.0,432.0,2605.0,962.0,2776.0,435.0,0.0,1.0,188.0,131.92,1417.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,3,2,1
68,1065.0,553.0,3054.0,1284.0,3714.0,526.0,0.0,1.0,217.0,131.54,1980.0,True,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,3,3,1
69,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,3,4,1
70,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pytorch2/1.onnx,TA,4,1,1
71,16.0,15.0,19.0,18.0,202.0,4.0,0.0,1.0,1.0,12.51,17.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,1,2
72,17.0,17.0,21.0,21.0,202.0,4.0,0.0,1.0,0.0,13.5,13.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,2,2
73,20.0,19.0,25.0,24.0,205.0,5.0,0.0,1.0,1.0,13.5,17.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,3,2
74,21.0,21.0,27.0,27.0,209.0,4.0,0.0,1.0,0.0,14.0,15.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,4,2
75,25.0,23.0,32.0,30.0,209.0,7.0,0.0,1.0,2.0,14.99,18.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,5,2
76,27.0,25.0,35.0,33.0,210.0,6.0,0.0,1.0,2.0,14.96,19.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,6,2
77,29.0,27.0,38.0,36.0,189.0,6.0,0.0,1.0,2.0,14.48,22.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,7,2
78,31.0,29.0,41.0,39.0,195.0,6.0,0.0,1.0,2.0,15.98,24.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,8,2
79,33.0,31.0,44.0,42.0,218.0,8.0,0.0,1.0,2.0,15.98,31.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,9,2
80,35.0,33.0,47.0,45.0,219.0,7.0,0.0,1.0,2.0,15.98,27.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,10,2
81,36.0,35.0,49.0,48.0,199.0,5.0,0.0,1.0,1.0,15.98,27.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,11,2
82,39.0,37.0,53.0,51.0,239.0,6.0,0.0,1.0,2.0,16.0,27.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,12,2
83,41.0,39.0,56.0,54.0,218.0,6.0,0.0,1.0,2.0,16.0,28.0,True,new,experiments/results/TA_2_2/pytorch2/2.onnx,TA,1,13,2
