,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,Exception
0,17.0,15.0,20.0,18.0,145.0,1.0,0.0,1.0,2.0,12.99,17.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,1,
1,19.0,17.0,23.0,21.0,145.0,2.0,0.0,1.0,2.0,14.0,15.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,2,
2,21.0,19.0,26.0,24.0,147.0,1.0,0.0,1.0,2.0,14.51,19.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,3,
3,23.0,21.0,29.0,27.0,155.0,1.0,0.0,1.0,2.0,15.02,17.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,4,
4,25.0,23.0,32.0,30.0,147.0,1.0,0.0,1.0,2.0,15.02,23.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,5,
5,27.0,25.0,35.0,33.0,148.0,1.0,0.0,1.0,2.0,15.5,23.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,6,
6,29.0,27.0,38.0,36.0,151.0,1.0,0.0,1.0,2.0,15.5,22.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,7,
7,31.0,29.0,41.0,39.0,157.0,1.0,0.0,1.0,2.0,16.0,25.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,8,
8,33.0,31.0,44.0,42.0,156.0,1.0,0.0,1.0,2.0,16.0,28.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,9,
9,35.0,33.0,47.0,45.0,156.0,1.0,0.0,1.0,2.0,16.0,27.0,True,new,experiments/results/TA_2_2/pytorch_epsdec/0.onnx,TA,1,10,
