,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx
0,0.004926919937133789,0,1e-05,20,0.1,15,True,0.98457897,0
1,68.7832100391388,50000,1e-05,20,0.1,15,True,-133.68448,1
2,136.8244869709015,100000,1e-05,20,0.1,15,True,-156.5463,2
3,204.35553908348083,150000,1e-05,20,0.1,15,True,-158.98515,3
4,271.7956221103668,200000,1e-05,20,0.1,15,True,-149.34058,4
5,339.28732228279114,250000,1e-05,20,0.1,15,True,-162.38312,5
6,406.7462890148163,300000,1e-05,20,0.1,15,True,-170.73984,6
7,474.2617208957672,350000,1e-05,20,0.1,15,True,-158.62729,7
8,541.7442054748535,400000,1e-05,20,0.1,15,True,-148.2207,8
9,609.2857594490051,450000,1e-05,20,0.1,15,True,-162.9647,9
10,676.7118244171143,500000,1e-05,20,0.1,15,True,-159.28178,10
11,744.1988637447357,550000,1e-05,20,0.1,15,True,-168.29218,11
12,811.6830003261566,600000,1e-05,20,0.1,15,True,-170.89589,12
13,879.106924533844,650000,1e-05,20,0.1,15,True,-151.6082,13
14,946.5230185985565,700000,1e-05,20,0.1,15,True,-157.59769,14
15,1013.721088886261,750000,1e-05,20,0.1,15,True,-164.31514,15
16,1080.8118739128113,800000,1e-05,20,0.1,15,True,-152.58626,16
17,1147.9297668933868,850000,1e-05,20,0.1,15,True,-154.4219,17
18,1214.9728574752808,900000,1e-05,20,0.1,15,True,-147.77303,18
19,1282.2128739356995,950000,1e-05,20,0.1,15,True,-162.16222,19
20,1349.40109872818,1000000,1e-05,20,0.1,15,True,-163.32877,20
21,1416.6989467144012,1050000,1e-05,20,0.1,15,True,-163.19887,21
22,1483.890216588974,1100000,1e-05,20,0.1,15,True,-158.87115,22
23,1551.1647546291351,1150000,1e-05,20,0.1,15,True,-145.06537,23
24,1618.4573276042938,1200000,1e-05,20,0.1,15,True,-131.72562,24
25,1685.8300995826721,1250000,1e-05,20,0.1,15,True,-146.09317,25
26,1753.128984928131,1300000,1e-05,20,0.1,15,True,-150.55688,26
27,1820.5864579677582,1350000,1e-05,20,0.1,15,True,-148.70473,27
28,1887.9854996204376,1400000,1e-05,20,0.1,15,True,-150.70737,28
29,1955.327861070633,1450000,1e-05,20,0.1,15,True,-155.58823,29
30,2022.6549143791199,1500000,1e-05,20,0.1,15,True,-155.90042,30
31,2089.93061375618,1550000,1e-05,20,0.1,15,True,-143.34515,31
32,2159.3683836460114,1600000,1e-05,20,0.1,15,True,-146.2077,32
33,2226.64093875885,1650000,1e-05,20,0.1,15,True,-158.25978,33
34,2294.083375453949,1700000,1e-05,20,0.1,15,True,-145.50653,34
35,2361.420782327652,1750000,1e-05,20,0.1,15,True,-136.4372,35
36,2428.723109960556,1800000,1e-05,20,0.1,15,True,-133.6012,36
37,2496.1368288993835,1850000,1e-05,20,0.1,15,True,-137.32735,37
38,2563.551995038986,1900000,1e-05,20,0.1,15,True,-140.27016,38
39,2630.966192007065,1950000,1e-05,20,0.1,15,True,-143.0639,39
40,2698.4584443569183,2000000,1e-05,20,0.1,15,True,-126.19753,40
41,2765.9863584041595,2050000,1e-05,20,0.1,15,True,-139.02173,41
42,2833.66117477417,2100000,1e-05,20,0.1,15,True,-142.73013,42
43,2901.24870967865,2150000,1e-05,20,0.1,15,True,-130.90782,43
44,2968.7648656368256,2200000,1e-05,20,0.1,15,True,-142.23979,44
45,3044.3734924793243,2250000,1e-05,20,0.1,15,True,-142.08028,45
46,3130.4003167152405,2300000,1e-05,20,0.1,15,True,-137.31097,46
47,3222.4181859493256,2350000,1e-05,20,0.1,15,True,-139.16978,47
48,3314.485365629196,2400000,1e-05,20,0.1,15,True,-136.14914,48
49,3392.1663823127747,2450000,1e-05,20,0.1,15,True,-137.70528,49
50,3467.900511264801,2500000,1e-05,20,0.1,15,True,-140.06235,50
51,3543.4908697605133,2550000,1e-05,20,0.1,15,True,-139.76941,51
52,3619.325234413147,2600000,1e-05,20,0.1,15,True,-159.34277,52
53,3707.456055164337,2650000,1e-05,20,0.1,15,True,-140.2947,53
54,3785.373678445816,2700000,1e-05,20,0.1,15,True,-145.86385,54
55,3865.2859485149384,2750000,1e-05,20,0.1,15,True,-138.47177,55
56,3941.070328474045,2800000,1e-05,20,0.1,15,True,-143.71089,56
57,4021.22740316391,2850000,1e-05,20,0.1,15,True,-148.34991,57
58,4103.371410608292,2900000,1e-05,20,0.1,15,True,-141.98653,58
59,4183.771541833878,2950000,1e-05,20,0.1,15,True,-132.76698,59
60,4272.142428636551,3000000,1e-05,20,0.1,15,True,-145.17667,60
61,4356.553698539734,3050000,1e-05,20,0.1,15,True,-141.51794,61
62,4442.782240390778,3100000,1e-05,20,0.1,15,True,-138.59677,62
63,4516.956966638565,3150000,1e-05,20,0.1,15,True,-137.92017,63
64,4584.642644166946,3200000,1e-05,20,0.1,15,True,-135.66891,64
65,4652.251878499985,3250000,1e-05,20,0.1,15,True,-145.9298,65
66,4719.878168582916,3300000,1e-05,20,0.1,15,True,-144.92392,66
67,4787.598033189774,3350000,1e-05,20,0.1,15,True,-147.37128,67
68,4855.229287147522,3400000,1e-05,20,0.1,15,True,-144.40166,68
69,4922.979025363922,3450000,1e-05,20,0.1,15,True,-142.82646,69
70,4990.685068130493,3500000,1e-05,20,0.1,15,True,-139.10303,70
71,5058.489094018936,3550000,1e-05,20,0.1,15,True,-144.20738,71
72,5126.318841934204,3600000,1e-05,20,0.1,15,True,-128.49687,72
73,5194.006381511688,3650000,1e-05,20,0.1,15,True,-149.33101,73
74,5261.870985507965,3700000,1e-05,20,0.1,15,True,-143.55486,74
75,5329.625645875931,3750000,1e-05,20,0.1,15,True,-141.38521,75
76,5397.428918600082,3800000,1e-05,20,0.1,15,True,-130.05827,76
77,5465.149938583374,3850000,1e-05,20,0.1,15,True,-144.91248,77
78,5532.8462266922,3900000,1e-05,20,0.1,15,True,-138.53282,78
79,5600.531891584396,3950000,1e-05,20,0.1,15,True,-143.49312,79
80,5668.275022745132,4000000,1e-05,20,0.1,15,True,-134.79643,80
81,5735.9636952877045,4050000,1e-05,20,0.1,15,True,-126.3781,81
82,5803.797108888626,4100000,1e-05,20,0.1,15,True,-136.99825,82
83,5871.554846286774,4150000,1e-05,20,0.1,15,True,-142.70995,83
84,5939.232144832611,4200000,1e-05,20,0.1,15,True,-143.5108,84
85,6007.054460763931,4250000,1e-05,20,0.1,15,True,-140.11217,85
86,6076.720726966858,4300000,1e-05,20,0.1,15,True,-139.51707,86
87,6143.949759960175,4350000,1e-05,20,0.1,15,True,-135.84775,87
88,6211.196588039398,4400000,1e-05,20,0.1,15,True,-127.78263,88
89,6278.420643568039,4450000,1e-05,20,0.1,15,True,-138.83586,89
90,6345.409092903137,4500000,1e-05,20,0.1,15,True,-139.76569,90
91,6412.530500650406,4550000,1e-05,20,0.1,15,True,-128.35437,91
92,6479.653602600098,4600000,1e-05,20,0.1,15,True,-135.84558,92
93,6546.726708889008,4650000,1e-05,20,0.1,15,True,-139.95454,93
94,6613.8806183338165,4700000,1e-05,20,0.1,15,True,-133.82463,94
95,6680.889222383499,4750000,1e-05,20,0.1,15,True,-134.41975,95
96,6747.994216918945,4800000,1e-05,20,0.1,15,True,-139.54741,96
97,6815.149028539658,4850000,1e-05,20,0.1,15,True,-131.63747,97
