,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,140,99,281,174,280,64,0,1,12,14.99,41.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/0.onnx,TA,2,2,0.006181240081787109,0,1e-05,20,0.1,15,True,0
1,135,50,221,65,307,71,0,1,6,17.95,68.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/1.onnx,TA,2,2,69.35982203483582,50000,1e-05,20,0.1,15,True,1
2,140,99,281,174,296,115,0,1,15,19.94,32.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/2.onnx,TA,2,2,136.1917064189911,100000,1e-05,20,0.1,15,True,2
3,139,97,259,170,348,20,0,1,9,15.95,80.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/3.onnx,TA,2,2,202.1809163093567,150000,1e-05,20,0.1,15,True,3
4,140,101,276,177,299,121,0,1,14,21.99,47.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/4.onnx,TA,2,2,268.1394658088684,200000,1e-05,20,0.1,15,True,4
5,121,66,226,97,273,95,0,1,12,14.95,46.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/5.onnx,TA,2,2,334.50832295417786,250000,1e-05,20,0.1,15,True,5
6,140,99,277,174,306,130,0,1,12,20.95,57.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/6.onnx,TA,2,2,400.65269446372986,300000,1e-05,20,0.1,15,True,6
7,86,45,132,56,274,40,0,1,10,27.14,39.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/7.onnx,TA,2,2,467.01183009147644,350000,1e-05,20,0.1,15,True,7
8,140,99,283,174,290,113,0,1,14,17.97,37.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/8.onnx,TA,2,2,533.430255651474,400000,1e-05,20,0.1,15,True,8
9,140,71,258,108,338,110,0,1,12,17.97,56.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/9.onnx,TA,2,2,599.4834115505219,450000,1e-05,20,0.1,15,True,9
10,87,45,136,56,248,45,0,1,8,27.62,33.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/10.onnx,TA,2,2,665.8120853900909,500000,1e-05,20,0.1,15,True,10
11,118,68,210,103,269,81,0,1,8,12.96,27.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/11.onnx,TA,2,2,756.4884848594666,550000,1e-05,20,0.1,15,True,11
12,139,65,271,100,280,10,0,1,31,10.98,42.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/12.onnx,TA,2,2,843.7758309841156,600000,1e-05,20,0.1,15,True,12
13,140,57,245,75,286,1,0,1,16,10.02,44.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/13.onnx,TA,2,2,917.1112833023071,650000,1e-05,20,0.1,15,True,13
14,131,54,221,70,262,7,0,1,18,9.99,50.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/14.onnx,TA,2,2,997.4861359596252,700000,1e-05,20,0.1,15,True,14
15,67,45,90,56,222,21,0,1,7,23.62,26.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/15.onnx,TA,2,2,1072.189195394516,750000,1e-05,20,0.1,15,True,15
16,140,49,223,62,269,16,0,1,6,13.97,55.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/16.onnx,TA,2,2,1154.4799635410309,800000,1e-05,20,0.1,15,True,16
17,75,45,110,56,240,23,0,1,18,24.66,18.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/17.onnx,TA,2,2,1227.651867389679,850000,1e-05,20,0.1,15,True,17
18,87,45,131,56,248,7,0,1,12,25.62,40.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/18.onnx,TA,2,2,1300.8782863616943,900000,1e-05,20,0.1,15,True,18
19,87,45,144,56,280,42,0,1,22,27.62,44.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/19.onnx,TA,2,2,1395.4068622589111,950000,1e-05,20,0.1,15,True,19
20,140,72,251,111,260,17,0,1,8,12.01,46.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/20.onnx,TA,2,2,1477.603760957718,1000000,1e-05,20,0.1,15,True,20
21,140,72,256,112,272,101,0,1,14,19.01,37.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/21.onnx,TA,2,2,1554.4096114635468,1050000,1e-05,20,0.1,15,True,21
22,140,69,245,103,366,93,0,1,12,18.0,68.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/22.onnx,TA,2,2,1647.182584285736,1100000,1e-05,20,0.1,15,True,22
23,134,54,220,75,343,15,0,1,16,11.01,79.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/23.onnx,TA,2,2,1731.1499044895172,1150000,1e-05,20,0.1,15,True,23
24,63,45,82,56,233,20,0,1,2,22.66,28.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/24.onnx,TA,2,2,1807.9312944412231,1200000,1e-05,20,0.1,15,True,24
25,140,101,264,175,264,16,0,1,27,14.97,54.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/25.onnx,TA,2,2,1884.9968943595886,1250000,1e-05,20,0.1,15,True,25
26,136,62,229,88,296,13,0,1,9,11.98,76.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/26.onnx,TA,2,2,1961.841523885727,1300000,1e-05,20,0.1,15,True,26
27,140,66,228,97,292,73,0,1,14,15.99,42.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/27.onnx,TA,2,2,2048.0733358860016,1350000,1e-05,20,0.1,15,True,27
28,140,73,265,115,363,101,0,1,18,17.97,56.0,new,experiments/results/TA_2_2/ra_feature2opt_2h/28.onnx,TA,2,2,2132.500210762024,1400000,1e-05,20,0.1,15,True,28
