,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,ra 1,ra 2,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,140,56,234,77,304,71,0,1,0,21.96,76.0,new,ra_feature_2h0,TA,2,2,67.26078987121582,50000,1e-05,20,0.1,13,True,-91.513954,0,-4.243739,-4.6691265,0.24672008,0.1880894,-0.475089,-1.5524733,3.4580643,2.3841858e-06,-2.2448967,-3.9480124,-2.9802322e-08,-2.639463,-3.961176
1,140,97,259,170,359,14,0,1,0,18.95,89.0,new,ra_feature_2h1,TA,2,2,132.53066325187683,100000,1e-05,20,0.1,13,True,-136.49408,1,-3.9273071,-5.0879545,0.25237226,0.8494313,-0.50723845,-3.1382136,3.9575663,3.33786e-06,-2.7557726,-3.4351645,0.0,-3.2879183,-3.978713
2,140,58,265,81,298,20,0,1,0,20.95,77.0,new,ra_feature_2h2,TA,2,2,197.63838601112366,150000,1e-05,20,0.1,13,True,-162.35,2,-2.740256,-1.9052514,-0.32937896,0.764005,-1.1406529,-2.554205,2.2376704,1.4305115e-06,-2.6780465,-3.1412487,-1.1920929e-07,-2.5868952,-3.5705125
3,140,57,272,79,294,124,0,1,0,27.92,63.0,new,ra_feature_2h3,TA,2,2,262.55892610549927,200000,1e-05,20,0.1,13,True,-180.34134,3,-1.0822183,-0.104495466,0.8960123,0.05270247,0.13841237,-0.22299242,0.35195872,1.4305115e-06,-3.3928645,-2.5041826,-1.8626451e-09,-0.1623159,-4.330215
4,144,101,341,177,347,15,0,1,74,15.01,67.0,new,ra_feature_2h4,TA,2,2,327.25575017929077,250000,1e-05,20,0.1,13,True,-197.15413,4,-0.10582355,0.80763805,0.84815294,-0.37634596,-0.01281952,0.12710023,-1.5458187,4.7683716e-07,-3.6202252,-2.059194,2.9802322e-08,0.34532762,-4.3280926
5,144,99,277,174,363,1,0,1,4,22.92,98.0,new,ra_feature_2h5,TA,2,2,391.7092983722687,300000,1e-05,20,0.1,13,True,-207.31607,5,-0.18484998,2.7522967,0.018125415,-1.0943052,-0.1701736,-0.39543134,-0.31876716,9.536743e-07,-4.236327,-3.6536627,5.9604645e-08,-0.7491821,-3.9486148
6,144,101,340,177,288,16,0,1,66,15.99,62.0,new,ra_feature_2h6,TA,2,2,456.311075925827,350000,1e-05,20,0.1,13,True,-202.01514,6,0.49122876,2.0530221,0.4705426,-2.5390708,0.23449038,-0.22280811,-2.275571,9.536743e-07,-5.4754944,-3.062911,0.0,1.2429339,-5.096731
7,102,54,231,74,275,15,0,1,82,10.91,45.0,new,ra_feature_2h7,TA,2,2,522.0924978256226,400000,1e-05,20,0.1,13,True,-197.55135,7,1.015697,2.3093019,-0.7113328,-1.0660387,-0.019425437,1.2691516,-1.4702628,2.3841858e-07,-3.4559555,-1.5728422,0.0,0.36806092,-3.854173
8,138,58,235,84,288,14,0,1,14,17.93,68.0,new,ra_feature_2h8,TA,2,2,586.3681840896606,450000,1e-05,20,0.1,13,True,-219.61726,8,-0.30844337,1.9303751,-0.6470594,-1.4735621,-1.534124,0.033014916,-1.3135403,7.1525574e-07,-4.0488544,-3.1039329,1.1920929e-07,-0.05800186,-4.1648655
9,144,99,344,174,345,127,0,1,57,35.93,52.0,new,ra_feature_2h9,TA,2,2,650.3867528438568,500000,1e-05,20,0.1,13,True,-206.52945,9,0.82975274,3.283049,0.7266021,-1.0770973,-0.10626517,-0.67008024,-0.7274045,7.1525574e-07,-3.8026066,-1.9356114,5.9604645e-08,0.018298313,-3.2714877
10,144,101,307,177,287,3,0,1,21,22.91,67.0,new,ra_feature_2h10,TA,2,2,714.5877532958984,550000,1e-05,20,0.1,13,True,-209.5256,10,0.9109961,2.4110098,-0.36914372,-0.75745004,-0.36157632,-0.22821839,-1.7075688,2.3841858e-07,-3.640679,-1.3008718,5.9604645e-08,-0.7216536,-3.2412782
11,144,99,343,174,352,1,0,1,56,18.96,82.0,new,ra_feature_2h11,TA,2,2,778.5946185588837,600000,1e-05,20,0.1,13,True,-213.97627,11,0.094645664,3.047348,0.44972825,-0.27916598,-0.3839996,-0.6057355,-0.6065638,4.7683716e-07,-3.4618409,-2.029046,7.450581e-09,0.68302625,-3.4943118
12,144,101,341,177,364,15,0,1,54,22.92,107.0,new,ra_feature_2h12,TA,2,2,842.7345271110535,650000,1e-05,20,0.1,13,True,-222.73875,12,0.02052093,2.5033667,-0.4054613,-0.8411912,-1.2982831,0.038474552,-2.8530207,7.1525574e-07,-4.5400505,-3.2150366,5.9604645e-08,0.18647972,-4.4189672
13,144,99,344,174,317,122,0,1,57,35.92,58.0,new,ra_feature_2h13,TA,2,2,906.7670087814331,700000,1e-05,20,0.1,13,True,-214.44856,13,0.35829446,2.898292,0.5331105,-1.1505612,-0.9964275,-0.022203017,-1.7574127,4.7683716e-07,-4.017004,-2.0760422,0.0,-0.6037992,-3.539702
14,144,101,343,177,346,124,0,1,64,27.92,53.0,new,ra_feature_2h14,TA,2,2,971.3203661441803,750000,1e-05,20,0.1,13,True,-204.61084,14,0.7233295,2.6723375,0.89836013,-1.0863876,-0.40866503,0.9193805,-1.283631,2.3841858e-07,-3.2849755,-1.2929263,0.0,0.12834853,-3.112393
15,144,101,343,177,396,15,0,1,56,23.94,108.0,new,ra_feature_2h15,TA,2,2,1035.7386672496796,800000,1e-05,20,0.1,13,True,-218.85187,15,0.33342302,3.3752923,0.40276146,-0.47383696,-0.88959795,-0.06910436,-3.0314999,7.1525574e-07,-4.8543224,-3.0806108,2.9802322e-08,0.5195578,-4.5891347
16,144,99,320,174,300,9,0,1,39,24.94,86.0,new,ra_feature_2h16,TA,2,2,1100.0546259880066,850000,1e-05,20,0.1,13,True,-219.00256,16,0.6031747,3.54361,0.13876832,-0.59092665,-0.40694693,0.799404,-2.982185,4.7683716e-07,-5.4339876,-3.9199195,5.9604645e-08,-0.020605147,-4.5519233
17,144,99,335,174,289,9,0,1,63,13.97,44.0,new,ra_feature_2h17,TA,2,2,1164.6583802700043,900000,1e-05,20,0.1,13,True,-205.99158,17,0.9043888,2.8838205,1.0580659,-0.30314386,-0.14397475,0.53485495,-2.7736552,0.0,-3.7164433,-1.3296896,2.9802322e-08,0.70933986,-3.4105349
18,144,99,333,174,305,8,0,1,75,18.89,69.0,new,ra_feature_2h18,TA,2,2,1229.285816192627,950000,1e-05,20,0.1,13,True,-211.7835,18,0.90281296,2.6255693,-0.5041976,0.35091448,-0.046328947,-0.20633018,-2.3560128,2.3841858e-07,-3.644228,-1.5338591,-2.9802322e-08,0.53125745,-3.8562813
19,144,101,337,177,293,9,0,1,62,23.93,68.0,new,ra_feature_2h19,TA,2,2,1293.6464564800262,1000000,1e-05,20,0.1,13,True,-217.31047,19,0.81945205,3.864467,-0.46258032,-0.573945,-0.93511504,0.50923854,-1.3221525,4.7683716e-07,-3.8846407,-3.1261168,0.0,-0.38925922,-4.007427
20,144,101,338,177,294,9,0,1,67,16.97,69.0,new,ra_feature_2h20,TA,2,2,1358.0108585357666,1050000,1e-05,20,0.1,13,True,-209.62683,20,0.9628782,2.5407445,-0.08451617,-0.6542623,-0.2737281,-0.10645999,-2.4040506,2.3841858e-07,-3.7550354,-1.2603946,0.0,0.47367275,-3.6184719
21,144,101,337,177,362,8,0,1,57,21.91,94.0,new,ra_feature_2h21,TA,2,2,1422.338014125824,1100000,1e-05,20,0.1,13,True,-219.7185,21,0.66948545,2.736597,-0.57765555,-0.23666365,-0.7642137,0.40128267,-3.2563722,2.3841858e-07,-4.093724,-2.1761928,2.9802322e-08,-0.48690897,-3.42326
22,144,99,341,174,381,126,0,1,62,29.89,61.0,new,ra_feature_2h22,TA,2,2,1486.4648113250732,1150000,1e-05,20,0.1,13,True,-212.84625,22,0.585125,3.58106,0.74414694,-0.18544275,-0.4725849,0.7797134,-1.5113026,0.0,-3.7889786,-2.2436996,2.9802322e-08,0.61355895,-3.596421
23,143,86,288,144,400,34,0,1,24,25.91,100.0,new,ra_feature_2h23,TA,2,2,1550.6525399684906,1200000,1e-05,20,0.1,13,True,-220.81421,23,0.08238745,2.3986816,-0.8286239,-0.5249424,-0.79305196,0.16238652,-2.0761702,7.1525574e-07,-4.454417,-3.4176414,0.0,1.0603665,-4.2745886
24,144,101,338,177,322,27,0,1,57,22.94,59.0,new,ra_feature_2h24,TA,2,2,1614.8373606204987,1250000,1e-05,20,0.1,13,True,-206.47179,24,2.075926,4.6171227,-0.18450761,-0.4696234,-0.52866185,-0.035206184,-0.947376,2.3841858e-07,-3.7444866,-2.1129575,2.9802322e-08,-0.5017248,-2.9552643
25,144,101,292,177,355,1,0,1,5,22.01,76.0,new,ra_feature_2h25,TA,2,2,1678.9575426578522,1300000,1e-05,20,0.1,13,True,-212.53296,25,1.0028337,4.1900506,-0.2267561,-0.3719203,-0.3962648,0.2239475,-0.9824997,0.0,-3.9575534,-2.7946672,2.9802322e-08,0.2283134,-3.237631
26,144,101,342,177,414,116,0,1,61,29.89,74.0,new,ra_feature_2h26,TA,2,2,1743.0081903934479,1350000,1e-05,20,0.1,13,True,-201.7853,26,1.184131,2.743617,0.6216694,-0.57753986,-0.6025215,0.06299882,-1.1551739,-5.9604645e-08,-2.5718153,-0.05848217,2.9802322e-08,-0.49193287,-1.7346479
27,140,92,290,157,377,97,0,1,23,29.0,89.0,new,ra_feature_2h27,TA,2,2,1807.1410565376282,1400000,1e-05,20,0.1,13,True,-211.99074,27,0.9506938,3.1314554,-0.2548945,-0.028344741,0.043338645,0.83462024,-1.0349461,2.3841858e-07,-4.165264,-2.4178581,0.0,0.6886761,-4.101967
28,142,96,255,161,303,8,0,1,4,19.91,75.0,new,ra_feature_2h28,TA,2,2,1871.4921679496765,1450000,1e-05,20,0.1,13,True,-193.4409,28,2.0916762,3.7475035,-0.9278151,-0.5989172,-0.06078103,2.0534894,-2.2582843,-3.5762787e-07,-4.095527,-2.233155,1.1920929e-07,-1.0716661,-2.4208193
29,139,52,259,69,330,73,0,1,0,29.93,84.0,new,ra_feature_2h29,TA,2,2,1935.8269386291504,1500000,1e-05,20,0.1,13,True,-217.69028,29,0.5048803,3.7453532,-0.33176792,0.14358634,-0.2756389,0.34209713,-1.0552335,2.3841858e-07,-4.086112,-3.1359162,-7.450581e-09,1.2348684,-3.7877893
30,144,99,334,174,358,9,0,1,63,13.97,66.0,new,ra_feature_2h30,TA,2,2,2000.1064848899841,1550000,1e-05,20,0.1,13,True,-211.03569,30,0.60220414,2.5227442,0.816692,-0.03242309,0.3184286,0.07162677,-2.518441,2.3841858e-07,-3.9180057,-1.7638624,2.3283064e-10,2.4836767,-3.8032765
31,144,50,333,65,282,6,0,1,55,16.97,55.0,new,ra_feature_2h31,TA,2,2,2064.654771089554,1600000,1e-05,20,0.1,13,True,-210.77756,31,1.1316152,2.624515,0.23066664,-0.4701443,-0.9647573,0.14264742,-2.3545263,-2.9802322e-08,-3.1385603,-0.3768791,2.9802322e-08,-0.38553405,-1.9672635
32,140,97,290,170,352,14,0,1,14,22.92,80.0,new,ra_feature_2h32,TA,2,2,2129.5454981327057,1650000,1e-05,20,0.1,13,True,-211.27518,32,1.0261846,3.1475139,-0.48011625,-0.38552862,0.24582577,0.42616618,-1.5646204,4.7683716e-07,-4.6007013,-2.963193,2.9802322e-08,0.1731222,-4.390743
33,144,99,340,174,338,110,0,1,57,32.91,60.0,new,ra_feature_2h33,TA,2,2,2194.2768092155457,1700000,1e-05,20,0.1,13,True,-213.50816,33,1.056415,3.2461,0.51754737,-0.4596935,-0.85537815,0.6177958,-1.7691379,1.1920929e-07,-3.6023116,-1.3532095,5.9604645e-08,0.17517176,-2.7804146
34,144,101,338,177,289,9,0,1,57,21.91,78.0,new,ra_feature_2h34,TA,2,2,2259.027527332306,1750000,1e-05,20,0.1,13,True,-211.72592,34,1.5382259,2.8915184,-0.5798029,-0.1598503,-0.7582316,1.0917367,-3.0863678,0.0,-4.5604687,-2.2128677,0.0,-0.5793534,-3.170979
35,144,101,340,177,381,124,0,1,61,30.92,80.0,new,ra_feature_2h35,TA,2,2,2323.7069153785706,1800000,1e-05,20,0.1,13,True,-206.7049,35,1.3070291,3.0511003,0.4747703,-1.026835,-0.23623106,1.2798756,-1.8125556,1.1920929e-07,-3.9914727,-1.7224023,0.0,-1.0891857,-3.2538295
36,144,101,327,177,349,72,0,1,43,32.93,81.0,new,ra_feature_2h36,TA,2,2,2388.585160255432,1850000,1e-05,20,0.1,13,True,-218.48746,36,0.33401078,2.525352,-0.1715287,-0.22291811,-1.4411168,1.8301321,-2.4658813,3.5762787e-07,-4.369009,-3.2332535,5.9604645e-08,-0.27944744,-4.296468
37,144,97,335,170,335,114,0,1,61,28.93,50.0,new,ra_feature_2h37,TA,2,2,2453.31280374527,1900000,1e-05,20,0.1,13,True,-202.70392,37,2.405146,4.0258923,-0.15553284,-0.47431418,-1.113616,0.8648411,-1.1491764,0.0,-3.6719317,-1.6413852,5.9604645e-08,-0.35638866,-2.5857515
38,144,101,338,177,372,16,0,1,66,15.98,85.0,new,ra_feature_2h38,TA,2,2,2518.2218885421753,1950000,1e-05,20,0.1,13,True,-202.2707,38,1.290668,2.6052172,0.7482016,0.06451075,0.19006397,1.4252756,-2.0971053,0.0,-4.2941933,-2.2627337,0.0,0.12018532,-3.993865
39,144,99,296,171,307,12,0,1,18,20.91,74.0,new,ra_feature_2h39,TA,2,2,2582.981337785721,2000000,1e-05,20,0.1,13,True,-213.33246,39,1.4247385,2.9228678,-0.857949,0.19182649,0.107031554,0.80695426,-2.1815808,-1.1920929e-07,-3.8570774,-2.095778,-7.450581e-09,-1.1811774,-2.5586896
40,140,104,264,181,297,8,0,1,0,19.91,72.0,new,ra_feature_2h40,TA,2,2,2647.87793302536,2050000,1e-05,20,0.1,13,True,-216.57394,40,0.5124443,2.674552,-0.4679892,0.4128133,-0.26392326,1.6008543,-1.6906198,2.3841858e-07,-4.492428,-2.9737916,-7.450581e-09,0.3026805,-4.186695
41,144,101,338,177,382,9,0,1,57,22.91,112.0,new,ra_feature_2h41,TA,2,2,2712.7936975955963,2100000,1e-05,20,0.1,13,True,-211.52972,41,0.9958686,3.068472,-0.5827515,0.046628036,-0.39480543,1.9805433,-2.447443,2.3841858e-07,-4.419805,-2.9825304,0.0,-0.44895118,-4.083533
42,143,97,335,170,315,1,0,1,54,20.9,70.0,new,ra_feature_2h42,TA,2,2,2777.455981731415,2150000,1e-05,20,0.1,13,True,-204.16258,42,2.3957558,2.9867454,-1.1074898,-1.1663445,-0.872893,0.52576095,-1.7085868,1.1920929e-07,-3.5139003,-0.96279657,0.0,-0.44376445,-2.125185
43,143,101,296,176,303,42,0,1,22,28.91,82.0,new,ra_feature_2h43,TA,2,2,2841.7885296344757,2200000,1e-05,20,0.1,13,True,-212.63516,43,1.0853689,3.0987978,-0.9454398,-0.5369682,-1.2218165,0.31242096,-1.8518608,2.3841858e-07,-3.6479876,-2.1537893,0.0,0.6438104,-3.1209722
44,144,101,338,177,288,9,0,1,57,22.92,74.0,new,ra_feature_2h44,TA,2,2,2906.3655660152435,2250000,1e-05,20,0.1,13,True,-209.83498,44,1.7496965,3.6399474,-0.61407685,-0.11949393,-1.070503,0.75705737,-3.1172469,-1.1920929e-07,-3.804202,-1.8536116,0.0,0.1932408,-3.1412973
45,144,97,341,168,313,129,0,1,61,32.9,65.0,new,ra_feature_2h45,TA,2,2,2970.9420421123505,2300000,1e-05,20,0.1,13,True,-198.71577,45,1.84722,3.5190916,0.9552119,-0.39110267,-0.020638097,0.60966897,-1.0030464,0.0,-4.292092,-1.9884719,5.9604645e-08,0.15820676,-2.89988
46,111,58,202,81,314,1,0,1,8,11.92,69.0,new,ra_feature_2h46,TA,2,2,3035.5164742469788,2350000,1e-05,20,0.1,13,True,-185.91689,46,3.625644,4.0000176,-0.52577364,-0.8197038,1.2634225,1.4416552,-1.0062243,-4.7683716e-07,-3.2261755,-0.6192479,1.1920929e-07,0.37484747,-0.4772358
47,144,101,338,177,313,9,0,1,57,26.91,90.0,new,ra_feature_2h47,TA,2,2,3100.131266593933,2400000,1e-05,20,0.1,13,True,-192.59418,47,0.6353786,2.203251,-0.054714084,0.25356042,0.7120583,3.0970118,-2.3429725,-2.3841858e-07,-4.3887215,-2.298686,0.0,0.606204,-4.207022
48,141,100,269,170,292,91,0,1,15,27.9,73.0,new,ra_feature_2h48,TA,2,2,3165.098840713501,2450000,1e-05,20,0.1,13,True,-202.17493,48,1.4211379,3.415855,-0.67264783,-0.39343575,-0.6364904,2.3030336,-0.9434333,-2.3841858e-07,-4.017695,-2.693286,0.0,0.66852546,-3.4759011
49,144,93,289,161,380,113,0,1,11,31.92,77.0,new,ra_feature_2h49,TA,2,2,3229.968073129654,2500000,1e-05,20,0.1,13,True,-201.99065,49,1.9936261,3.8512714,0.24052548,0.011720652,-0.34728554,0.4982422,-1.7809063,0.0,-4.334337,-1.967179,0.0,-0.121142186,-2.8183913
50,144,101,338,177,353,9,0,1,57,24.93,84.0,new,ra_feature_2h50,TA,2,2,3295.065784931183,2550000,1e-05,20,0.1,13,True,-206.43349,50,1.1655996,3.0082374,-0.14519286,0.942439,-0.303231,-0.04671537,-3.6753368,0.0,-4.6622357,-2.6965294,-5.9604645e-08,0.40958667,-3.4498172
51,144,100,340,173,284,1,0,1,57,18.95,78.0,new,ra_feature_2h51,TA,2,2,3360.2125051021576,2600000,1e-05,20,0.1,13,True,-200.50632,51,2.2529178,3.1931546,0.5789856,-0.69467604,-0.6642885,1.089004,-2.9663866,-1.1920929e-07,-4.519122,-1.7265147,5.9604645e-08,0.05140634,-2.3591018
52,144,58,266,82,314,97,0,1,10,25.92,63.0,new,ra_feature_2h52,TA,2,2,3425.5184984207153,2650000,1e-05,20,0.1,13,True,-192.87271,52,2.075219,3.4948094,0.14646268,-0.49193284,0.27199376,1.6069446,0.036596,-2.3841858e-07,-3.892541,-1.9830431,5.9604645e-08,-0.17233355,-2.4237533
53,143,100,294,173,307,76,0,1,16,31.92,69.0,new,ra_feature_2h53,TA,2,2,3490.74613571167,2700000,1e-05,20,0.1,13,True,-200.67973,53,1.5196644,2.936316,-0.2475518,-0.13469233,-0.07014847,1.0639603,-1.2575359,2.3841858e-07,-4.5116024,-2.1304855,0.0,0.661586,-3.4429805
