,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,29.0,4.0,0.0,1.0,2.0,10.49,2.0,False,new,mock,TA,1,1
1,19.0,17.0,23.0,21.0,30.0,4.0,0.0,1.0,2.0,10.48,0.0,False,new,mock,TA,1,2
2,21.0,19.0,26.0,24.0,30.0,4.0,0.0,1.0,2.0,10.48,0.0,False,new,mock,TA,1,3
3,23.0,21.0,29.0,27.0,31.0,3.0,0.0,1.0,2.0,10.48,3.0,False,new,mock,TA,1,4
4,25.0,23.0,32.0,30.0,31.0,1.0,0.0,1.0,2.0,10.48,1.0,False,new,mock,TA,1,5
5,27.0,25.0,35.0,33.0,30.0,6.0,0.0,1.0,2.0,10.96,0.0,False,new,mock,TA,1,6
6,29.0,27.0,38.0,36.0,34.0,5.0,0.0,1.0,2.0,10.96,4.0,False,new,mock,TA,1,7
7,31.0,29.0,41.0,39.0,34.0,5.0,0.0,1.0,2.0,10.96,2.0,False,new,mock,TA,1,8
8,33.0,31.0,44.0,42.0,36.0,5.0,0.0,1.0,2.0,10.96,2.0,False,new,mock,TA,1,9
9,33.0,33.0,45.0,45.0,34.0,6.0,0.0,1.0,0.0,10.96,3.0,False,new,mock,TA,1,10
10,37.0,35.0,50.0,48.0,33.0,4.0,0.0,1.0,2.0,10.96,3.0,False,new,mock,TA,1,11
11,39.0,37.0,53.0,51.0,36.0,5.0,0.0,1.0,2.0,10.96,5.0,False,new,mock,TA,1,12
12,41.0,39.0,56.0,54.0,37.0,7.0,0.0,1.0,2.0,10.97,4.0,False,new,mock,TA,1,13
13,43.0,41.0,59.0,57.0,34.0,5.0,0.0,1.0,2.0,10.96,4.0,False,new,mock,TA,1,14
14,45.0,43.0,62.0,60.0,41.0,6.0,0.0,1.0,2.0,10.97,4.0,False,new,mock,TA,1,15
15,119.0,83.0,229.0,140.0,98.0,65.0,0.0,1.0,19.0,20.48,13.0,False,new,mock,TA,2,1
16,140.0,77.0,272.0,126.0,81.0,86.0,0.0,1.0,17.0,22.96,9.0,False,new,mock,TA,2,2
17,159.0,82.0,322.0,131.0,92.0,86.0,0.0,1.0,24.0,27.92,11.0,False,new,mock,TA,2,3
18,171.0,60.0,325.0,79.0,82.0,64.0,0.0,1.0,16.0,23.44,13.0,False,new,mock,TA,2,4
19,199.0,149.0,411.0,279.0,113.0,85.0,0.0,1.0,29.0,13.12,19.0,False,new,mock,TA,2,5
20,217.0,161.0,452.0,306.0,116.0,109.0,0.0,1.0,27.0,17.15,18.0,False,new,mock,TA,2,6
21,238.0,134.0,484.0,239.0,118.0,86.0,0.0,1.0,25.0,18.18,8.0,False,new,mock,TA,2,7
22,258.0,137.0,524.0,223.0,150.0,103.0,0.0,1.0,25.0,23.29,26.0,False,new,mock,TA,2,8
23,277.0,186.0,577.0,335.0,164.0,105.0,0.0,1.0,25.0,33.34,22.0,False,new,mock,TA,2,9
24,296.0,225.0,617.0,442.0,137.0,93.0,0.0,1.0,30.0,31.28,12.0,False,new,mock,TA,2,10
25,319.0,199.0,669.0,339.0,199.0,96.0,0.0,1.0,26.0,35.51,32.0,False,new,mock,TA,2,11
