,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,16.0,15.0,19.0,18.0,221.0,3.0,0.0,1.0,1.0,14.0,15.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,215.0,3.0,0.0,1.0,2.0,14.0,17.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,2
2,20.0,19.0,25.0,24.0,217.0,3.0,0.0,1.0,1.0,14.0,18.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,3
3,22.0,21.0,28.0,27.0,214.0,4.0,0.0,1.0,1.0,14.99,19.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,4
4,24.0,23.0,31.0,30.0,235.0,4.0,0.0,1.0,1.0,14.99,16.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,5
5,26.0,25.0,34.0,33.0,202.0,4.0,0.0,1.0,1.0,14.96,23.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,6
6,28.0,27.0,37.0,36.0,224.0,4.0,0.0,1.0,1.0,15.47,21.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,7
7,30.0,29.0,40.0,39.0,236.0,4.0,0.0,1.0,1.0,15.47,22.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,8
8,32.0,31.0,43.0,42.0,205.0,4.0,0.0,1.0,1.0,15.98,23.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,9
9,34.0,33.0,46.0,45.0,226.0,4.0,0.0,1.0,1.0,15.98,27.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,10
10,36.0,35.0,49.0,48.0,231.0,4.0,0.0,1.0,1.0,15.98,28.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,11
11,38.0,37.0,52.0,51.0,235.0,4.0,0.0,1.0,1.0,16.0,32.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,12
12,40.0,39.0,55.0,54.0,243.0,4.0,0.0,1.0,1.0,16.0,44.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,13
13,42.0,41.0,58.0,57.0,233.0,4.0,0.0,1.0,1.0,16.0,31.0,True,new,experiments/results/TA_2_2/visits/38.onnx,TA,1,14
