,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,215.0,4.0,0.0,1.0,2.0,14.0,16.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,1
1,18.0,17.0,22.0,21.0,212.0,4.0,0.0,1.0,1.0,14.48,17.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,2
2,20.0,19.0,25.0,24.0,194.0,5.0,0.0,1.0,1.0,14.99,18.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,3
3,22.0,21.0,28.0,27.0,199.0,6.0,0.0,1.0,1.0,14.99,18.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,4
4,24.0,23.0,31.0,30.0,217.0,7.0,0.0,1.0,1.0,14.99,18.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,5
5,26.0,25.0,34.0,33.0,218.0,4.0,0.0,1.0,1.0,14.48,20.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,6
6,28.0,27.0,37.0,36.0,220.0,4.0,0.0,1.0,1.0,14.99,18.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,206.0,4.0,0.0,1.0,2.0,15.47,23.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,8
8,32.0,31.0,43.0,42.0,225.0,4.0,0.0,1.0,1.0,15.98,28.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,9
9,34.0,33.0,46.0,45.0,225.0,4.0,0.0,1.0,1.0,15.98,27.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,10
10,36.0,35.0,49.0,48.0,232.0,4.0,0.0,1.0,1.0,15.98,25.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,230.0,4.0,0.0,1.0,2.0,16.0,26.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,230.0,4.0,0.0,1.0,2.0,16.0,28.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,243.0,4.0,0.0,1.0,2.0,16.0,39.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,235.0,4.0,0.0,1.0,2.0,16.0,36.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,1,15
15,107.0,41.0,175.0,50.0,307.0,54.0,0.0,1.0,11.0,20.96,79.0,True,new,experiments/results/TA_2_2/visits6432/15.onnx,TA,2,1
