,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,1085,417,3413,875,2055,1249,0,1,318,162.48,13.0,new,mock,TA,3,3,0
1,1087,393,3333,813,2221,1211,0,1,411,181.88,9.0,new,mock,TA,3,3,1
2,1091,522,3498,1212,2299,1376,0,1,388,69.48,14.0,new,mock,TA,3,3,2
3,1090,536,3499,1236,2381,1357,0,1,333,33.98,15.0,new,mock,TA,3,3,3
4,1086,541,3455,1257,2131,1231,0,1,371,164.45,18.0,new,mock,TA,3,3,4
5,1091,436,3451,958,2348,1252,0,1,338,182.91,17.0,new,mock,TA,3,3,5
6,1090,487,3500,1096,2410,1345,0,1,390,114.54,22.0,new,mock,TA,3,3,6
7,1086,519,3479,1199,2223,1165,0,1,358,189.23,13.0,new,mock,TA,3,3,7
8,1083,524,3432,1204,2261,1301,0,1,332,31.77,19.0,new,mock,TA,3,3,8
9,1088,407,3474,876,2189,1333,0,1,257,35.56,17.0,new,mock,TA,3,3,9
10,1089,496,3486,1112,2090,1304,0,1,299,13.96,19.0,new,mock,TA,3,3,10
11,1087,449,3390,984,2121,1203,0,1,348,27.78,11.0,new,mock,TA,3,3,11
12,1082,535,3423,1236,2206,1275,0,1,355,188.11,13.0,new,mock,TA,3,3,12
13,1091,536,3462,1236,2164,1250,0,1,421,150.58,16.0,new,mock,TA,3,3,13
14,1083,225,3275,377,1717,1119,0,1,300,121.75,11.0,new,mock,TA,3,3,14
15,1091,532,3509,1230,2277,1290,0,1,481,220.85,11.0,new,mock,TA,3,3,15
16,1089,538,3477,1241,2236,1299,0,1,366,52.55,12.0,new,mock,TA,3,3,16
17,1085,460,3395,1019,2130,1243,0,1,369,84.62,10.0,new,mock,TA,3,3,17
18,1080,531,3442,1228,2279,1423,0,1,376,54.44,15.0,new,mock,TA,3,3,18
19,1089,524,3520,1215,2403,1288,0,1,339,83.75,11.0,new,mock,TA,3,3,19
