,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,91.0,492,229,2,2,TL,11,1.2705776691436768,2000,1e-05,20,0.1,-0.31622496,0,-0.62888074,0.46085218,0.3896232,-1.5933594,0.063346565,0.0,-0.16006714,-0.27660736,0.0,0.12313774,-2.5691416
1,140967.0,21645,7789,3,3,TL,11,1.2705776691436768,2000,1e-05,20,0.1,-0.31622496,0,-0.62888074,0.46085218,0.3896232,-1.5933594,0.063346565,0.0,-0.16006714,-0.27660736,0.0,0.12313774,-2.5691416
2,5.0,66,41,2,2,TL,11,6.655603885650635,12000,1e-05,20,0.1,-7.39915,5,-1.1231169,-0.4418984,-1.548509,-0.5839278,0.12046878,2.3841858e-07,-0.12709595,-0.35283613,0.0,-0.31891984,-2.1365223
3,143.0,244,155,3,3,TL,11,6.655603885650635,12000,1e-05,20,0.1,-7.39915,5,-1.1231169,-0.4418984,-1.548509,-0.5839278,0.12046878,2.3841858e-07,-0.12709595,-0.35283613,0.0,-0.31891984,-2.1365223
4,72.0,539,261,2,2,TL,11,12.763675451278687,22000,1e-05,20,0.1,-31.00607,10,-1.235423,-0.6183467,-2.412465,-0.72893804,-0.39913243,2.3841858e-07,-1.3327045,-1.5641205,0.0,-1.2699786,-2.1387587
5,229824.0,31139,12301,3,3,TL,11,12.763675451278687,22000,1e-05,20,0.1,-31.00607,10,-1.235423,-0.6183467,-2.412465,-0.72893804,-0.39913243,2.3841858e-07,-1.3327045,-1.5641205,0.0,-1.2699786,-2.1387587
6,111.0,460,271,2,2,TL,11,19.273884296417236,32000,1e-05,20,0.1,-60.436317,15,-0.8391701,-0.95385164,-2.420572,-0.48190847,-0.65063226,4.7683716e-07,-3.3926198,-2.328132,0.0,-2.9112089,-3.0389678
7,81123.0,11754,7783,3,3,TL,11,19.273884296417236,32000,1e-05,20,0.1,-60.436317,15,-0.8391701,-0.95385164,-2.420572,-0.48190847,-0.65063226,4.7683716e-07,-3.3926198,-2.328132,0.0,-2.9112089,-3.0389678
8,34.0,163,114,2,2,TL,11,25.475421667099,42000,1e-05,20,0.1,-66.50651,20,0.24071543,-1.5088423,-1.0698625,-0.24893022,0.680161,-5.9604645e-08,-5.34693,-3.5503502,0.0,-4.676977,-3.829264
9,923783.0,38061,24207,3,3,TL,11,25.475421667099,42000,1e-05,20,0.1,-66.50651,20,0.24071543,-1.5088423,-1.0698625,-0.24893022,0.680161,-5.9604645e-08,-5.34693,-3.5503502,0.0,-4.676977,-3.829264
