,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,8.0,7.0,9.0,8.0,199.0,2.0,0.0,1.0,1.0,17.7,19.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,1
1,8.0,7.0,9.0,8.0,159.0,2.0,0.0,1.0,0.0,19.7,17.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,2
2,8.0,7.0,9.0,8.0,164.0,2.0,0.0,1.0,0.0,19.23,15.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,3
3,8.0,7.0,9.0,8.0,185.0,2.0,0.0,1.0,0.0,19.7,15.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,4
4,8.0,7.0,9.0,8.0,186.0,2.0,0.0,1.0,0.0,19.7,16.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,5
5,8.0,7.0,9.0,8.0,163.0,2.0,0.0,1.0,0.0,19.23,14.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,6
6,8.0,7.0,9.0,8.0,164.0,2.0,0.0,1.0,0.0,19.7,20.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,7
7,8.0,7.0,9.0,8.0,190.0,2.0,0.0,1.0,0.0,19.73,21.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,8
8,8.0,7.0,9.0,8.0,164.0,2.0,0.0,1.0,0.0,19.73,18.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,9
9,8.0,7.0,9.0,8.0,199.0,2.0,0.0,1.0,0.0,20.21,13.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,10
10,8.0,7.0,9.0,8.0,181.0,2.0,0.0,1.0,0.0,18.73,15.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,11
11,8.0,7.0,9.0,8.0,180.0,2.0,0.0,1.0,0.0,20.21,13.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,12
12,8.0,7.0,9.0,8.0,183.0,2.0,0.0,1.0,0.0,19.7,13.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,13
13,8.0,7.0,9.0,8.0,194.0,2.0,0.0,1.0,0.0,20.24,22.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,14
14,8.0,7.0,9.0,8.0,231.0,2.0,0.0,1.0,0.0,20.24,16.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,1,15
15,15.0,9.0,16.0,10.0,213.0,2.0,0.0,1.0,1.0,20.18,30.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,1
16,9.0,9.0,10.0,10.0,184.0,2.0,0.0,1.0,0.0,20.18,27.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,2
17,9.0,9.0,10.0,10.0,169.0,2.0,0.0,1.0,0.0,20.18,25.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,3
18,9.0,9.0,10.0,10.0,176.0,2.0,0.0,1.0,0.0,19.7,24.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,4
19,9.0,9.0,10.0,10.0,219.0,2.0,0.0,1.0,0.0,20.21,22.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,5
20,9.0,9.0,10.0,10.0,191.0,2.0,0.0,1.0,0.0,20.21,22.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,6
21,9.0,9.0,10.0,10.0,198.0,2.0,0.0,1.0,0.0,20.18,21.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,7
22,9.0,9.0,10.0,10.0,174.0,2.0,0.0,1.0,0.0,20.21,23.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,8
23,9.0,9.0,10.0,10.0,192.0,2.0,0.0,1.0,0.0,19.73,27.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,9
24,9.0,9.0,10.0,10.0,191.0,2.0,0.0,1.0,0.0,20.18,22.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,10
25,9.0,9.0,10.0,10.0,175.0,2.0,0.0,1.0,0.0,20.69,25.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,11
26,9.0,9.0,10.0,10.0,175.0,2.0,0.0,1.0,0.0,20.72,25.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,12
27,9.0,9.0,10.0,10.0,191.0,2.0,0.0,1.0,0.0,20.72,26.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,13
28,9.0,9.0,10.0,10.0,193.0,2.0,0.0,1.0,0.0,21.7,29.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,14
29,9.0,9.0,10.0,10.0,197.0,2.0,0.0,1.0,0.0,22.18,20.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,2,15
30,40.0,11.0,48.0,12.0,219.0,5.0,0.0,1.0,9.0,21.65,53.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,1
31,12.0,11.0,13.0,12.0,197.0,2.0,0.0,1.0,0.0,20.21,34.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,2
32,12.0,11.0,13.0,12.0,181.0,2.0,0.0,1.0,0.0,20.18,32.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,3
33,12.0,11.0,13.0,12.0,211.0,2.0,0.0,1.0,0.0,20.69,33.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,4
34,12.0,11.0,13.0,12.0,200.0,2.0,0.0,1.0,0.0,20.21,35.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,5
35,12.0,11.0,13.0,12.0,204.0,2.0,0.0,1.0,0.0,20.69,34.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,6
36,12.0,11.0,13.0,12.0,210.0,2.0,0.0,1.0,0.0,20.69,27.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,7
37,12.0,11.0,13.0,12.0,205.0,2.0,0.0,1.0,0.0,20.69,33.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,8
38,12.0,11.0,13.0,12.0,193.0,2.0,0.0,1.0,0.0,20.72,37.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,9
39,12.0,11.0,13.0,12.0,204.0,2.0,0.0,1.0,0.0,21.7,31.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,10
40,12.0,11.0,13.0,12.0,189.0,2.0,0.0,1.0,0.0,21.7,32.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,11
41,12.0,11.0,13.0,12.0,189.0,2.0,0.0,1.0,0.0,22.18,34.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,12
42,12.0,11.0,13.0,12.0,193.0,2.0,0.0,1.0,0.0,22.24,35.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,13
43,12.0,11.0,13.0,12.0,209.0,2.0,0.0,1.0,0.0,23.2,36.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,14
44,12.0,11.0,13.0,12.0,247.0,2.0,0.0,1.0,0.0,23.2,33.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,3,15
45,40.0,17.0,46.0,18.0,213.0,2.0,0.0,1.0,12.0,21.62,61.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,1
46,15.0,13.0,16.0,14.0,192.0,2.0,0.0,1.0,0.0,20.69,43.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,2
47,15.0,13.0,16.0,14.0,305.0,2.0,0.0,1.0,0.0,20.69,42.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,3
48,15.0,13.0,16.0,14.0,232.0,2.0,0.0,1.0,0.0,21.68,49.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,4
49,15.0,13.0,16.0,14.0,227.0,2.0,0.0,1.0,0.0,21.2,50.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,5
50,15.0,13.0,16.0,14.0,211.0,2.0,0.0,1.0,0.0,21.68,49.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,6
51,15.0,13.0,16.0,14.0,211.0,2.0,0.0,1.0,0.0,22.18,60.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,7
52,15.0,13.0,16.0,14.0,198.0,2.0,0.0,1.0,0.0,22.18,43.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,8
53,15.0,13.0,16.0,14.0,220.0,2.0,0.0,1.0,0.0,22.69,59.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,9
54,15.0,13.0,16.0,14.0,221.0,2.0,0.0,1.0,0.0,23.17,46.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,10
55,15.0,13.0,16.0,14.0,243.0,2.0,0.0,1.0,0.0,23.17,48.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,11
56,15.0,13.0,16.0,14.0,206.0,2.0,0.0,1.0,0.0,23.2,45.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,12
57,15.0,13.0,16.0,14.0,228.0,2.0,0.0,1.0,0.0,23.7,46.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,13
58,15.0,13.0,16.0,14.0,212.0,2.0,0.0,1.0,0.0,24.18,49.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,14
59,15.0,13.0,16.0,14.0,242.0,2.0,0.0,1.0,0.0,25.17,53.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,4,15
60,172.0,49.0,225.0,66.0,405.0,7.0,0.0,1.0,72.0,22.2,196.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,1
61,505.0,15.0,681.0,16.0,884.0,9.0,0.0,1.0,90.0,63.2,667.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,2
62,18.0,15.0,19.0,16.0,247.0,2.0,0.0,1.0,0.0,21.65,69.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,3
63,18.0,15.0,19.0,16.0,244.0,2.0,0.0,1.0,0.0,22.66,66.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,4
64,18.0,15.0,19.0,16.0,249.0,2.0,0.0,1.0,0.0,22.66,66.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,5
65,18.0,15.0,19.0,16.0,218.0,2.0,0.0,1.0,0.0,22.66,60.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,6
66,18.0,15.0,19.0,16.0,236.0,2.0,0.0,1.0,0.0,23.17,65.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,7
67,18.0,15.0,19.0,16.0,217.0,2.0,0.0,1.0,0.0,23.14,61.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,8
68,18.0,15.0,19.0,16.0,222.0,2.0,0.0,1.0,0.0,24.18,64.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,9
69,18.0,15.0,19.0,16.0,269.0,2.0,0.0,1.0,0.0,24.66,61.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,10
70,18.0,15.0,19.0,16.0,268.0,2.0,0.0,1.0,0.0,24.66,81.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,11
71,18.0,15.0,19.0,16.0,231.0,2.0,0.0,1.0,0.0,25.65,61.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,12
72,18.0,15.0,19.0,16.0,248.0,2.0,0.0,1.0,0.0,26.18,58.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,13
73,18.0,15.0,19.0,16.0,265.0,2.0,0.0,1.0,0.0,26.18,73.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,14
74,18.0,15.0,19.0,16.0,264.0,2.0,0.0,1.0,0.0,26.66,64.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,5,15
75,275.0,60.0,385.0,83.0,557.0,18.0,0.0,1.0,96.0,38.17,365.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,6,1
76,654.0,17.0,913.0,18.0,1312.0,13.0,0.0,1.0,104.0,102.15,1092.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,6,2
77,2925.0,36.0,3579.0,40.0,4510.0,19.0,0.0,1.0,167.0,107.84,4152.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,6,3
78,11924.0,30.0,14513.0,34.0,48592.0,105.0,0.0,1.0,400.0,88.05,46819.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,6,4
79,,,,,,,,,,,,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,6,5
80,609.0,121.0,897.0,187.0,1014.0,31.0,0.0,1.0,207.0,103.12,741.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,7,1
81,799.0,45.0,1107.0,63.0,1537.0,30.0,0.0,1.0,146.0,18.1,1245.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,7,2
82,625.0,19.0,830.0,20.0,1407.0,16.0,0.0,1.0,28.0,133.22,1106.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,7,3
83,11751.0,37.0,13737.0,46.0,51335.0,39.0,0.0,1.0,265.0,120.54,50450.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,7,4
84,1916.0,37.0,3094.0,47.0,2486.0,10.0,0.0,1.0,795.0,61.7,1853.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,8,1
85,735.0,51.0,1057.0,71.0,1822.0,26.0,0.0,1.0,108.0,47.5,1590.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,8,2
86,6049.0,70.0,8360.0,79.0,16222.0,33.0,0.0,1.0,191.0,147.08,15580.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,8,3
87,12958.0,39.0,14736.0,46.0,65801.0,17.0,0.0,1.0,264.0,236.97,64860.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,8,4
88,4041.0,78.0,6922.0,125.0,7238.0,2.0,0.0,1.0,1632.0,211.95,4581.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,9,1
89,691.0,50.0,1001.0,67.0,1994.0,15.0,0.0,1.0,113.0,79.97,1754.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,9,2
90,245.0,31.0,364.0,33.0,978.0,9.0,0.0,2.0,1.0,89.23,800.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,9,3
91,2760.0,23.0,3559.0,24.0,6695.0,6.0,0.0,1.0,96.0,176.89,6364.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,9,4
92,15200.0,96.0,28235.0,158.0,60551.0,3.0,0.0,1.0,7579.0,246.42,29880.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,10,1
93,719.0,52.0,1068.0,71.0,1996.0,12.0,0.0,1.0,108.0,145.63,1748.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,10,2
94,18228.0,111.0,27711.0,124.0,152883.0,82.0,0.0,1.0,612.0,255.36,146587.0,new,experiments/results/TL_2_2/5mill_JE20/65.onnx,TL,10,3
