,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,12.0,7.0,14.0,8.0,143.0,2.0,0.0,1.0,3.0,16.75,13.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,1,0
1,25.0,7.0,41.0,8.0,181.0,9.0,0.0,1.0,6.0,19.17,26.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,2,0
2,48.0,10.0,82.0,12.0,207.0,18.0,0.0,1.0,9.0,20.18,62.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,3,0
3,75.0,14.0,140.0,18.0,224.0,24.0,0.0,1.0,17.0,22.18,70.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,4,0
4,108.0,19.0,214.0,26.0,258.0,38.0,0.0,1.0,26.0,24.66,97.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,5,0
5,147.0,25.0,304.0,36.0,283.0,53.0,0.0,1.0,37.0,29.62,112.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,6,0
6,192.0,32.0,410.0,48.0,358.0,72.0,0.0,1.0,50.0,23.13,158.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,7,0
7,243.0,40.0,532.0,62.0,473.0,95.0,0.0,1.0,65.0,32.25,208.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,8,0
8,301.0,59.0,681.0,96.0,542.0,122.0,0.0,1.0,85.0,47.27,258.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,9,0
9,365.0,70.0,830.0,116.0,593.0,152.0,0.0,1.0,106.0,62.35,279.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,10,0
10,434.0,82.0,1000.0,138.0,723.0,182.0,0.0,1.0,127.0,84.45,380.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,11,0
11,509.0,95.0,1186.0,162.0,930.0,208.0,0.0,1.0,151.0,143.48,370.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,12,0
12,590.0,109.0,1388.0,188.0,1063.0,241.0,0.0,1.0,176.0,58.47,353.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,13,0
13,677.0,124.0,1606.0,216.0,1187.0,273.0,0.0,1.0,203.0,126.55,462.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,14,0
14,770.0,140.0,1840.0,246.0,1341.0,313.0,0.0,1.0,232.0,69.0,490.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,1,15,0
15,23.0,9.0,28.0,10.0,155.0,2.0,0.0,1.0,8.0,19.2,19.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,2,1,0
16,172.0,19.0,339.0,25.0,291.0,51.0,0.0,1.0,91.0,29.14,123.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,2,2,0
17,598.0,37.0,1364.0,58.0,788.0,263.0,0.0,1.0,310.0,112.33,363.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,2,3,0
18,1480.0,72.0,3813.0,127.0,2125.0,643.0,0.0,1.0,828.0,22.98,1022.0,True,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,2,4,0
19,,,,,,,,,,,,False,new,experiments/results/TL_2_2/5mill_JE_NORA/0.onnx,TL,2,5,0
