,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,6595,3115,17221,9585,167558,4835,0,788,1602,330.48,130937.0,new,experiments/results/TL_2_2/5mill_L/0.onnx,TL,3,3,2.261866569519043,0,1e-05,20,0.1,20,True,10000,True,10000,True,True,0
1,5177,247,10797,543,67204,764,0,276,1777,280.05,63107.0,new,experiments/results/TL_2_2/5mill_L/5.onnx,TL,3,3,465.25832653045654,250000,1e-05,20,0.1,20,True,10000,True,10000,True,True,5
2,13,11,14,12,169,2,0,1,0,17.14,11.0,new,experiments/results/TL_2_2/5mill_L/10.onnx,TL,3,3,896.3165826797485,500000,1e-05,20,0.1,20,True,10000,True,10000,True,True,10
3,12,11,13,12,154,2,0,1,0,17.14,14.0,new,experiments/results/TL_2_2/5mill_L/15.onnx,TL,3,3,1331.5914764404297,750000,1e-05,20,0.1,20,True,10000,True,10000,True,True,15
4,13,11,14,12,173,2,0,1,0,17.14,13.0,new,experiments/results/TL_2_2/5mill_L/20.onnx,TL,3,3,1766.430542230606,1000000,1e-05,20,0.1,20,True,10000,True,10000,True,True,20
5,12,11,13,12,157,2,0,1,0,17.14,12.0,new,experiments/results/TL_2_2/5mill_L/25.onnx,TL,3,3,2206.536370754242,1250000,1e-05,20,0.1,20,True,10000,True,10000,True,True,25
6,6772,18,9640,22,120777,210,0,39,1202,676.11,118612.0,new,experiments/results/TL_2_2/5mill_L/30.onnx,TL,3,3,2648.5672373771667,1500000,1e-05,20,0.1,20,True,10000,True,10000,True,True,30
7,42,41,62,61,184,3,0,16,1,20.66,33.0,new,experiments/results/TL_2_2/5mill_L/35.onnx,TL,3,3,3087.2335443496704,1750000,1e-05,20,0.1,20,True,10000,True,10000,True,True,35
8,2474,111,3556,149,11436,37,0,399,275,575.94,10821.0,new,experiments/results/TL_2_2/5mill_L/40.onnx,TL,3,3,3525.821101665497,2000000,1e-05,20,0.1,20,True,10000,True,10000,True,True,40
9,5763,539,8235,1069,68083,131,0,788,985,414.81,66975.0,new,experiments/results/TL_2_2/5mill_L/45.onnx,TL,3,3,3955.254096031189,2250000,1e-05,20,0.1,20,True,10000,True,10000,True,True,45
10,4287,504,7345,937,46247,148,0,414,563,34.36,45147.0,new,experiments/results/TL_2_2/5mill_L/50.onnx,TL,3,3,4387.1886422634125,2500000,1e-05,20,0.1,20,True,10000,True,10000,True,True,50
11,5289,691,8324,1294,57758,105,0,1018,929,131.09,56717.0,new,experiments/results/TL_2_2/5mill_L/55.onnx,TL,3,3,4819.322015047073,2750000,1e-05,20,0.1,20,True,10000,True,10000,True,True,55
12,126,24,184,28,399,45,0,1,1,42.61,147.0,new,experiments/results/TL_2_2/5mill_L/60.onnx,TL,3,3,5260.027772903442,3000000,1e-05,20,0.1,20,True,10000,True,10000,True,True,60
13,7263,156,11463,227,106100,53,0,1228,1577,699.95,104582.0,new,experiments/results/TL_2_2/5mill_L/65.onnx,TL,3,3,5698.592323064804,3250000,1e-05,20,0.1,20,True,10000,True,10000,True,True,65
14,7326,371,10952,577,106874,80,0,881,1573,385.94,105427.0,new,experiments/results/TL_2_2/5mill_L/70.onnx,TL,3,3,6137.665904521942,3500000,1e-05,20,0.1,20,True,10000,True,10000,True,True,70
15,1124,35,1473,48,3551,47,0,9,156,104.75,3046.0,new,experiments/results/TL_2_2/5mill_L/75.onnx,TL,3,3,6574.0195960998535,3750000,1e-05,20,0.1,20,True,10000,True,10000,True,True,75
16,600,70,829,98,1200,52,0,32,33,77.16,886.0,new,experiments/results/TL_2_2/5mill_L/80.onnx,TL,3,3,7017.6115934848785,4000000,1e-05,20,0.1,20,True,10000,True,10000,True,True,80
17,6987,322,11189,519,115905,298,0,201,1589,162.46,113634.0,new,experiments/results/TL_2_2/5mill_L/85.onnx,TL,3,3,7456.715153694153,4250000,1e-05,20,0.1,20,True,10000,True,10000,True,True,85
18,75,11,108,12,275,11,0,1,1,9.62,67.0,new,experiments/results/TL_2_2/5mill_L/90.onnx,TL,3,3,7896.364848852158,4500000,1e-05,20,0.1,20,True,10000,True,10000,True,True,90
19,1631,77,2304,98,6357,33,0,174,170,494.92,5861.0,new,experiments/results/TL_2_2/5mill_L/95.onnx,TL,3,3,8342.574879646301,4750000,1e-05,20,0.1,20,True,10000,True,10000,True,True,95
20,11,11,12,12,138,2,0,1,0,17.14,8.0,new,experiments/results/TL_2_2/5mill_L/100.onnx,TL,3,3,8778.38329911232,5000000,1e-05,20,0.1,20,True,10000,True,10000,True,True,100
