,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,10.0,7.0,11.0,8.0,135.0,2.0,0.0,1.0,2.0,15.63,5.0,new,e,TL,1,1
1,14.0,9.0,17.0,10.0,114.0,4.0,0.0,1.0,2.0,15.62,8.0,new,e,TL,1,2
2,18.0,11.0,23.0,12.0,120.0,6.0,0.0,1.0,2.0,15.63,9.0,new,e,TL,1,3
3,23.0,13.0,31.0,14.0,121.0,8.0,0.0,1.0,2.0,16.18,12.0,new,e,TL,1,4
4,29.0,10.0,46.0,12.0,148.0,14.0,0.0,1.0,1.0,16.66,15.0,new,e,TL,1,5
5,29.0,10.0,46.0,12.0,128.0,14.0,0.0,1.0,1.0,16.66,17.0,new,e,TL,1,6
6,29.0,10.0,46.0,12.0,128.0,14.0,0.0,1.0,1.0,16.66,16.0,new,e,TL,1,7
7,29.0,10.0,46.0,12.0,129.0,14.0,0.0,1.0,1.0,16.66,18.0,new,e,TL,1,8
8,29.0,10.0,46.0,12.0,125.0,14.0,0.0,1.0,1.0,16.66,16.0,new,e,TL,1,9
9,29.0,10.0,46.0,12.0,126.0,14.0,0.0,1.0,1.0,16.66,16.0,new,e,TL,1,10
10,29.0,10.0,46.0,12.0,126.0,14.0,0.0,1.0,1.0,16.66,13.0,new,e,TL,1,11
11,29.0,10.0,46.0,12.0,144.0,14.0,0.0,1.0,1.0,16.66,16.0,new,e,TL,1,12
12,29.0,10.0,46.0,12.0,126.0,14.0,0.0,1.0,1.0,16.66,11.0,new,e,TL,1,13
13,29.0,10.0,46.0,12.0,146.0,14.0,0.0,1.0,1.0,16.66,15.0,new,e,TL,1,14
14,29.0,10.0,46.0,12.0,164.0,14.0,0.0,1.0,1.0,16.66,14.0,new,e,TL,1,15
15,22.0,9.0,26.0,10.0,119.0,3.0,0.0,1.0,9.0,15.62,9.0,new,e,TL,2,1
16,76.0,27.0,128.0,43.0,155.0,25.0,0.0,1.0,24.0,21.14,37.0,new,e,TL,2,2
17,51.0,26.0,80.0,38.0,142.0,18.0,0.0,1.0,11.0,18.66,20.0,new,e,TL,2,3
