,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,10.0,5.0,10.0,5.0,8.0,1.0,0.0,1.0,2.0,14.66,0.0,Open+BFS,r,TL,1,1
1,12.0,5.0,13.0,5.0,10.0,1.0,0.0,1.0,3.0,14.66,0.0,Open+BFS,r,TL,1,2
2,15.0,5.0,17.0,5.0,9.0,1.0,0.0,1.0,4.0,14.66,1.0,Open+BFS,r,TL,1,3
3,18.0,5.0,21.0,5.0,9.0,1.0,0.0,1.0,5.0,14.66,0.0,Open+BFS,r,TL,1,4
4,21.0,5.0,25.0,5.0,10.0,1.0,0.0,1.0,6.0,14.66,0.0,Open+BFS,r,TL,1,5
5,24.0,5.0,29.0,5.0,11.0,1.0,0.0,1.0,7.0,14.66,1.0,Open+BFS,r,TL,1,6
6,27.0,5.0,33.0,5.0,11.0,1.0,0.0,1.0,8.0,14.66,0.0,Open+BFS,r,TL,1,7
7,30.0,5.0,37.0,5.0,11.0,1.0,0.0,1.0,9.0,15.14,0.0,Open+BFS,r,TL,1,8
8,33.0,5.0,41.0,5.0,17.0,1.0,0.0,1.0,10.0,15.14,0.0,Open+BFS,r,TL,1,9
9,36.0,5.0,45.0,5.0,13.0,1.0,0.0,1.0,11.0,15.14,1.0,Open+BFS,r,TL,1,10
10,39.0,5.0,49.0,5.0,13.0,1.0,0.0,1.0,12.0,15.14,0.0,Open+BFS,r,TL,1,11
11,42.0,5.0,53.0,5.0,15.0,1.0,0.0,1.0,13.0,15.14,0.0,Open+BFS,r,TL,1,12
12,45.0,5.0,57.0,5.0,20.0,1.0,0.0,1.0,14.0,15.14,0.0,Open+BFS,r,TL,1,13
13,48.0,5.0,61.0,5.0,18.0,1.0,0.0,1.0,15.0,15.14,1.0,Open+BFS,r,TL,1,14
14,51.0,5.0,65.0,5.0,15.0,1.0,0.0,1.0,16.0,15.62,1.0,Open+BFS,r,TL,1,15
15,28.0,7.0,31.0,7.0,12.0,1.0,0.0,1.0,14.0,14.66,0.0,Open+BFS,r,TL,2,1
16,42.0,7.0,50.0,7.0,14.0,1.0,0.0,1.0,19.0,15.14,0.0,Open+BFS,r,TL,2,2
