,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,algorithm,heuristic,problem,n,k
0,8,7,9,8,17,2,0,1,1,15.15,5.0,false,OpenSet RA,r,TL,1,1
1,7,7,8,8,17,2,0,1,0,15.15,6.0,false,OpenSet RA,r,TL,1,2
2,7,7,8,8,19,2,0,1,0,15.15,4.0,false,OpenSet RA,r,TL,1,3
3,7,7,8,8,17,2,0,1,0,15.15,4.0,false,OpenSet RA,r,TL,1,4
4,7,7,8,8,18,2,0,1,0,15.19,4.0,false,OpenSet RA,r,TL,1,5
5,7,7,8,8,19,2,0,1,0,15.17,6.0,false,OpenSet RA,r,TL,1,6
6,7,7,8,8,22,2,0,1,0,15.67,4.0,false,OpenSet RA,r,TL,1,7
7,7,7,8,8,21,2,0,1,0,15.63,4.0,false,OpenSet RA,r,TL,1,8
8,7,7,8,8,28,2,0,1,0,15.69,5.0,false,OpenSet RA,r,TL,1,9
9,7,7,8,8,22,2,0,1,0,15.65,5.0,false,OpenSet RA,r,TL,1,10
10,7,7,8,8,23,2,0,1,0,15.69,6.0,false,OpenSet RA,r,TL,1,11
11,7,7,8,8,29,2,0,1,0,15.69,5.0,false,OpenSet RA,r,TL,1,12
12,7,7,8,8,23,2,0,1,0,16.18,4.0,false,OpenSet RA,r,TL,1,13
13,7,7,8,8,25,2,0,1,0,16.18,2.0,false,OpenSet RA,r,TL,1,14
14,7,7,8,8,32,2,0,1,0,16.18,4.0,false,OpenSet RA,r,TL,1,15
15,15,9,17,10,24,2,0,1,3,15.64,11.0,false,OpenSet RA,r,TL,2,1
16,9,9,10,10,22,2,0,1,0,15.66,9.0,false,OpenSet RA,r,TL,2,2
17,9,9,10,10,22,2,0,1,0,15.64,9.0,false,OpenSet RA,r,TL,2,3
18,9,9,10,10,33,2,0,1,0,15.65,10.0,false,OpenSet RA,r,TL,2,4
19,9,9,10,10,24,2,0,1,0,15.64,8.0,false,OpenSet RA,r,TL,2,5
20,9,9,10,10,29,2,0,1,0,15.7,9.0,false,OpenSet RA,r,TL,2,6
21,9,9,10,10,32,2,0,1,0,16.18,9.0,false,OpenSet RA,r,TL,2,7
22,9,9,10,10,27,2,0,1,0,16.18,8.0,false,OpenSet RA,r,TL,2,8
23,9,9,10,10,37,2,0,1,0,16.18,13.0,false,OpenSet RA,r,TL,2,9
24,9,9,10,10,27,2,0,1,0,16.23,6.0,false,OpenSet RA,r,TL,2,10
25,9,9,10,10,31,2,0,1,0,16.66,7.0,false,OpenSet RA,r,TL,2,11
26,9,9,10,10,39,2,0,1,0,16.66,12.0,false,OpenSet RA,r,TL,2,12
27,9,9,10,10,40,2,0,1,0,17.14,10.0,false,OpenSet RA,r,TL,2,13
28,9,9,10,10,44,2,0,1,0,17.14,10.0,false,OpenSet RA,r,TL,2,14
29,9,9,10,10,45,2,0,1,0,17.62,12.0,false,OpenSet RA,r,TL,2,15
30,17,11,19,12,40,2,0,1,3,15.7,23.0,false,OpenSet RA,r,TL,3,1
