,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,178.0,31.0,295.0,48.0,214.0,4.0,0.0,1.0,87.0,13.45,81.0,new,base_features0,TL,2,2,11.115195512771606,10000,1e-06,20,0.1,11,False,0.55214596,0,1.4765764,-0.045449033,-1.6547989,-0.47623494,0.13762307,2.3841858e-07,1.130215,-0.05712685,5.9604645e-08,-1.1517764,-0.2444001
1,9827.0,721.0,22047.0,1778.0,146932.0,4.0,0.0,1.0,6868.0,433.9,140822.0,new,base_features0,TL,3,3,11.115195512771606,10000,1e-06,20,0.1,11,False,0.55214596,0,1.4765764,-0.045449033,-1.6547989,-0.47623494,0.13762307,2.3841858e-07,1.130215,-0.05712685,5.9604645e-08,-1.1517764,-0.2444001
2,167.0,22.0,254.0,31.0,246.0,4.0,0.0,1.0,83.0,11.42,112.0,new,base_features1,TL,2,2,21.85392999649048,20000,1e-06,20,0.1,11,False,0.26424053,1,1.2078544,-0.092771955,-1.8752184,-0.7318628,0.10226004,3.5762787e-07,1.151893,-0.09703914,2.9802322e-08,-1.4089514,-0.5528382
3,3730.0,43.0,7411.0,52.0,19939.0,326.0,0.0,1.0,2354.0,226.82,18926.0,new,base_features1,TL,3,3,21.85392999649048,20000,1e-06,20,0.1,11,False,0.26424053,1,1.2078544,-0.092771955,-1.8752184,-0.7318628,0.10226004,3.5762787e-07,1.151893,-0.09703914,2.9802322e-08,-1.4089514,-0.5528382
4,108.0,16.0,165.0,21.0,201.0,15.0,0.0,1.0,52.0,22.66,54.0,new,base_features2,TL,2,2,31.858042240142822,30000,1e-06,20,0.1,11,False,-0.073533475,2,0.86761254,-0.18217914,-2.014557,-0.95010996,0.06475516,3.5762787e-07,1.1259079,-0.14495239,0.0,-1.6393291,-0.8595539
5,149.0,11.0,202.0,12.0,199.0,5.0,0.0,1.0,95.0,26.18,52.0,new,base_features2,TL,3,3,31.858042240142822,30000,1e-06,20,0.1,11,False,-0.073533475,2,0.86761254,-0.18217914,-2.014557,-0.95010996,0.06475516,3.5762787e-07,1.1259079,-0.14495239,0.0,-1.6393291,-0.8595539
6,174.0,19.0,300.0,25.0,218.0,28.0,0.0,1.0,90.0,13.44,81.0,new,base_features3,TL,2,2,41.66427516937256,40000,1e-06,20,0.1,11,False,-0.47821426,3,0.4936381,-0.31289968,-2.0575953,-1.0877668,0.02900371,0.0,1.0678862,-0.19119236,-2.9802322e-08,-1.7957432,-1.1165818
7,199.0,11.0,281.0,12.0,239.0,5.0,0.0,1.0,128.0,9.52,80.0,new,base_features3,TL,3,3,41.66427516937256,40000,1e-06,20,0.1,11,False,-0.47821426,3,0.4936381,-0.31289968,-2.0575953,-1.0877668,0.02900371,0.0,1.0678862,-0.19119236,-2.9802322e-08,-1.7957432,-1.1165818
8,58.0,9.0,85.0,10.0,156.0,5.0,0.0,1.0,30.0,17.14,16.0,new,base_features4,TL,2,2,51.54637813568115,50000,1e-06,20,0.1,11,False,-0.9594059,4,0.15051372,-0.4250591,-2.0448205,-1.1410079,-0.0047301054,2.3841858e-07,0.9736803,-0.2312032,-5.9604645e-08,-1.8676186,-1.2957515
9,194.0,11.0,275.0,12.0,255.0,5.0,0.0,1.0,124.0,8.52,96.0,new,base_features4,TL,3,3,51.54637813568115,50000,1e-06,20,0.1,11,False,-0.9594059,4,0.15051372,-0.4250591,-2.0448205,-1.1410079,-0.0047301054,2.3841858e-07,0.9736803,-0.2312032,-5.9604645e-08,-1.8676186,-1.2957515
10,70.0,9.0,112.0,10.0,169.0,10.0,0.0,1.0,38.0,18.18,29.0,new,base_features5,TL,2,2,61.497655630111694,60000,1e-06,20,0.1,11,False,-1.5368477,5,-0.15657051,-0.50973886,-1.9969107,-1.1282538,-0.030205727,2.3841858e-07,0.86133784,-0.27180374,-5.9604645e-08,-1.8764338,-1.4171768
11,189.0,11.0,267.0,12.0,224.0,6.0,0.0,1.0,117.0,10.5,70.0,new,base_features5,TL,3,3,61.497655630111694,60000,1e-06,20,0.1,11,False,-1.5368477,5,-0.15657051,-0.50973886,-1.9969107,-1.1282538,-0.030205727,2.3841858e-07,0.86133784,-0.27180374,-5.9604645e-08,-1.8764338,-1.4171768
12,67.0,9.0,103.0,10.0,141.0,11.0,0.0,1.0,31.0,18.18,27.0,new,base_features6,TL,2,2,71.31561541557312,70000,1e-06,20,0.1,11,False,-2.2252982,6,-0.39560002,-0.56644,-1.9445987,-1.0790538,-0.05434525,0.0,0.74021846,-0.31612152,-1.1920929e-07,-1.8512143,-1.4968979
13,534.0,24.0,904.0,37.0,546.0,55.0,0.0,1.0,320.0,140.48,306.0,new,base_features6,TL,3,3,71.31561541557312,70000,1e-06,20,0.1,11,False,-2.2252982,6,-0.39560002,-0.56644,-1.9445987,-1.0790538,-0.05434525,0.0,0.74021846,-0.31612152,-1.1920929e-07,-1.8512143,-1.4968979
14,124.0,18.0,226.0,28.0,182.0,31.0,0.0,1.0,61.0,27.63,45.0,new,base_features7,TL,2,2,81.46987009048462,80000,1e-06,20,0.1,11,False,-3.0656817,7,-0.5834931,-0.5972937,-1.8974458,-1.0118444,-0.075320184,2.3841858e-07,0.61738765,-0.36749402,-1.1920929e-07,-1.8087751,-1.5558572
15,193.0,24.0,309.0,37.0,271.0,21.0,0.0,1.0,96.0,25.44,116.0,new,base_features7,TL,3,3,81.46987009048462,80000,1e-06,20,0.1,11,False,-3.0656817,7,-0.5834931,-0.5972937,-1.8974458,-1.0118444,-0.075320184,2.3841858e-07,0.61738765,-0.36749402,-1.1920929e-07,-1.8087751,-1.5558572
16,95.0,18.0,173.0,28.0,166.0,33.0,0.0,1.0,49.0,23.62,37.0,new,base_features8,TL,2,2,91.77567839622498,90000,1e-06,20,0.1,11,False,-4.089952,8,-0.72685146,-0.59827584,-1.8753526,-0.94641453,-0.09228405,2.3841858e-07,0.4945566,-0.42147547,-1.1920929e-07,-1.7691023,-1.5959858
17,89.0,20.0,138.0,27.0,198.0,7.0,0.0,1.0,45.0,23.14,58.0,new,base_features8,TL,3,3,91.77567839622498,90000,1e-06,20,0.1,11,False,-4.089952,8,-0.72685146,-0.59827584,-1.8753526,-0.94641453,-0.09228405,2.3841858e-07,0.4945566,-0.42147547,-1.1920929e-07,-1.7691023,-1.5959858
18,109.0,18.0,192.0,28.0,174.0,38.0,0.0,1.0,47.0,26.18,48.0,new,base_features9,TL,2,2,101.9942557811737,100000,1e-06,20,0.1,11,False,-5.3264174,9,-0.8362329,-0.5922118,-1.8740844,-0.89633596,-0.11284199,0.0,0.37612706,-0.4781749,-1.1920929e-07,-1.7413982,-1.6231563
19,161.0,24.0,278.0,37.0,252.0,34.0,0.0,1.0,89.0,23.45,89.0,new,base_features9,TL,3,3,101.9942557811737,100000,1e-06,20,0.1,11,False,-5.3264174,9,-0.8362329,-0.5922118,-1.8740844,-0.89633596,-0.11284199,0.0,0.37612706,-0.4781749,-1.1920929e-07,-1.7413982,-1.6231563
20,60.0,18.0,102.0,28.0,174.0,12.0,0.0,1.0,37.0,18.18,25.0,new,base_features10,TL,2,2,112.26937770843506,110000,1e-06,20,0.1,11,False,-6.808838,10,-0.9170213,-0.5881396,-1.892617,-0.85300016,-0.13361177,-1.1920929e-07,0.26047075,-0.535236,-1.1920929e-07,-1.7221131,-1.6456779
21,133.0,37.0,224.0,59.0,241.0,12.0,0.0,1.0,72.0,12.43,91.0,new,base_features10,TL,3,3,112.26937770843506,110000,1e-06,20,0.1,11,False,-6.808838,10,-0.9170213,-0.5881396,-1.892617,-0.85300016,-0.13361177,-1.1920929e-07,0.26047075,-0.535236,-1.1920929e-07,-1.7221131,-1.6456779
22,69.0,18.0,116.0,28.0,159.0,17.0,0.0,1.0,37.0,19.62,43.0,new,base_features11,TL,2,2,122.6790680885315,120000,1e-06,20,0.1,11,False,-8.531605,11,-0.9877273,-0.58952594,-1.9264894,-0.82755023,-0.15927872,0.0,0.14307758,-0.6025285,-1.1920929e-07,-1.714539,-1.6578356
23,6245.0,33.0,13742.0,53.0,67759.0,103.0,0.0,1.0,3326.0,430.51,61102.0,new,base_features11,TL,3,3,122.6790680885315,120000,1e-06,20,0.1,11,False,-8.531605,11,-0.9877273,-0.58952594,-1.9264894,-0.82755023,-0.15927872,0.0,0.14307758,-0.6025285,-1.1920929e-07,-1.714539,-1.6578356
24,274.0,61.0,593.0,126.0,338.0,60.0,0.0,1.0,206.0,42.46,168.0,new,base_features12,TL,2,2,133.23292589187622,130000,1e-06,20,0.1,11,False,-10.520054,12,-1.0432265,-0.59076023,-1.9683292,-0.80947244,-0.19176865,-1.1920929e-07,0.02430597,-0.6737438,-1.1920929e-07,-1.7170403,-1.6701621
25,7027.0,62.0,15189.0,110.0,78652.0,129.0,0.0,8.0,4276.0,427.96,74924.0,new,base_features12,TL,3,3,133.23292589187622,130000,1e-06,20,0.1,11,False,-10.520054,12,-1.0432265,-0.59076023,-1.9683292,-0.80947244,-0.19176865,-1.1920929e-07,0.02430597,-0.6737438,-1.1920929e-07,-1.7170403,-1.6701621
