,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx
0,62.95289349555969,50000,1e-05,20,0.1,12,False,-161.72502,0
1,122.59763526916504,100000,1e-05,20,0.1,12,False,-136.71492,1
2,182.0414764881134,150000,1e-05,20,0.1,12,False,-108.58144,2
3,243.95220184326172,200000,1e-05,20,0.1,12,False,-121.95607,3
4,305.35150623321533,250000,1e-05,20,0.1,12,False,-74.49098,4
5,358.9032380580902,300000,1e-05,20,0.1,12,False,-1.5424666,5
6,419.81424140930176,350000,1e-05,20,0.1,12,False,-0.6643271,6
7,479.7131726741791,400000,1e-05,20,0.1,12,False,-58.417107,7
8,537.7578828334808,450000,1e-05,20,0.1,12,False,-21.63358,8
9,594.0017235279083,500000,1e-05,20,0.1,12,False,-25.251902,9
10,653.2090427875519,550000,1e-05,20,0.1,12,False,-37.63001,10
11,708.5667126178741,600000,1e-05,20,0.1,12,False,-39.173138,11
12,766.3778653144836,650000,1e-05,20,0.1,12,False,-64.98076,12
13,822.8010859489441,700000,1e-05,20,0.1,12,False,-57.63089,13
14,877.6485104560852,750000,1e-05,20,0.1,12,False,-68.11425,14
15,933.6861929893494,800000,1e-05,20,0.1,12,False,-69.25122,15
16,989.0723297595978,850000,1e-05,20,0.1,12,False,-72.12839,16
17,1044.8712089061737,900000,1e-05,20,0.1,12,False,-42.15699,17
18,1102.2077956199646,950000,1e-05,20,0.1,12,False,-44.570694,18
19,1158.07350897789,1000000,1e-05,20,0.1,12,False,-39.016922,19
20,1215.1902749538422,1050000,1e-05,20,0.1,12,False,-44.42815,20
21,1271.2366485595703,1100000,1e-05,20,0.1,12,False,-29.4496,21
22,1328.7631497383118,1150000,1e-05,20,0.1,12,False,-34.87397,22
23,1384.3194239139557,1200000,1e-05,20,0.1,12,False,-47.838123,23
24,1440.640998840332,1250000,1e-05,20,0.1,12,False,-14.519116,24
25,1497.4409682750702,1300000,1e-05,20,0.1,12,False,-44.12971,25
26,1552.408420085907,1350000,1e-05,20,0.1,12,False,-22.80584,26
27,1609.9629685878754,1400000,1e-05,20,0.1,12,False,-26.905333,27
28,1665.6846344470978,1450000,1e-05,20,0.1,12,False,-19.950726,28
29,1723.8585245609283,1500000,1e-05,20,0.1,12,False,-23.624653,29
30,1780.9640996456146,1550000,1e-05,20,0.1,12,False,-20.285961,30
31,1837.046349287033,1600000,1e-05,20,0.1,12,False,-21.811827,31
32,1893.7749614715576,1650000,1e-05,20,0.1,12,False,-20.516085,32
33,1952.585039138794,1700000,1e-05,20,0.1,12,False,-22.885084,33
34,2007.921059370041,1750000,1e-05,20,0.1,12,False,-19.269598,34
35,2065.9811885356903,1800000,1e-05,20,0.1,12,False,-23.748724,35
36,2123.7664551734924,1850000,1e-05,20,0.1,12,False,-23.334368,36
37,2179.9051530361176,1900000,1e-05,20,0.1,12,False,-25.35512,37
38,2237.8436884880066,1950000,1e-05,20,0.1,12,False,-20.47772,38
39,2294.0621626377106,2000000,1e-05,20,0.1,12,False,-26.38607,39
40,2350.1234228610992,2050000,1e-05,20,0.1,12,False,-22.433086,40
41,2408.6674246788025,2100000,1e-05,20,0.1,12,False,-18.923775,41
42,2464.6202545166016,2150000,1e-05,20,0.1,12,False,-20.147995,42
43,2521.5813212394714,2200000,1e-05,20,0.1,12,False,-19.466635,43
44,2593.238549232483,2250000,1e-05,20,0.1,12,False,-22.572292,44
45,2658.7516288757324,2300000,1e-05,20,0.1,12,False,-22.31682,45
46,2721.218948841095,2350000,1e-05,20,0.1,12,False,-22.751436,46
47,2782.4415559768677,2400000,1e-05,20,0.1,12,False,-21.770224,47
48,2839.5413646698,2450000,1e-05,20,0.1,12,False,-20.394886,48
49,2908.367802143097,2500000,1e-05,20,0.1,12,False,-19.20998,49
50,2966.378198623657,2550000,1e-05,20,0.1,12,False,-24.266998,50
51,3022.2848126888275,2600000,1e-05,20,0.1,12,False,-23.561075,51
52,3081.6076078414917,2650000,1e-05,20,0.1,12,False,-23.741734,52
53,3140.779152393341,2700000,1e-05,20,0.1,12,False,-22.116983,53
54,3203.256453037262,2750000,1e-05,20,0.1,12,False,-20.764004,54
55,3268.023642063141,2800000,1e-05,20,0.1,12,False,-23.737537,55
56,3327.608115196228,2850000,1e-05,20,0.1,12,False,-23.379725,56
57,3382.316585302353,2900000,1e-05,20,0.1,12,False,-20.73231,57
58,3443.7804656028748,2950000,1e-05,20,0.1,12,False,-22.89107,58
59,3507.958265066147,3000000,1e-05,20,0.1,12,False,-26.654856,59
60,3572.5260107517242,3050000,1e-05,20,0.1,12,False,-20.901993,60
61,3635.25927734375,3100000,1e-05,20,0.1,12,False,-20.766548,61
62,3694.857011318207,3150000,1e-05,20,0.1,12,False,-22.704636,62
63,3750.4548196792603,3200000,1e-05,20,0.1,12,False,-27.716152,63
64,3806.1330995559692,3250000,1e-05,20,0.1,12,False,-26.955051,64
65,3864.237838745117,3300000,1e-05,20,0.1,12,False,-20.092463,65
66,3931.987679719925,3350000,1e-05,20,0.1,12,False,-21.258347,66
67,3996.4934256076813,3400000,1e-05,20,0.1,12,False,-26.653872,67
68,4052.5343141555786,3450000,1e-05,20,0.1,12,False,-26.298925,68
69,4112.777801513672,3500000,1e-05,20,0.1,12,False,-24.539083,69
70,4168.766646385193,3550000,1e-05,20,0.1,12,False,-26.32233,70
71,4223.786920547485,3600000,1e-05,20,0.1,12,False,-21.212679,71
72,4283.054420471191,3650000,1e-05,20,0.1,12,False,-26.911034,72
73,4342.021641254425,3700000,1e-05,20,0.1,12,False,-24.982851,73
74,4403.367780685425,3750000,1e-05,20,0.1,12,False,-22.569063,74
75,4495.1067769527435,3800000,1e-05,20,0.1,12,False,-25.741491,75
76,4557.584282398224,3850000,1e-05,20,0.1,12,False,-22.764603,76
77,4612.267304897308,3900000,1e-05,20,0.1,12,False,-21.66326,77
78,4673.56333398819,3950000,1e-05,20,0.1,12,False,-21.748537,78
79,4743.407020568848,4000000,1e-05,20,0.1,12,False,-26.192348,79
80,4797.269750356674,4050000,1e-05,20,0.1,12,False,-19.870117,80
81,4856.561977386475,4100000,1e-05,20,0.1,12,False,-22.906002,81
82,4913.4148008823395,4150000,1e-05,20,0.1,12,False,-18.714573,82
83,4973.776026725769,4200000,1e-05,20,0.1,12,False,-24.02,83
84,5039.5008709430695,4250000,1e-05,20,0.1,12,False,-17.877203,84
85,5104.454414606094,4300000,1e-05,20,0.1,12,False,-20.697886,85
86,5159.742698669434,4350000,1e-05,20,0.1,12,False,-22.56616,86
87,5215.984342336655,4400000,1e-05,20,0.1,12,False,-18.557222,87
88,5275.731975078583,4450000,1e-05,20,0.1,12,False,-18.680933,88
89,5347.7502381801605,4500000,1e-05,20,0.1,12,False,-17.474901,89
90,5403.628582715988,4550000,1e-05,20,0.1,12,False,-19.401058,90
91,5464.36819767952,4600000,1e-05,20,0.1,12,False,-15.901154,91
92,5524.656135082245,4650000,1e-05,20,0.1,12,False,-19.023783,92
93,5589.129685878754,4700000,1e-05,20,0.1,12,False,-21.94276,93
94,5649.0350975990295,4750000,1e-05,20,0.1,12,False,-17.526474,94
95,5702.729894161224,4800000,1e-05,20,0.1,12,False,-17.229883,95
96,5763.459683418274,4850000,1e-05,20,0.1,12,False,-15.042374,96
97,5823.536409378052,4900000,1e-05,20,0.1,12,False,-19.112617,97
98,5885.358480215073,4950000,1e-05,20,0.1,12,False,-17.470198,98
99,5948.515273094177,5000000,1e-05,20,0.1,12,False,-17.660282,99
100,6006.215359210968,5050000,1e-05,20,0.1,12,False,-12.135701,100
101,6065.918684720993,5100000,1e-05,20,0.1,12,False,-13.881321,101
102,6126.681978225708,5150000,1e-05,20,0.1,12,False,-15.8995905,102
103,6186.807384252548,5200000,1e-05,20,0.1,12,False,-17.836128,103
104,6245.582606315613,5250000,1e-05,20,0.1,12,False,-18.053566,104
105,6306.025894165039,5300000,1e-05,20,0.1,12,False,-17.923155,105
106,6366.684963941574,5350000,1e-05,20,0.1,12,False,-15.897445,106
107,6426.279685974121,5400000,1e-05,20,0.1,12,False,-18.323372,107
108,6485.968747377396,5450000,1e-05,20,0.1,12,False,-15.600396,108
109,6546.775812149048,5500000,1e-05,20,0.1,12,False,-14.257552,109
110,6606.500534534454,5550000,1e-05,20,0.1,12,False,-17.164879,110
111,6664.834725141525,5600000,1e-05,20,0.1,12,False,-14.09447,111
112,6724.98711848259,5650000,1e-05,20,0.1,12,False,-16.43528,112
113,6785.34871172905,5700000,1e-05,20,0.1,12,False,-15.465696,113
114,6845.860791921616,5750000,1e-05,20,0.1,12,False,-16.530422,114
115,6906.695860385895,5800000,1e-05,20,0.1,12,False,-18.332327,115
116,6963.611348628998,5850000,1e-05,20,0.1,12,False,-17.877462,116
117,7022.49907541275,5900000,1e-05,20,0.1,12,False,-18.982565,117
118,7083.179707288742,5950000,1e-05,20,0.1,12,False,-21.619234,118
119,7142.648172616959,6000000,1e-05,20,0.1,12,False,-18.711973,119
