,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,8,7,9,8,173,2,0,1,1,17.7,13.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,1,0.05202312138728324
1,8,7,9,8,168,2,0,1,0,19.7,14.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,2,0.05357142857142857
2,8,7,9,8,170,2,0,1,0,19.7,15.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,3,0.052941176470588235
3,8,7,9,8,170,2,0,1,0,19.7,15.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,4,0.052941176470588235
4,8,7,9,8,169,2,0,1,0,19.7,15.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,5,0.05325443786982249
5,11,9,12,10,170,2,0,1,1,19.7,18.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,1,0.07058823529411765
6,11,9,12,10,170,2,0,1,0,19.7,17.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,2,0.07058823529411765
7,11,9,12,10,176,2,0,1,0,20.18,14.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,3,0.06818181818181818
8,11,9,12,10,172,2,0,1,0,20.18,17.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,4,0.06976744186046512
9,11,9,12,10,176,2,0,1,0,20.18,20.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,5,0.06818181818181818
10,14,11,15,12,171,2,0,1,1,20.18,17.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,1,0.08771929824561403
11,14,11,15,12,176,2,0,1,0,20.18,21.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,2,0.08522727272727272
12,14,11,15,12,175,2,0,1,0,20.18,22.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,3,0.08571428571428572
13,14,11,15,12,173,2,0,1,0,20.21,20.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,4,0.08670520231213873
14,14,11,15,12,173,2,0,1,0,19.7,19.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,5,0.08670520231213873
15,17,13,18,14,175,2,0,1,1,20.18,21.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,1,0.10285714285714286
16,17,13,18,14,181,2,0,1,0,20.18,24.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,2,0.09944751381215469
17,17,13,18,14,174,2,0,1,0,20.21,20.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,3,0.10344827586206896
18,17,13,18,14,183,2,0,1,0,20.21,24.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,4,0.09836065573770492
19,17,13,18,14,177,2,0,1,0,20.21,21.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,5,0.1016949152542373
20,20,15,21,16,177,2,0,1,1,20.21,22.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,1,0.11864406779661017
21,20,15,21,16,179,2,0,1,0,20.21,27.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,2,0.11731843575418995
22,20,15,21,16,184,2,0,1,0,20.21,24.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,3,0.11413043478260869
23,20,15,21,16,183,2,0,1,0,20.18,27.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,4,0.11475409836065574
24,20,15,21,16,183,2,0,1,0,20.69,27.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,5,0.11475409836065574
