,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,8,7,9,8,184,2,0,1,1,13.02,17.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,1,0.04891304347826087
1,8,7,9,8,180,2,0,1,0,15.02,17.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,2,0.05
2,8,7,9,8,173,2,0,1,0,15.02,14.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,3,0.05202312138728324
3,8,7,9,8,173,2,0,1,0,15.02,15.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,4,0.05202312138728324
4,8,7,9,8,173,2,0,1,0,15.02,15.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,5,0.05202312138728324
5,8,7,9,8,184,2,0,1,0,15.02,16.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,6,0.04891304347826087
6,8,7,9,8,179,2,0,1,0,15.02,16.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,7,0.05027932960893855
7,8,7,9,8,179,2,0,1,0,15.02,18.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,8,0.05027932960893855
8,8,7,9,8,189,2,0,1,0,15.02,23.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,9,0.047619047619047616
9,8,7,9,8,181,2,0,1,0,15.02,24.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,10,0.049723756906077346
10,8,7,9,8,176,2,0,1,0,15.02,18.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,11,0.05113636363636364
11,8,7,9,8,181,2,0,1,0,15.02,14.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,12,0.049723756906077346
12,8,7,9,8,177,2,0,1,0,15.02,16.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,13,0.05084745762711865
13,8,7,9,8,176,2,0,1,0,15.02,16.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,14,0.05113636363636364
14,8,7,9,8,177,2,0,1,0,14.51,16.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,1,15,0.05084745762711865
15,11,9,12,10,180,2,0,1,1,15.02,20.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,1,0.06666666666666667
16,11,9,12,10,182,2,0,1,0,15.02,21.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,2,0.06593406593406594
17,11,9,12,10,178,2,0,1,0,15.02,17.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,3,0.06741573033707865
18,11,9,12,10,189,2,0,1,0,15.02,21.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,4,0.06349206349206349
19,11,9,12,10,180,2,0,1,0,15.02,23.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,5,0.06666666666666667
20,11,9,12,10,181,2,0,1,0,15.5,23.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,6,0.06629834254143646
21,11,9,12,10,179,2,0,1,0,15.5,19.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,7,0.0670391061452514
22,11,9,12,10,181,2,0,1,0,15.5,22.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,8,0.06629834254143646
23,11,9,12,10,177,2,0,1,0,15.5,19.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,9,0.06779661016949153
24,11,9,12,10,183,2,0,1,0,15.5,20.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,10,0.06557377049180328
25,11,9,12,10,184,2,0,1,0,15.53,23.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,11,0.06521739130434782
26,11,9,12,10,181,2,0,1,0,15.53,20.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,12,0.06629834254143646
27,11,9,12,10,185,2,0,1,0,16.0,19.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,13,0.06486486486486487
28,11,9,12,10,203,2,0,1,0,16.0,39.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,14,0.059113300492610835
29,11,9,12,10,187,2,0,1,0,16.0,19.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,2,15,0.06417112299465241
30,14,11,15,12,182,2,0,1,1,15.02,20.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,3,1,0.08241758241758242
31,14,11,15,12,192,2,0,1,0,15.5,28.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,3,2,0.078125
32,14,11,15,12,188,2,0,1,0,15.5,22.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,3,3,0.0797872340425532
33,14,11,15,12,182,2,0,1,0,15.5,20.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,3,4,0.08241758241758242
34,14,11,15,12,182,2,0,1,0,15.5,22.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,3,5,0.08241758241758242
35,14,11,15,12,184,2,0,1,0,15.5,21.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,3,6,0.08152173913043478
36,14,11,15,12,187,2,0,1,0,15.53,19.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,3,7,0.08021390374331551
37,14,11,15,12,181,2,0,1,0,15.53,23.0,false,False,new,experiments/results/TL_2_2/boolean_3/99.onnx,TL,3,8,0.08287292817679558
