,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,10.0,7.0,13.0,8.0,182.0,2.0,0.0,1.0,4.0,13.53,18.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,1,0
1,23.0,10.0,41.0,12.0,194.0,7.0,0.0,1.0,8.0,16.0,33.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,2,0
2,35.0,10.0,57.0,12.0,214.0,9.0,0.0,1.0,5.0,16.48,45.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,3,0
3,42.0,10.0,68.0,12.0,217.0,10.0,0.0,1.0,4.0,16.48,52.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,4,0
4,52.0,10.0,82.0,12.0,235.0,9.0,0.0,1.0,5.0,16.48,65.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,5,0
5,72.0,10.0,102.0,12.0,236.0,2.0,0.0,1.0,11.0,16.96,72.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,6,0
6,93.0,10.0,133.0,12.0,262.0,2.0,0.0,1.0,15.0,17.44,94.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,7,0
7,117.0,10.0,169.0,12.0,275.0,2.0,0.0,1.0,19.0,18.0,104.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,8,0
8,145.0,10.0,211.0,12.0,292.0,2.0,0.0,1.0,24.0,18.96,124.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,9,0
9,176.0,10.0,258.0,12.0,318.0,2.0,0.0,1.0,29.0,19.92,136.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,10,0
10,211.0,10.0,311.0,12.0,333.0,2.0,0.0,1.0,35.0,21.92,148.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,11,0
11,249.0,10.0,369.0,12.0,359.0,2.0,0.0,1.0,41.0,24.48,171.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,12,0
12,291.0,10.0,433.0,12.0,391.0,2.0,0.0,1.0,48.0,28.0,195.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,13,0
13,338.0,10.0,503.0,12.0,408.0,2.0,0.0,1.0,50.0,17.07,201.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,14,0
14,399.0,10.0,590.0,12.0,439.0,2.0,0.0,1.0,39.0,20.05,238.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,1,15,0
15,33.0,9.0,47.0,10.0,195.0,2.0,0.0,1.0,19.0,15.5,35.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,1,0
16,168.0,19.0,322.0,25.0,346.0,70.0,0.0,1.0,56.0,26.96,144.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,2,0
17,215.0,13.0,311.0,16.0,355.0,3.0,0.0,1.0,24.0,25.92,169.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,3,0
18,299.0,17.0,464.0,22.0,456.0,42.0,0.0,1.0,8.0,21.99,242.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,4,0
19,904.0,101.0,1985.0,204.0,1564.0,604.0,0.0,85.0,38.0,49.65,911.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,5,0
20,903.0,17.0,1644.0,22.0,1312.0,277.0,0.0,45.0,19.0,134.0,902.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,6,0
21,816.0,17.0,1463.0,22.0,1052.0,166.0,0.0,30.0,7.0,68.94,737.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,7,0
22,2120.0,20.0,3703.0,27.0,3519.0,201.0,0.0,15.0,276.0,47.82,2723.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,8,0
23,1048.0,20.0,1731.0,27.0,1246.0,136.0,0.0,1.0,6.0,141.34,942.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,9,0
24,726.0,17.0,1044.0,22.0,804.0,63.0,0.0,1.0,6.0,113.11,570.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,10,0
25,1553.0,20.0,2783.0,27.0,2240.0,174.0,0.0,1.0,6.0,93.21,1857.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,11,0
26,1799.0,20.0,3171.0,27.0,2711.0,167.0,0.0,1.0,6.0,132.73,2300.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,12,0
27,,,,,,,,,,,,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,2,13,0
28,84.0,23.0,131.0,31.0,255.0,12.0,0.0,1.0,38.0,18.48,73.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,3,1,0
29,389.0,28.0,745.0,36.0,579.0,108.0,0.0,1.0,91.0,50.95,306.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,3,2,0
30,429.0,17.0,775.0,22.0,581.0,122.0,0.0,1.0,54.0,66.98,320.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,3,3,0
31,941.0,54.0,1619.0,85.0,1230.0,173.0,0.0,1.0,74.0,120.18,893.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,3,4,0
32,1638.0,30.0,2977.0,38.0,2709.0,307.0,0.0,1.0,189.0,131.23,2053.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,3,5,0
33,1446.0,35.0,2337.0,51.0,1986.0,209.0,0.0,1.0,39.0,126.89,1613.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,3,6,0
34,,,,,,,,,,,,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,3,7,0
35,348.0,65.0,642.0,115.0,469.0,81.0,0.0,1.0,190.0,43.88,201.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,4,1,0
36,1164.0,113.0,2253.0,204.0,1515.0,262.0,0.0,1.0,260.0,119.16,983.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,4,2,0
37,1818.0,48.0,3235.0,68.0,3037.0,371.0,0.0,30.0,198.0,102.29,2332.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,4,3,0
38,1912.0,31.0,3259.0,44.0,3052.0,182.0,0.0,1.0,169.0,128.55,2472.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,4,4,0
39,,,,,,,,,,,,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,4,5,0
40,1051.0,189.0,2219.0,406.0,1604.0,360.0,0.0,1.0,536.0,17.94,679.0,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,5,1,0
41,,,,,,,,,,,,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,5,2,0
42,,,,,,,,,,,,False,new,experiments/results/TL_2_2/early_stopping/0.onnx,TL,6,1,0
43,10.0,7.0,13.0,8.0,175.0,2.0,0.0,1.0,4.0,14.51,17.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,1,1
44,23.0,7.0,36.0,8.0,189.0,4.0,0.0,1.0,6.0,16.0,29.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,2,1
45,40.0,7.0,72.0,8.0,230.0,14.0,0.0,1.0,8.0,16.48,56.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,3,1
46,62.0,7.0,120.0,8.0,250.0,21.0,0.0,1.0,13.0,17.92,79.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,4,1
47,88.0,7.0,179.0,8.0,297.0,28.0,0.0,1.0,17.0,19.44,112.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,5,1
48,118.0,7.0,248.0,8.0,309.0,46.0,0.0,1.0,19.0,22.96,115.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,6,1
49,150.0,7.0,326.0,8.0,333.0,76.0,0.0,1.0,22.0,27.92,130.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,7,1
50,188.0,7.0,415.0,8.0,380.0,96.0,0.0,1.0,26.0,21.74,153.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,8,1
51,231.0,7.0,516.0,8.0,418.0,121.0,0.0,1.0,28.0,30.79,183.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,9,1
52,275.0,7.0,623.0,8.0,471.0,138.0,0.0,1.0,30.0,40.79,205.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,10,1
53,325.0,7.0,744.0,8.0,549.0,168.0,0.0,1.0,33.0,59.84,246.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,11,1
54,378.0,7.0,876.0,8.0,632.0,197.0,0.0,1.0,37.0,80.85,287.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,12,1
55,438.0,7.0,1006.0,8.0,668.0,202.0,0.0,1.0,43.0,99.82,308.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,13,1
56,501.0,7.0,1160.0,8.0,768.0,237.0,0.0,1.0,50.0,126.88,360.0,False,new,experiments/results/TL_2_2/early_stopping/1.onnx,TL,1,14,1
