,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,8,7,9,8,141,2,0,1,1,12.51,12.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,1
1,9,7,10,8,135,2,0,1,0,14.51,14.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,2
2,13,7,16,8,142,4,0,1,0,14.51,17.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,3
3,15,7,18,8,147,4,0,1,0,14.99,20.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,4
4,15,7,18,8,160,4,0,1,0,14.99,38.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,5
5,15,7,18,8,141,4,0,1,0,15.47,20.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,6
6,15,7,18,8,145,4,0,1,0,14.99,21.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,7
7,15,7,18,8,151,4,0,1,0,14.99,30.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,8
8,15,7,18,8,145,4,0,1,0,14.99,23.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,9
9,15,7,18,8,143,4,0,1,0,14.99,20.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,10
10,15,7,18,8,144,4,0,1,0,14.99,19.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,11
11,15,7,18,8,140,4,0,1,0,14.99,19.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,12
12,15,7,18,8,143,4,0,1,0,14.99,20.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,13
13,15,7,18,8,146,4,0,1,0,15.5,20.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,14
14,15,7,18,8,146,4,0,1,0,14.99,20.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,1,15
15,15,9,17,10,138,3,0,1,2,14.03,18.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,1
16,21,9,25,10,146,2,0,1,1,14.99,23.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,2
17,18,11,20,12,149,2,0,1,0,15.47,26.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,3
18,20,11,21,12,149,2,0,1,0,15.47,23.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,4
19,20,11,21,12,145,2,0,1,0,15.47,21.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,5
20,21,11,22,12,150,2,0,1,0,14.99,22.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,6
21,21,11,22,12,152,2,0,1,0,15.47,23.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,7
22,21,11,22,12,151,2,0,1,0,15.47,22.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,8
23,21,11,22,12,145,2,0,1,0,14.99,21.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,9
24,21,11,22,12,146,2,0,1,0,15.47,21.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,10
25,21,11,22,12,168,2,0,1,0,15.53,42.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,11
26,21,11,22,12,147,2,0,1,0,15.02,24.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,12
27,21,11,22,12,150,2,0,1,0,15.5,22.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,13
28,21,11,22,12,148,2,0,1,0,15.5,27.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,14
29,21,11,22,12,147,2,0,1,0,15.5,23.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,2,15
30,25,11,29,12,152,2,0,1,6,14.99,20.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,1
31,28,15,34,18,159,3,0,1,1,15.47,33.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,2
32,31,13,34,14,161,2,0,1,0,15.47,35.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,3
33,25,13,27,14,164,2,0,1,0,15.47,37.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,4
34,25,13,26,14,153,2,0,1,0,14.99,31.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,5
35,26,13,27,14,152,2,0,1,0,15.5,27.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,6
36,27,13,28,14,161,2,0,1,0,15.53,31.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,7
37,27,13,28,14,159,2,0,1,0,15.5,30.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,8
38,27,13,28,14,153,2,0,1,0,15.5,30.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,9
39,27,13,28,14,169,2,0,1,0,15.5,44.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,10
40,27,13,28,14,165,2,0,1,0,15.5,33.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,11
41,27,13,28,14,154,2,0,1,0,15.5,29.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,12
42,27,13,28,14,152,2,0,1,0,15.5,30.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,13
43,27,13,28,14,158,2,0,1,0,15.5,33.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,14
44,27,13,28,14,164,2,0,1,0,16.0,33.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,3,15
45,32,17,40,18,172,3,0,1,7,15.47,40.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,4,1
46,34,19,40,23,160,3,0,1,1,15.95,34.0,True,new,experiments/results/TL_2_2/epsdec_2/4.onnx,TL,4,2
