,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,8,7,9,8,169,2,0,1,1,13.02,9.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,1
1,11,9,12,10,188,2,0,1,1,14.51,15.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,2
2,14,11,15,12,186,2,0,1,1,14.51,15.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,3
3,54,13,115,19,230,51,0,1,5,17.44,58.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,4
4,71,13,152,19,243,70,0,1,5,18.96,57.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,5
5,92,9,194,10,250,91,0,1,7,20.96,76.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,6
6,113,9,246,10,319,121,0,1,7,24.96,116.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,7
7,25,21,26,22,200,2,0,1,2,15.47,23.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,8
8,200,9,463,10,415,232,0,1,0,32.64,159.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,9
9,204,9,410,10,346,169,0,1,0,22.68,143.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,10
10,142,9,293,10,325,136,0,1,0,26.96,111.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,11
11,242,9,498,10,411,207,0,1,0,32.73,170.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,12
12,288,9,686,10,493,346,0,1,0,69.69,194.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,13
13,148,9,299,10,319,136,0,1,0,27.44,112.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,14
14,263,9,507,10,442,196,0,1,0,31.77,185.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,1,15
15,16,9,19,10,194,3,0,1,4,14.51,29.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,1
16,27,11,31,12,184,2,0,1,4,15.47,25.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,2
17,34,13,39,14,197,2,0,1,5,15.5,27.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,3
18,180,22,332,26,357,78,0,1,17,25.44,158.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,4
19,38,19,46,22,208,2,0,1,5,15.95,42.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,5
20,143,23,248,30,299,20,0,1,12,19.92,117.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,6
21,172,29,306,40,319,20,0,1,12,20.96,120.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,7
22,43,26,48,30,219,2,0,1,5,15.47,55.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,8
23,255,47,483,69,382,16,0,1,12,25.44,173.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,9
24,344,47,673,69,463,25,0,1,10,14.22,266.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,10
25,315,46,680,70,456,79,0,1,0,22.03,230.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,11
26,379,47,787,69,496,57,0,1,0,25.08,267.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,12
27,410,47,857,69,457,62,0,1,0,27.03,267.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,13
28,384,43,832,64,559,104,0,1,0,31.04,323.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,14
29,472,47,997,69,526,72,0,1,0,34.12,288.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,2,15
30,22,11,25,12,180,3,0,1,6,14.99,19.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,1
31,37,17,45,18,209,2,0,1,4,15.47,48.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,2
32,41,15,50,16,199,2,0,1,6,15.95,33.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,3
33,62,18,79,20,223,2,0,1,8,16.48,56.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,4
34,89,21,119,24,240,2,0,1,11,17.44,67.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,5
35,110,25,148,30,240,2,0,1,12,17.92,85.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,6
36,98,27,131,32,251,2,0,1,10,17.44,74.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,7
37,241,48,435,68,363,14,0,1,9,24.48,163.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,8
38,102,31,128,35,253,4,0,1,5,17.92,78.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,9
39,738,47,1436,63,651,63,0,1,12,70.34,395.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,10
40,122,34,164,40,246,2,0,1,0,18.0,89.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,11
41,772,55,1516,79,744,40,0,1,0,70.28,481.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,12
42,817,55,1591,79,823,33,0,1,0,89.32,520.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,13
43,142,33,189,39,270,2,0,1,0,18.96,99.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,14
44,856,55,1672,79,759,28,0,1,0,88.43,494.0,True,new,experiments/results/TL_2_2/focused_5/5.onnx,TL,3,15
