,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,11.0,7.0,14.0,8.0,179.0,3.0,0.0,1.0,3.0,13.02,15.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,1,0
1,16.0,7.0,19.0,8.0,179.0,2.0,0.0,1.0,2.0,14.51,18.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,2,0
2,19.0,7.0,23.0,8.0,173.0,4.0,0.0,1.0,1.0,14.51,31.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,3,0
3,26.0,9.0,33.0,10.0,191.0,7.0,0.0,1.0,1.0,14.99,21.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,4,0
4,25.0,14.0,32.0,16.0,200.0,8.0,0.0,1.0,1.0,14.99,27.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,5,0
5,30.0,13.0,39.0,14.0,205.0,10.0,0.0,1.0,1.0,15.5,37.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,6,0
6,43.0,15.0,57.0,16.0,189.0,14.0,0.0,1.0,1.0,16.0,37.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,7,0
7,46.0,20.0,61.0,22.0,216.0,15.0,0.0,1.0,1.0,16.48,49.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,8,0
8,49.0,19.0,65.0,20.0,238.0,16.0,0.0,1.0,1.0,16.48,64.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,9,0
9,52.0,24.0,69.0,26.0,231.0,18.0,0.0,1.0,1.0,16.96,53.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,10,0
10,51.0,23.0,63.0,24.0,206.0,12.0,0.0,1.0,1.0,15.95,34.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,11,0
11,52.0,28.0,65.0,30.0,191.0,14.0,0.0,1.0,1.0,16.48,36.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,12,0
12,56.0,30.0,70.0,32.0,225.0,15.0,0.0,1.0,1.0,16.48,57.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,13,0
13,60.0,32.0,75.0,34.0,225.0,16.0,0.0,1.0,1.0,16.96,52.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,14,0
14,64.0,31.0,80.0,32.0,211.0,17.0,0.0,1.0,1.0,16.96,53.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,1,15,0
15,36.0,13.0,49.0,16.0,200.0,5.0,0.0,1.0,16.0,14.99,37.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,1,0
16,53.0,9.0,61.0,10.0,205.0,6.0,0.0,1.0,6.0,15.95,39.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,2,0
17,85.0,11.0,107.0,12.0,234.0,13.0,0.0,1.0,12.0,17.44,66.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,3,0
18,61.0,16.0,67.0,17.0,225.0,5.0,0.0,1.0,6.0,15.95,42.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,4,0
19,63.0,15.0,69.0,16.0,232.0,5.0,0.0,1.0,6.0,15.95,60.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,5,0
20,65.0,18.0,71.0,19.0,212.0,5.0,0.0,1.0,6.0,16.48,41.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,6,0
21,67.0,20.0,73.0,21.0,229.0,5.0,0.0,1.0,6.0,16.48,60.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,7,0
22,146.0,14.0,166.0,15.0,272.0,11.0,0.0,1.0,6.0,17.92,95.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,8,0
23,155.0,16.0,175.0,17.0,266.0,11.0,0.0,1.0,6.0,18.48,88.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,9,0
24,164.0,13.0,184.0,14.0,273.0,11.0,0.0,1.0,6.0,18.48,94.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,10,0
25,173.0,13.0,193.0,14.0,300.0,11.0,0.0,1.0,6.0,18.48,121.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,11,0
26,182.0,14.0,202.0,15.0,281.0,11.0,0.0,1.0,6.0,18.96,98.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,12,0
27,191.0,13.0,211.0,14.0,269.0,11.0,0.0,1.0,6.0,18.96,88.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,13,0
28,200.0,13.0,220.0,14.0,271.0,11.0,0.0,1.0,6.0,19.44,103.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,14,0
29,209.0,14.0,229.0,15.0,312.0,11.0,0.0,1.0,6.0,19.44,135.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,2,15,0
30,113.0,19.0,193.0,24.0,286.0,46.0,0.0,1.0,48.0,20.96,93.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,1,0
31,57.0,11.0,62.0,12.0,209.0,4.0,0.0,1.0,6.0,15.95,45.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,2,0
32,90.0,11.0,97.0,12.0,239.0,4.0,0.0,1.0,7.0,16.48,74.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,3,0
33,132.0,11.0,142.0,12.0,256.0,4.0,0.0,1.0,9.0,17.44,81.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,4,0
34,124.0,11.0,133.0,12.0,281.0,4.0,0.0,1.0,7.0,17.44,94.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,5,0
35,139.0,11.0,148.0,12.0,261.0,4.0,0.0,1.0,7.0,17.92,91.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,6,0
36,154.0,11.0,163.0,12.0,287.0,4.0,0.0,1.0,7.0,17.92,106.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,7,0
37,169.0,11.0,178.0,12.0,280.0,4.0,0.0,1.0,7.0,18.48,104.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,8,0
38,184.0,11.0,193.0,12.0,307.0,4.0,0.0,1.0,7.0,18.48,104.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,9,0
39,199.0,11.0,208.0,12.0,302.0,4.0,0.0,1.0,7.0,18.96,118.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,10,0
40,214.0,11.0,223.0,12.0,299.0,4.0,0.0,1.0,7.0,19.44,120.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,11,0
41,229.0,11.0,238.0,12.0,308.0,4.0,0.0,1.0,7.0,19.44,126.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,12,0
42,244.0,11.0,253.0,12.0,293.0,4.0,0.0,1.0,7.0,19.44,141.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,13,0
43,259.0,11.0,268.0,12.0,346.0,4.0,0.0,1.0,7.0,19.92,172.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,14,0
44,274.0,11.0,283.0,12.0,300.0,4.0,0.0,1.0,7.0,20.48,120.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,3,15,0
45,373.0,25.0,766.0,32.0,549.0,270.0,0.0,1.0,172.0,78.84,189.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,1,0
46,87.0,13.0,94.0,14.0,228.0,4.0,0.0,1.0,10.0,16.96,56.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,2,0
47,128.0,13.0,137.0,14.0,247.0,4.0,0.0,1.0,11.0,17.44,81.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,3,0
48,178.0,13.0,190.0,14.0,273.0,4.0,0.0,1.0,13.0,18.48,99.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,4,0
49,178.0,13.0,189.0,14.0,277.0,4.0,0.0,1.0,11.0,18.48,107.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,5,0
50,201.0,13.0,212.0,14.0,285.0,4.0,0.0,1.0,11.0,18.96,110.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,6,0
51,224.0,13.0,235.0,14.0,315.0,4.0,0.0,1.0,11.0,19.44,139.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,7,0
52,247.0,13.0,258.0,14.0,350.0,4.0,0.0,1.0,11.0,19.92,163.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,8,0
53,270.0,13.0,281.0,14.0,348.0,4.0,0.0,1.0,11.0,20.48,184.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,9,0
54,293.0,13.0,304.0,14.0,333.0,4.0,0.0,1.0,11.0,20.96,157.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,10,0
55,316.0,13.0,327.0,14.0,364.0,4.0,0.0,1.0,11.0,21.44,180.0,True,new,experiments/results/TL_2_2/focused_6/0.onnx,TL,4,11,0
