,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
0,0.0,11,10,1,1,TL,11,127.27022004127502,212000,1e-05,20,0.1
1,1.0,17,14,1,2,TL,11,127.27022004127502,212000,1e-05,20,0.1
2,1.0,23,18,1,3,TL,11,127.27022004127502,212000,1e-05,20,0.1
3,2.0,31,23,1,4,TL,11,127.27022004127502,212000,1e-05,20,0.1
4,3.0,46,29,1,5,TL,11,127.27022004127502,212000,1e-05,20,0.1
5,2.0,26,22,2,1,TL,11,127.27022004127502,212000,1e-05,20,0.1
6,12.0,128,76,2,2,TL,11,127.27022004127502,212000,1e-05,20,0.1
7,8.0,80,51,2,3,TL,11,127.27022004127502,212000,1e-05,20,0.1
8,10.0,83,53,2,4,TL,11,127.27022004127502,212000,1e-05,20,0.1
9,12.0,66,46,2,5,TL,11,127.27022004127502,212000,1e-05,20,0.1
10,5.0,51,39,3,1,TL,11,127.27022004127502,212000,1e-05,20,0.1
11,12.0,74,55,3,2,TL,11,127.27022004127502,212000,1e-05,20,0.1
12,36.0,63,47,3,3,TL,11,127.27022004127502,212000,1e-05,20,0.1
13,145.0,67,50,3,4,TL,11,127.27022004127502,212000,1e-05,20,0.1
14,704.0,72,54,3,5,TL,11,127.27022004127502,212000,1e-05,20,0.1
15,40.0,236,164,4,1,TL,11,127.27022004127502,212000,1e-05,20,0.1
16,103.0,95,71,4,2,TL,11,127.27022004127502,212000,1e-05,20,0.1
17,2558.0,154,111,4,3,TL,11,127.27022004127502,212000,1e-05,20,0.1
18,3788.0,413,256,4,4,TL,11,127.27022004127502,212000,1e-05,20,0.1
19,5132.0,541,323,4,5,TL,11,127.27022004127502,212000,1e-05,20,0.1
20,70.0,200,143,5,1,TL,11,127.27022004127502,212000,1e-05,20,0.1
21,31086.0,1816,962,5,2,TL,11,127.27022004127502,212000,1e-05,20,0.1
22,15845.0,1504,943,5,3,TL,11,127.27022004127502,212000,1e-05,20,0.1
23,12664.0,1249,771,5,4,TL,11,127.27022004127502,212000,1e-05,20,0.1
24,18516.0,1721,948,5,5,TL,11,127.27022004127502,212000,1e-05,20,0.1
