,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,7,7,8,8,174,2,0,1,0,14.0,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,1,0.04597701149425287
1,7,7,8,8,178,2,0,1,0,15.02,16.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,2,0.0449438202247191
2,7,7,8,8,176,2,0,1,0,14.51,15.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,3,0.045454545454545456
3,7,7,8,8,176,2,0,1,0,14.0,14.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,4,0.045454545454545456
4,7,7,8,8,179,2,0,1,0,14.0,15.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,5,0.0446927374301676
5,7,7,8,8,176,2,0,1,0,14.0,15.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,6,0.045454545454545456
6,7,7,8,8,176,2,0,1,0,14.0,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,7,0.045454545454545456
7,7,7,8,8,174,2,0,1,0,14.0,15.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,8,0.04597701149425287
8,7,7,8,8,177,2,0,1,0,14.03,13.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,9,0.04519774011299435
9,7,7,8,8,178,2,0,1,0,14.0,13.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,10,0.0449438202247191
10,7,7,8,8,177,2,0,1,0,14.03,18.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,11,0.04519774011299435
11,7,7,8,8,176,2,0,1,0,14.0,14.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,12,0.045454545454545456
12,7,7,8,8,177,2,0,1,0,14.03,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,13,0.04519774011299435
13,7,7,8,8,177,2,0,1,0,14.03,16.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,14,0.04519774011299435
14,7,7,8,8,174,2,0,1,0,14.03,15.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,15,0.04597701149425287
15,9,9,10,10,177,2,0,1,0,15.02,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,1,0.05649717514124294
16,9,9,10,10,177,2,0,1,0,15.02,19.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,2,0.05649717514124294
17,9,9,10,10,181,2,0,1,0,15.02,16.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,3,0.055248618784530384
18,9,9,10,10,177,2,0,1,0,15.02,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,4,0.05649717514124294
19,9,9,10,10,188,2,0,1,0,15.02,19.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,5,0.05319148936170213
20,9,9,10,10,176,2,0,1,0,15.02,16.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,6,0.056818181818181816
21,9,9,10,10,176,2,0,1,0,15.02,19.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,7,0.056818181818181816
22,9,9,10,10,185,2,0,1,0,15.5,19.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,8,0.05405405405405406
23,9,9,10,10,177,2,0,1,0,15.5,18.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,9,0.05649717514124294
24,9,9,10,10,182,2,0,1,0,15.5,20.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,10,0.054945054945054944
25,9,9,10,10,178,2,0,1,0,15.5,18.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,11,0.056179775280898875
26,9,9,10,10,180,2,0,1,0,15.53,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,12,0.05555555555555555
27,9,9,10,10,183,2,0,1,0,15.53,20.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,13,0.0546448087431694
28,9,9,10,10,182,2,0,1,0,15.57,18.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,14,0.054945054945054944
29,9,9,10,10,182,2,0,1,0,16.0,23.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,2,15,0.054945054945054944
